,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Gratitude at 432 Hz,210uN31E64RF58k4j6Gh4f,Rakesh Chaurasia,10LLaI6A4jACT6M5ddEEFg,Reiki Healing Music - at 432 Hz,2018-05-09,596181,False,1,49,2024-11-06,0.212,0.108,4,-16.583,1,0.0364,0.985,0.952,0.111,0.0958,70.953,5,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",49,55333
1,Raga Hemavati (Flute),5lSSnYTe9Fm2KsHSnybC4F,Rakesh Chaurasia,10LLaI6A4jACT6M5ddEEFg,Romantic Evening Ragas',2006-01-01,172640,False,1,46,2024-11-06,0.196,0.0948,11,-13.213,1,0.0361,0.995,0.939,0.351,0.0688,108.087,3,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",49,55333
2,Aaoge Jab Tum,3fWMFwaJil8fD14JCgwbcL,Rashid Khan,1cw8NspBF8JctQm5rpn3pv,Jab We Met,2007-09-21,355065,False,6,61,2024-11-06,0.645,0.459,6,-9.484,1,0.0296,0.185,0.0,0.132,0.379,119.987,4,"['hindustani classical', 'hindustani vocal', 'indian classical', 'khayal']",49,116580
3,Daydreaming (feat. Nils Frahm),1wr7KOai1oBNM8XuIvmL2A,Anoushka Shankar,6MTByljF8u5omBltY2VKPU,Daydreaming (feat. Nils Frahm),2023-09-15,221827,False,1,45,2024-11-06,0.362,0.148,9,-15.935,1,0.0399,0.989,0.892,0.178,0.0371,120.944,4,"['hindustani classical', 'indian classical', 'indian fusion', 'sitar', 'world fusion']",47,265170
4,Unsaid (feat. Norah Jones),41miODfRwdoQVGHRVtig3Q,Anoushka Shankar,6MTByljF8u5omBltY2VKPU,Traces Of You,2013-01-01,268800,False,13,32,2024-11-06,0.413,0.0321,2,-20.096,1,0.0409,0.975,0.0148,0.0784,0.269,113.233,3,"['hindustani classical', 'indian classical', 'indian fusion', 'sitar', 'world fusion']",47,265170
5,Naked,7KoXzM3IboDJxRl7DXIT7y,Anoushka Shankar,6MTByljF8u5omBltY2VKPU,Rise,2005-09-26,256946,False,4,41,2024-11-06,0.155,0.0923,2,-17.707,1,0.0398,0.875,0.603,0.126,0.0384,80.869,4,"['hindustani classical', 'indian classical', 'indian fusion', 'sitar', 'world fusion']",47,265170
6,Enchanting Flute,0zqWV67DuqFzLXiLJsAk9Z,Rakesh Chaurasia,10LLaI6A4jACT6M5ddEEFg,Krishna Aur Kans,2012-07-09,197500,False,11,56,2024-11-06,0.445,0.328,2,-14.203,1,0.0281,0.846,0.866,0.075,0.175,99.989,4,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",49,55333
7,Mohe Rang Do Laal,5LbL7KrIbaxHDXMhRsGYiz,Birju Maharaj,2hxDtWT09locLUsjCoHCMZ,Bajirao Mastani (Original Motion Picture Soundtrack),2015-11-25,231837,False,4,52,2024-11-06,0.614,0.84,0,-3.291,1,0.0496,0.748,0.0,0.0531,0.497,131.767,3,['hindustani vocal'],39,5526
8,The Sun Won't Set (feat. Norah Jones),3XtWasYtIKXTJI8p3oSlnP,Anoushka Shankar,6MTByljF8u5omBltY2VKPU,Traces Of You,2013-01-01,215266,False,1,27,2024-11-06,0.513,0.28,11,-15.021,1,0.0387,0.969,0.0627,0.111,0.35,74.027,4,"['hindustani classical', 'indian classical', 'indian fusion', 'sitar', 'world fusion']",47,265170
9,Bhupali,3hfh3VfPtFVtB9KnuNtJXo,Hariprasad Chaurasia,7CozfB3IEACZpAelpwkUon,The Raga Guide,1999-08-10,214666,False,14,39,2024-11-06,0.488,0.0799,4,-28.028,1,0.0499,0.983,0.177,0.118,0.275,105.237,3,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",40,219540
10,Jogiya,7oDCqI6qYIc2ebiduj7RkM,Hariprasad Chaurasia,7CozfB3IEACZpAelpwkUon,The Raga Guide,1999-08-10,239493,False,2,38,2024-11-06,0.515,0.0781,9,-25.804,0,0.0437,0.986,0.844,0.164,0.273,101.393,4,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",40,219540
11,Traces Of You,03i4d2bfCxdk9ifcWDc3hB,Anoushka Shankar,6MTByljF8u5omBltY2VKPU,Traces Of You,2013-01-01,225746,False,10,26,2024-11-06,0.625,0.505,2,-9.155,1,0.029,0.905,0.00604,0.128,0.362,105.026,4,"['hindustani classical', 'indian classical', 'indian fusion', 'sitar', 'world fusion']",47,265170
12,Kapla Bhati,74HMbs5LeHYxv53RVzssJS,Bapu Padmanabha,5Sf70jLYRR15STASRqsC3x,Bamboo Flute Music for Pranayama,2014-01-03,438400,False,2,37,2024-11-06,0.0987,0.0776,4,-14.237,1,0.0456,0.994,0.466,0.0745,0.158,73.406,3,"['bansuri', 'hindustani classical']",33,4124
13,Aaj Jane Ki Zid Na Karo - Coke Studio Season 8,6XpEgDZ1YmbzpLECDE59AA,Farida Khanum,07g02xbfLHmRdZaz5NAWru,Aaj Jane Ki Zid Na Karo (Coke Studio Season 8),2015,190500,False,1,46,2024-11-06,0.311,0.284,2,-6.893,1,0.0285,0.536,0.0,0.31,0.188,181.566,1,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'hindustani classical', 'indian classical', 'sufi']",39,503698
14,Raag Bhairavi - Alap,5OwdGNpfx8D74GtHK3aaiH,Rakesh Chaurasia,10LLaI6A4jACT6M5ddEEFg,Call of the Divine - Magical Flute of Rakesh Chaurasia,2013-09-01,217706,False,7,35,2024-11-06,0.201,0.0906,6,-15.451,0,0.0406,0.995,0.923,0.27,0.298,54.036,4,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']",49,55333
15,Raga Sindhi Bhairavi: Dadra Tal (6 beats),5CMW3bF5enCbAFV4aZTbec,Ali Akbar Khan,2GUxWjR8cNgljddVLEp72u,Raga Sindhi Bhairavi,1993-01-01,711933,False,1,35,2024-11-06,0.439,0.00577,0,-26.633,0,0.0448,0.991,0.0461,0.0995,0.226,137.618,4,"['dhrupad', 'hindustani classical', 'hindustani instrumental', 'indian classical', 'sarod']",30,100367
16,Vandanaa Trayee,0ikbKcgUbI3hinyrWEfwo5,Ravi Shankar,4uE9TgBW0AaPDHL1qYbtd0,Chants of India,2010,272360,False,1,35,2024-11-06,0.344,0.201,0,-13.857,1,0.031,0.956,0.0172,0.11,0.0397,130.341,1,"['hindustani classical', 'indian classical', 'sitar']",45,600651
