,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Hope,2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,?,2018-03-16,110886,True,16,82,2024-11-06,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4,"['emo rap', 'miami hip hop', 'rap']",89,47330049
1,HOPE,0EgLxY52mpGsXETyEsgVlP,NF,6fOMl44jA4Sp5b9PpYCkzz,HOPE,2023-04-07,264473,False,1,67,2024-11-06,0.546,0.787,0,-4.023,0,0.212,0.396,0.0,0.0619,0.497,100.559,3,"['hip hop', 'pop rap']",79,10372109
2,HOPE,12cZWGf5ZgLcKubEW9mx5q,NF,6fOMl44jA4Sp5b9PpYCkzz,HOPE,2023-02-16,264473,False,1,66,2024-11-06,0.546,0.787,0,-4.023,0,0.212,0.396,0.0,0.0619,0.497,100.559,3,"['hip hop', 'pop rap']",79,10372109
3,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Rolling Papers 2,2018-07-13,226742,True,12,63,2024-11-06,0.877,0.477,9,-7.379,0,0.0587,0.307,0.0,0.0929,0.552,127.023,4,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,11352134
4,The Hop,7f1UEGMBMuXfLBP5XANfrW,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,"Beats, Rhymes & Life",1996-07-30,207466,True,9,61,2024-11-06,0.927,0.517,1,-6.489,1,0.361,0.0679,0.0,0.174,0.616,95.525,4,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",68,2208394
5,CLYDE (I Hope at Least One of My Ex-Girlfriends Hears This),59aL2q2UPYJkgLTSv0WTlB,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,I No Longer Fear the Razor Guarding My Heel (II),2015-11-03,152136,True,3,70,2024-11-06,0.694,0.684,7,-5.276,1,0.0599,0.122,0.0,0.113,0.334,100.951,4,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",87,7877536
6,HAPPY,3ZEno9fORwMA1HPecdLi0R,NF,6fOMl44jA4Sp5b9PpYCkzz,HOPE,2023-04-07,242691,False,5,70,2024-11-06,0.732,0.855,7,-4.064,1,0.0415,0.306,0.0,0.12,0.221,106.004,4,"['hip hop', 'pop rap']",79,10372109
7,Hip Hop Hooray,1SyQ6t9RdRBK0QUCS6a797,Naughty By Nature,4Otx4bRLSfpah5kX8hdgDC,19NaughtyIII,1993-02-23,267266,False,2,66,2024-11-06,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2,4,"['east coast hip hop', 'hip hop', 'new jersey rap']",61,1190304
8,HOP ON DA SHOW,0SLzsfxED15vyUccX4bCqo,tlinh,3diftVOq7aEIebXKkC34oR,HOP ON DA SHOW,2024-09-18,175876,True,1,65,2024-11-06,0.785,0.565,2,-5.629,1,0.185,0.035,1.74e-05,0.0808,0.293,145.012,4,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",68,1189244
9,Hop Off A Jet (feat. Travis Scott),3RZftiuTcLOqpsd8ZlwNhr,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun (Deluxe),2019-12-20,174066,True,2,51,2024-11-06,0.823,0.476,7,-8.951,1,0.242,0.0115,0.0,0.213,0.353,144.998,4,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",86,10686601
