,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,191700,True,8,89,2024-11-06,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4,"['rap', 'slap house']",94,34194155
1,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,2020-05-29,169226,True,3,80,2024-11-06,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
2,Miles On It,4pkb8SbRGeHAvdb87v9rpf,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Miles On It,2024-05-03,168355,False,1,82,2024-11-06,0.634,0.761,5,-4.752,1,0.0472,0.00537,0.0,0.549,0.785,129.963,4,"['brostep', 'edm', 'pop', 'progressive electro house']",84,33867825
3,goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Birds In The Trap Sing McKnight,2016-09-16,243836,True,9,85,2024-11-06,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,"['rap', 'slap house']",94,34194155
4,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,190557,False,15,83,2024-11-06,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,4,"['rap', 'slap house']",94,34194155
5,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,211582,True,10,82,2024-11-06,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,4,"['rap', 'slap house']",94,34194155
6,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2019-10-04,175720,True,1,85,2024-11-06,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,"['rap', 'slap house']",94,34194155
7,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,145588,True,7,79,2024-11-06,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,4,"['rap', 'slap house']",94,34194155
8,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,198408,True,13,79,2024-11-06,0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,4,"['rap', 'slap house']",94,34194155
9,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,18 Months,2012-10-29,206413,False,3,82,2024-11-06,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87,22916944
10,Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Silence,2017-08-11,180822,False,1,81,2024-11-06,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,"['brostep', 'edm', 'pop', 'progressive electro house']",84,33867825
11,Happier,7BqHUALzNBTanL6OvsqmC1,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2018-08-17,214289,False,1,82,2024-11-06,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,4,"['brostep', 'edm', 'pop', 'progressive electro house']",84,33867825
12,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,312820,True,3,81,2024-11-06,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4,"['rap', 'slap house']",94,34194155
13,Nightcrawler (feat. Swae Lee & Chief Keef),3xby7fOyqmeON8jsnom0AT,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Rodeo,2015-09-04,321560,True,7,78,2024-11-06,0.522,0.731,3,-3.803,0,0.0325,0.0013,0.0,0.132,0.179,124.055,4,"['rap', 'slap house']",94,34194155
14,Summer,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Motion,2014-10-31,222533,False,8,81,2024-11-06,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87,22916944
15,Move,1BJJbSX6muJVF2AK7uH1x4,Adam Port,2loEsOijJ6XiGzWYFXMIRk,Move,2024-06-07,177598,False,1,87,2024-11-06,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4,['melodic house'],77,213676
16,One Thing Right,7gZXCjAy6nxKCQWLEeX4LZ,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,2019-06-21,181823,False,1,74,2024-11-06,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042,4,"['brostep', 'edm', 'pop', 'progressive electro house']",84,33867825
17,Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Motion,2014-10-31,227266,False,6,82,2024-11-06,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87,22916944
18,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,223173,True,11,76,2024-11-06,0.715,0.567,1,-4.481,0,0.0865,0.06,0.0,0.0655,0.332,160.098,4,"['rap', 'slap house']",94,34194155
19,Wish (feat. Trippie Redd) - Trippie Mix,0c0YHn3DIQLl1opsQDd9kO,Diplo,5fMUXHkw8R8eOP2RNVYEZX,LIFE'S A TRIP,2018-08-10,176874,True,3,70,2024-11-06,0.565,0.819,9,-7.899,1,0.0668,0.232,0.0,0.111,0.682,94.011,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
20,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Funk Wav Bounces Vol.1,2017-06-30,230813,True,1,74,2024-11-06,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87,22916944
21,Where Are You Now,3mfER4ORePHvN35cbZ3dkV,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,All Stand Together,2023-11-10,149066,False,9,81,2024-11-06,0.762,0.632,6,-8.312,0,0.085,0.51,0.000205,0.18,0.282,121.031,4,"['belgian edm', 'edm', 'pop dance', 'tropical house']",81,2925094
22,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,246133,True,7,75,2024-11-06,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,4,"['rap', 'slap house']",94,34194155
23,I Only Smoke When I Drink,39glDGcpBhLVMSsQhvtqHR,nimino,5x0R3zoC09GMiRJomoexLV,I Only Smoke When I Drink,2024-08-22,198425,False,1,79,2024-11-06,0.88,0.729,11,-6.378,0,0.176,0.334,0.0113,0.185,0.246,127.028,4,['melodic house'],66,90125
24,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),76gcXhY3Zv6wW0BTe9nHJo,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,314836,True,19,76,2024-11-06,0.65,0.659,3,-6.522,0,0.123,0.174,0.00772,0.126,0.154,76.985,4,"['rap', 'slap house']",94,34194155
25,5% TINT,11kDth1aKUEUMq9r1pqyds,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,196138,True,9,75,2024-11-06,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,4,"['rap', 'slap house']",94,34194155
26,Give It To Me - Full Vocal Mix,5ZduaRci3iNUiDfJbBfAaf,Matt Sassari,21dVknSLCsK37cWozWDZZS,Give It To Me (Full Vocal Mix),2021-10-22,102860,False,1,81,2024-11-06,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,4,"['french tech house', 'french techno', 'tech house']",68,85693
27,Lean On,01aTsQoKoeXofSTvKuunzv,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission,2015-06-01,176561,False,4,73,2024-11-06,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,6202023
28,Atmosphere,63HwAAXuSV2tzIUPoHOwZa,FISHER,1VJ0briNOlXRtJUAzoUJdt,Atmosphere,2023-08-11,182857,False,1,74,2024-11-06,0.762,0.895,8,-4.562,1,0.0734,0.00623,0.142,0.204,0.757,125.985,4,"['australian house', 'house']",78,1020154
29,Latch,1DunhgeZSEgWiIYbHqXl0c,Disclosure,6nS5roXSAGhTGr34W6n7Et,Settle (Deluxe),2013-06-03,255866,False,3,68,2024-11-06,0.73,0.735,1,-5.451,1,0.0923,0.0176,0.000189,0.089,0.541,121.985,4,"['edm', 'house', 'indietronica', 'uk dance']",76,2252860
30,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),2001,307153,False,3,77,2024-11-06,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4,"['disco house', 'filter house']",65,232158
31,ASTROTHUNDER,4MXhiYIRDMGAuvZc5IFTwC,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,2018-08-03,142969,True,11,75,2024-11-06,0.7,0.46,4,-8.111,0,0.0661,0.142,4.81e-05,0.111,0.286,151.901,4,"['rap', 'slap house']",94,34194155
