,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",2024-04-05,218423,False,1,94,2024-11-06,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,['indie pop'],89,3765930
1,HOT TO GO!,4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,184841,False,7,89,2024-11-06,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,4,['indie pop'],89,3765930
2,Pink Pony Club,1k2pQc5i348DCHwbn5KTdc,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,258034,False,11,86,2024-11-06,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,['indie pop'],89,3765930
3,Stick Season,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,2022-10-14,182346,False,2,87,2024-11-06,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
4,Red Wine Supernova,7FOgcfdz9Nx5V9lCNXdBYv,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,192720,True,2,85,2024-11-06,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,4,['indie pop'],89,3765930
5,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,Mitski,2uYWxilOVlUdk4oV9DvwqK,The Land Is Inhospitable and So Are We,2023-09-15,137773,False,7,88,2024-11-06,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4,"['brooklyn indie', 'pov: indie']",84,9216072
6,505,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare (Standard Version),2007-04-24,253586,False,12,79,2024-11-06,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",88,27189205
7,Casual,3WSOUb3U7tqURbBSgZTrZX,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,232796,True,5,84,2024-11-06,0.508,0.411,1,-6.95,1,0.0269,0.226,0.0,0.0571,0.34,131.008,4,['indie pop'],89,3765930
8,No One Noticed,3siwsiaEoU4Kuuc9WKMUy5,The Marías,2sSGPbdZJkaSE2AbcGOACx,Submarine,2024-05-31,236906,False,11,82,2024-11-06,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,"['bedroom pop', 'la indie']",78,1613161
9,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,TV Girl,0Y6dVaC9DZtPNH4591M42W,French Exit,2014-06-05,213920,False,9,85,2024-11-06,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,4,['pov: indie'],84,8348102
10,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,girl in red,3uwAm6vQy7kWPS2bciKWx9,we fell in love in october / October Passed Me By,2018-11-21,184153,False,1,86,2024-11-06,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",78,7673193
11,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,35WVTyRnKAoaGExqgktVyb,Shut up My Moms Calling,2020-02-10,164571,False,1,86,2024-11-06,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,4,['modern indie pop'],76,800274
12,End of Beginning,3qhlB30KknSejmIvZZLjOD,Djo,5p9HO3XC5P3BLxJs5Mtrhm,DECIDE,2022-09-16,159245,False,6,89,2024-11-06,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4,"['pov: indie', 'psychedelic pop']",76,1597187
13,Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,290616,False,4,87,2024-11-06,0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
14,Not Allowed,3IznIgmXtrUaoPWpQTy5jB,TV Girl,0Y6dVaC9DZtPNH4591M42W,Who Really Cares,2016-02-25,167864,True,5,84,2024-11-06,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,4,['pov: indie'],84,8348102
15,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2014-09-19,241693,False,1,79,2024-11-06,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
16,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,2013-09-09,183956,False,12,90,2024-11-06,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",88,27189205
17,Disco,2Lumsra3kuU61wXkEKzKaK,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,Disco,2019-06-12,152760,False,1,85,2024-11-06,0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,4,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",76,1363057
18,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Strange Trails,2015-04-07,208211,False,14,78,2024-11-06,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3,"['indie folk', 'stomp and holler']",78,1756416
19,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO,TV Girl,0Y6dVaC9DZtPNH4591M42W,Who Really Cares,2016-02-25,198960,False,3,84,2024-11-06,0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,0.594,113.551,4,['pov: indie'],84,8348102
20,My Kink Is Karma,32fSZSbxeVoiZShMQKLc6Z,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,222578,False,8,81,2024-11-06,0.555,0.599,2,-5.695,1,0.052,0.00925,0.0,0.102,0.415,86.727,4,['indie pop'],89,3765930
21,Femininomenon,53IRnAWx13PYmoVYtemUBS,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,219710,True,1,82,2024-11-06,0.609,0.758,0,-4.885,0,0.0525,0.139,5.38e-06,0.11,0.236,124.949,4,['indie pop'],89,3765930
22,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Melophobia,2013-10-08,208760,False,10,79,2024-11-06,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
23,Creep,70LcF31zb1H0PyJoS1Sx1r,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Pablo Honey,1993-02-22,238640,True,2,86,2024-11-06,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",84,10799183
24,Jealous,1aXV8GrmQLvgoFtBPERP7E,Eyedress,3XxNRirzbjfLdDli06zMaB,Jealous,2019-12-06,122338,False,1,83,2024-11-06,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,4,"['noise pop', 'pov: indie']",77,2244656
25,Too Sweet,76JKIsdKrAfWUMjaA0u7v5,Hozier,2FXC3k01G6Gw61bmprjgqS,Unreal Unearth: Unaired,2024-08-19,251424,False,1,78,2024-11-06,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
26,I Love You So,4SqWKzw0CbA05TGszDgMlc,The Walters,027TpXKGwdXP7iwbjUSpV8,I Love You So,2014-11-28,160239,False,1,87,2024-11-06,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,4,"['chicago indie', 'pov: indie']",73,825397
27,Juna,2mWfVxEo4xZYDaz0v7hYrN,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Charm,2024-07-12,195109,False,7,81,2024-11-06,0.606,0.714,3,-6.244,1,0.0339,0.238,0.098,0.106,0.448,141.512,4,"['bedroom pop', 'indie pop', 'pov: indie']",82,5425219
28,Freaks,7EkWXAI1wn8Ii883ecd9xr,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,Freaks,2021-05-15,147062,False,1,84,2024-11-06,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",76,1363057
29,Work Song,5TgEJ62DOzBpGxZ7WRsrqb,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2014-09-19,229720,False,9,77,2024-11-06,0.531,0.363,10,-7.672,1,0.0608,0.749,0.0,0.112,0.259,121.412,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
30,You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season (We'll All Be Here Forever),2023-06-09,286369,True,20,80,2024-11-06,0.586,0.358,7,-9.761,1,0.0308,0.556,0.0,0.11,0.365,169.925,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
31,Babydoll,7yNf9YjeO5JXUE3JEBgnYc,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",2018-10-16,97960,False,3,82,2024-11-06,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007,4,"['alternative pop rock', 'pov: indie']",79,1916170
32,All Your'n,0fCwTrRNfoNk962ati8n2K,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,Country Squire,2019-08-02,218280,False,8,77,2024-11-06,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97e-05,0.115,0.839,78.176,4,"['kentucky indie', 'kentucky roots', 'outlaw country']",79,2666140
33,Too Sweet,4IadxL6BUymXlh8RCJJu7T,Hozier,2FXC3k01G6Gw61bmprjgqS,Unheard,2024-03-22,251424,False,1,78,2024-11-06,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
34,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,Purgatory,2017-08-04,224946,True,2,77,2024-11-06,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4,"['kentucky indie', 'kentucky roots', 'outlaw country']",79,2666140
35,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Dial Drunk (with Post Malone),2023-07-18,213817,True,1,79,2024-11-06,0.669,0.606,8,-7.193,1,0.0292,0.124,0.0,0.112,0.69,112.108,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
36,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Torches,2011-05-23,239600,False,2,84,2024-11-06,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",75,3863449
