,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Dragula,6Nm8h73ycDG2saCnZV8poF,Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5,Hellbilly Deluxe,1998-01-01,222826,False,3,78,2024-11-06,0.59,0.963,0,-6.489,0,0.0676,8.75e-05,0.000105,0.0781,0.586,125.033,4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",71,3170527
1,Living Dead Girl,10V8XpuyMoEcSMfM79WDET,Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5,Hellbilly Deluxe,1998-01-01,201400,False,4,71,2024-11-06,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",71,3170527
2,Closer,5mc6EyF1OIEOhAkD0Gg9Lc,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,The Downward Spiral (Deluxe Edition),1994-03-08,373306,True,5,71,2024-11-06,0.546,0.724,10,-8.639,0,0.0427,0.000273,0.667,0.133,0.586,89.991,4,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",68,2729649
3,The Beautiful People,2aIB1CdRRG7YLBu9hNw9nR,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Antichrist Superstar,1996,218826,True,2,72,2024-11-06,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,4,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72,4538533
4,Mother,7txxAtOMwLLnQTpKeBL6bp,Danzig,34c4iQ5tkaZKu6Sv28BTde,Danzig,1988-01-01,204866,True,6,69,2024-11-06,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,4,"['alternative metal', 'groove metal', 'grunge', 'hard rock', 'industrial rock', 'metal', 'nu metal', 'punk']",60,963987
5,Sonne,4w3R0GZ2rScJMKlgPJzHRq,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Mutter,2001-04-02,272440,False,3,68,2024-11-06,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",80,10460703
6,I Don't Wanna Be Me,4eGHEHqoDMMejzPhRFTc7p,Type O Negative,0blJzvevdXrp21YeI2vbco,Life Is Killing Me,2003-06-09,308826,False,2,70,2024-11-06,0.474,0.977,8,-8.651,0,0.15,0.024,0.604,0.0931,0.0449,100.557,4,"['alternative metal', 'gothic metal', 'industrial rock', 'nu metal']",66,1334167
7,Happy?,0INUE1K7cEiE8VH63Rv5RJ,Mudvayne,2Pfv2w8a20xzC7Dr7QXRqM,Lost and Found,2005,216426,True,3,66,2024-11-06,0.546,0.97,5,-2.661,0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,4,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal']",61,1932432
8,Superbeast,4eNnMvUrSu2TRpySjVC0Pv,Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5,Hellbilly Deluxe,1998-01-01,220266,False,2,65,2024-11-06,0.52,0.975,11,-4.421,0,0.0583,0.000137,0.826,0.42,0.329,154.058,4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",71,3170527
9,Thunder Kiss '65,4tvBoSWeIW0bjhKNre5mod,White Zombie,0CF71zaDOJWCynIkW9bSK8,La Sexorcisto: Devil Music Volume 1,1992-01-01,234080,False,3,63,2024-11-06,0.684,0.851,9,-9.792,1,0.0407,0.000613,0.0029,0.535,0.512,112.662,4,"['alternative metal', 'hard rock', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",58,1277046
10,The Hand That Feeds,5ugzDiilhy6ILKmKfhEzd7,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,With Teeth,2005-05-03,211680,False,4,61,2024-11-06,0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,4,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",68,2729649
11,Du hast,6XcoiOYiNbIxzpt8WRxq8Z,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Sehnsucht (Anniversary Edition - Remastered),1997-08-22,235600,False,5,73,2024-11-06,0.642,0.899,9,-6.92,0,0.0381,0.00171,0.135,0.326,0.726,125.115,4,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",80,10460703
12,When Worlds Collide,6aF5JtQSrh7wNrkDE9B0My,Powerman 5000,5imUS9dQyCbAjUEJJ9QyWC,Tonight The Stars Revolt,1999-01-01,177960,False,3,64,2024-11-06,0.56,0.903,11,-4.77,1,0.0754,0.00132,0.0,0.291,0.581,143.821,4,"['alternative metal', 'funk metal', 'industrial metal', 'nu metal', 'rap metal']",54,723879
13,either on or off the drugs,3EWaU5exMayFzQMkIfTX7w,JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,I LAY DOWN MY LIFE FOR YOU,2024-08-01,140593,True,11,65,2024-11-06,0.505,0.605,6,-5.564,0,0.191,0.15,0.0,0.785,0.631,184.473,3,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop']",68,881424
14,Feel So Numb,6KnNDix4Owr4vNmsPhLmxD,Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5,The Sinister Urge,2001-01-01,233666,False,7,62,2024-11-06,0.566,0.889,8,-5.22,1,0.0426,4.3e-05,0.00907,0.292,0.141,127.045,4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",71,3170527
15,Push It,6O7pihLJgeqxUnG7u9oYL2,Static-X,7JDSHlDdVTo7aZKdQZ53Vf,Wisconsin Death Trip,1999,154906,False,1,62,2024-11-06,0.557,0.978,0,-3.965,1,0.0493,0.000393,4.42e-06,0.287,0.499,149.887,4,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal']",60,1493462
16,Sweet Dreams (Are Made Of This),2302lUwfZ4S4dVyPOCDFnQ,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Smells Like Children,1995-01-01,293293,False,6,69,2024-11-06,0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698,4,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72,4538533
17,Bullet With a Name,50OsF8Rbv8VQS0WAP0uB3i,Nonpoint,6BdSOHfQ6kMg0tbAFlXR1z,To the Pain (Deluxe Edition),2019-12-25,206404,False,1,60,2024-11-06,0.577,0.884,10,-3.548,0,0.0903,0.00024,0.000262,0.287,0.686,91.026,3,"['alternative metal', 'industrial metal', 'latin metal', 'miami metal', 'nu metal', 'rap metal']",54,503064
18,Take A Picture,6q4aoWgTQ8td2AvqQXuFqm,Filter,01WjpKiWVNurV5hjIadB8C,Title Of Record (Expanded Edition),1999-08-24,363800,False,6,61,2024-11-06,0.541,0.776,2,-8.042,1,0.0298,0.00147,0.000221,0.178,0.282,98.986,4,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'nu metal', 'post-grunge']",55,550012
19,"Hey Man, Nice Shot - Remastered Version",1IyHPt3b6BrhdMwNyk0VM0,Filter,01WjpKiWVNurV5hjIadB8C,Short Bus,1995-04-11,314440,False,1,59,2024-11-06,0.48,0.588,2,-10.773,1,0.0339,0.00213,0.712,0.319,0.305,177.018,4,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'nu metal', 'post-grunge']",55,550012
20,Dig,7vrLphPq4yjaX7jiDdd2Nc,Mudvayne,2Pfv2w8a20xzC7Dr7QXRqM,L.D. 50,2000-08-13,162293,True,2,61,2024-11-06,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,4,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal']",61,1932432
21,Deutschland,2bPGTMB5sFfFYQ2YvSmup0,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Rammstein,2019-05-17,322339,False,1,73,2024-11-06,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,4,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",80,10460703
22,Head Like A Hole,3ckd4YA4LcD3j50rfIVwUe,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,Pretty Hate Machine,1989-10-20,299680,False,1,59,2024-11-06,0.666,0.798,9,-11.26,1,0.0477,0.00848,0.00186,0.585,0.442,115.382,4,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",68,2729649
23,Sweet Dreams (Are Made Of This),3D0bXrSv7O73vOaGOG8J9c,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Smells Like Children,1995,293293,False,6,60,2024-11-06,0.222,0.664,0,-5.242,0,0.0379,0.0039,0.65,0.239,0.101,186.044,4,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72,4538533
24,More Human Than Human,1NbJFhkVdD47YZ2IojKkJi,White Zombie,0CF71zaDOJWCynIkW9bSK8,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",1995,268760,True,8,59,2024-11-06,0.673,0.911,1,-6.725,1,0.0707,0.000367,0.628,0.101,0.54,101.467,4,"['alternative metal', 'hard rock', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",58,1277046
25,Tainted Love,0cOyhnhy13lc5G5nr4EF0q,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Lest We Forget - The Best Of,2004-01-01,200066,False,5,59,2024-11-06,0.637,0.95,8,-4.4,1,0.109,0.00104,7.35e-06,0.288,0.511,142.018,4,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72,4538533
26,Black No. 1 (Little Miss Scare -All),710B9xFjNOisQtKtppZE9p,Type O Negative,0blJzvevdXrp21YeI2vbco,Bloody Kisses (Top Shelf Edition),1994-05-10,675653,True,3,61,2024-11-06,0.348,0.7,4,-8.885,1,0.0611,0.0397,0.00228,0.106,0.416,93.614,4,"['alternative metal', 'gothic metal', 'industrial rock', 'nu metal']",66,1334167
27,Love You to Death,58RDwkonFMOkoytBtIQetc,Type O Negative,0blJzvevdXrp21YeI2vbco,October Rust (Special Edition),1996-08-19,428800,False,3,61,2024-11-06,0.423,0.738,6,-7.329,1,0.0319,0.359,0.084,0.0801,0.276,111.414,4,"['alternative metal', 'gothic metal', 'industrial rock', 'nu metal']",66,1334167
28,Looking Down the Barrel of Today,5IVA7WzOlWrmZh8EqZqMaw,Hatebreed,17Mb968quDHpjCkIyq30QV,The Concrete Confessional,2016-05-13,161626,True,2,62,2024-11-06,0.486,0.986,1,-4.71,1,0.0818,0.000662,0.048,0.29,0.501,180.085,4,"['alternative metal', 'connecticut hardcore', 'hardcore', 'industrial metal', 'melodic metalcore', 'metalcore', 'nu metal']",58,657241
29,Die MF Die,5bU4KX47KqtDKKaLM4QCzh,Dope,7fWgqc4HJi3pcHhK8hKg2p,Life,2001-12-06,186066,True,6,62,2024-11-06,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,4,"['alternative metal', 'industrial metal', 'nu metal']",57,802870
30,Brackish,5znZ4aN1j49w2Oel8tdmgG,Kittie,0ImEDe9tW5n4pxHOK39zIc,Spit,2000-01-11,189706,True,6,59,2024-11-06,0.349,0.931,1,-6.016,1,0.0862,0.000291,0.00065,0.104,0.843,142.956,4,"['alternative metal', 'canadian metal', 'industrial metal', 'nu metal']",54,657923
31,SIN MIEDO,6zSLy6mrBrMlzaIn9UDw6o,JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,I LAY DOWN MY LIFE FOR YOU,2024-08-01,166960,True,2,61,2024-11-06,0.602,0.764,0,-2.885,1,0.192,0.0213,0.0,0.216,0.768,145.141,4,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop']",68,881424
32,This Is The New S**t,3C84jaEdYxiq8LC4jwYqj6,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,The Golden Age Of Grotesque,2003-01-01,259666,True,2,58,2024-11-06,0.566,0.869,2,-6.084,1,0.1,0.000916,0.00346,0.114,0.647,178.113,4,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72,4538533
33,Blue Monday,5267gVdYWrLoz6ClOhlqmE,Orgy,4uYwLU7k03RCQSRXGtQGg0,Candyass,1998-08-18,267000,False,7,59,2024-11-06,0.589,0.696,8,-8.109,1,0.034,8.65e-05,3.43e-05,0.0779,0.938,129.833,4,"['alternative metal', 'electronic rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge']",50,355459
