,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Trap Queen,2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap (Deluxe),2015-09-25,222093,True,1,73,2024-11-06,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,4,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71,4733523
1,I'm Gonna Miss You,2dThEJP9S344qzNhePcSzj,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,All Or Nothing,1988-11-14,238866,False,5,78,2024-11-06,0.708,0.27,9,-18.52,1,0.0659,0.133,0.00662,0.0982,0.752,75.644,4,"['freestyle', 'new jack swing', 'new wave pop']",71,459698
2,679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,679 (feat. Remy Boyz),2015-06-29,196693,True,1,71,2024-11-06,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,4,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71,4733523
3,Don't Know Why,1zNXF2svmdlNxfS5XeNUgr,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Come Away With Me (Super Deluxe Edition),2002-02-26,186251,False,1,75,2024-11-06,0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,4,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",75,3215214
4,Feeling Good,3I09LQbHS3NSU46Ly3tPpR,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,It's Time,2005-02-07,237333,False,1,66,2024-11-06,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,3,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",78,6437446
5,This Is How We Do It,6uQKuonTU8VKBz5SHZuQXD,Montell Jordan,0iVrCROxeyon7MZUW3MfzT,This Is How We Do It,1995-01-01,238800,False,1,64,2024-11-06,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.642,4,"['contemporary r&b', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",59,896997
6,Again,3ESSGgWzRf1xvP7G5hHMhB,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap (Deluxe),2015-09-25,312240,True,7,65,2024-11-06,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,4,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71,4733523
7,Sunrise,7zkLpY72g6lKQbiHDqri1S,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Feels Like Home,2004-01-01,200626,False,1,74,2024-11-06,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,4,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",75,3215214
8,It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas (Deluxe Special Edition),2012-11-09,206639,False,1,71,2024-11-06,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,3,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",78,6437446
9,Crash into Me,1HL3yEnYq8LEyFQ3QegA5V,Dave Matthews Band,2TI7qyDE0QfyOlnbtfDo7L,Crash,1996-04-30,316466,False,3,62,2024-11-06,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,4,"['jam band', 'neo mellow', 'pop rock']",64,2025529
10,Come Away With Me,6jGnykaS6TkWp15utXSAeI,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Come Away With Me (Super Deluxe Edition),2002-02-26,198226,False,5,71,2024-11-06,0.436,0.141,0,-13.271,1,0.0308,0.902,2.81e-06,0.126,0.146,76.64,3,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",75,3215214
11,Run-Around,500Tkm3vJmVtdUwdCVxCTb,Blues Traveler,3pHeBYl1yujXcZqqfF1UyQ,Four,1994-01-01,279800,False,1,63,2024-11-06,0.628,0.867,7,-7.307,1,0.0604,0.0865,0.0,0.126,0.877,151.695,4,"['jam band', 'pop rock', 'post-grunge']",56,685045
12,Sway,2ajUl8lBLAXOXNpG4NEPMz,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,2003,188066,False,10,72,2024-11-06,0.713,0.639,2,-5.529,0,0.0313,0.753,0.0,0.0878,0.737,125.959,4,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",78,6437446
