,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Color Fusion,5QBlqDw9JZMCi6V6hLKqL5,mädmäx,6e1SIZMnXuUFsXt7xMbkg0,Color Fusion,2023-05-12,122093,False,1,34,2024-11-06,0.775,0.478,9,-9.337,0,0.0964,0.105,0.856,0.127,0.299,129.234,3,['lo-fi jazzhop'],45,16757
1,Fallo Giusto,1PYaIDTxppy11J2ohJ3OFy,Greyboy,4vMKAb6dOcNt1b5ocMdBCm,Elettro Fusione,2022-07-11,66192,False,10,40,2024-11-06,0.696,0.239,7,-15.933,1,0.0587,0.635,0.331,0.203,0.362,82.276,4,"['bboy', 'nu jazz']",42,27122
2,Peaceful Fusion,6to343gBIxChRSQRf9KPfz,Rudy Raw,4ZITuhWAaVoUTge2JwIton,Imagenero,2021-07-07,163764,False,5,24,2024-11-06,0.817,0.46,2,-12.227,0,0.0789,0.961,0.922,0.0929,0.45,142.176,4,"['lo-fi jazzhop', 'lo-fi study']",45,3244
3,Fusion Juice,2kRRnlXm04aqgh0Abyeld4,Jeff Lorber Fusion,5cpKvYFZXiVsN7FRLoNlm1,Wizard Island,1980-08-26,250053,False,5,7,2024-11-06,0.75,0.875,1,-4.365,1,0.0424,0.262,0.235,0.0658,0.961,120.987,4,['smooth jazz'],34,21614
4,Fusion Blues (Got A Match?) - Live,4gwuq0x37jVaFa4Gq8YrvQ,Chick Corea Elektric Band,2ReTnNzaUAM6RgKCtlvMPf,Live From Elario's: The First Gig,2016-04-22,666133,False,8,13,2024-11-06,0.383,0.577,2,-13.648,1,0.035,0.391,0.865,0.706,0.752,140.283,4,"['contemporary post-bop', 'jazz', 'jazz funk', 'jazz fusion']",35,119923
5,Fusion Food,5Xfdrun2ICi5JYIiUDMaRP,Down To The Bone,6LTnvdWwpOFwGtVIOrhwZb,The Urban Grooves: Album II,2018-12-12,337426,False,7,6,2024-11-06,0.757,0.832,10,-9.487,0,0.049,0.0545,0.945,0.318,0.623,109.005,4,['acid jazz'],33,23044
6,Prelude To A Kiss,40CWqoS7RJKOUHqrGobqw5,Wes Montgomery,03YhcM6fxypfwckPCQV8pQ,Fusion!,1989-01-01,185360,False,5,23,2024-11-06,0.373,0.0181,0,-33.249,0,0.0323,0.988,0.838,0.133,0.336,58.276,4,"['hard bop', 'jazz', 'jazz guitar']",53,284104
7,Fusion in Blue,3sily3i9JzPChbnuo5tlRs,H ZETTRIO,5Ga4ie7tlXW9Fc6ObLbSCY,Mysterious Superheroes,2018-03-07,336040,False,4,14,2024-11-06,0.321,0.892,2,-7.126,1,0.0596,0.0277,0.918,0.136,0.64,169.236,5,"['japanese jazz', 'japanese jazz fusion', 'japanese jazztronica']",39,64170
8,Meteor Shower,7pC3d4gm2YoRqYgG0brbTT,The Fusion Syndicate,3w0iUnjFFyPgi2QW8sXxm1,Meteor Shower,2023-09-27,216733,False,1,19,2024-11-06,0.572,0.963,0,-4.67,1,0.0578,0.000364,0.933,0.491,0.771,104.042,4,['progressive jazz fusion'],13,2412
9,Fusion Juice,4yKtEbuIadMqcfH1h1OM5B,Jeff Lorber Fusion,5cpKvYFZXiVsN7FRLoNlm1,The Definitive Collection,2000-02-10,254706,False,4,3,2024-11-06,0.736,0.787,1,-8.497,1,0.04,0.211,0.163,0.0175,0.961,120.884,4,['smooth jazz'],34,21614
