,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,That's Amore,4I4aQGNJ2HufloNtB65nxR,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"Dean Martin: The Capitol Recordings, Vol. 4 (1952-1954)",1954,190400,False,12,60,2024-11-06,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",71,1760555
1,(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Lady Soul (With Bonus Selections),1968-01-22,165333,False,5,69,2024-11-06,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,3,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul', 'vocal jazz']",72,3487196
2,Lone Digger,6Ntz1uQoMF8L2E4w518BFp,Caravan Palace,37J1PlAkhRK7yrZUtqaUpQ,<I°_°I>,2015-10-16,229804,False,1,58,2024-11-06,0.767,0.938,5,-4.433,0,0.0505,0.592,0.0193,0.118,0.868,123.99,4,"['electro swing', 'nu jazz']",62,1096025
3,Ain't That A Kick In The Head,7fQ3PYTYdu208fQ3JEm2U7,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"Dean Martin: The Capitol Recordings, Vol. 11 (1960-1961)",1961,147293,False,8,59,2024-11-06,0.586,0.253,6,-11.93,0,0.0538,0.604,0.0,0.3,0.718,108.168,1,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",71,1760555
4,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,5OkKOkdVTKFrYi6GWXkMzR,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,This Is Dean Martin,1958,181626,False,1,65,2024-11-06,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,4,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",71,1760555
5,I've Got a Woman,2xar08Fq5xra2KKZs5Bw9j,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"Ray Charles (aka: Hallelujah, I Love Her So)",1957-01-01,171466,False,14,67,2024-11-06,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,4,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",70,2388326
6,Everything,4T6HLdP6OcAtqC6tGnQelG,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Call Me Irresponsible,2007-04-27,212373,False,9,69,2024-11-06,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",78,6437446
7,How It Feels,3NZz7DWeVQesSOn6mO39F7,Barry Can't Swim,0vTVU0KH0CVzijsoKGsTPl,When Will We Land?,2023-10-20,138951,False,4,69,2024-11-06,0.678,0.675,0,-7.544,0,0.0308,0.0263,0.625,0.128,0.663,124.003,4,['jazz house'],65,195294
8,The Great Pumpkin Waltz,6FmvWOxXKBgeD0hkS8vjaL,Vince Guaraldi,7gXUrN8vgmVhKVCkw9pavV,"It's The Great Pumpkin, Charlie Brown (Original Soundtrack Recording)",2022-08-26,156282,False,4,58,2024-11-06,0.274,0.263,0,-17.244,0,0.049,0.95,0.956,0.147,0.52,214.655,4,"['jazz piano', 'space age pop']",61,71927
9,You Send Me,4h3KnSscsnqUFBhWvOvsx6,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke: Portrait Of A Legend 1951-1964,2015,165560,False,3,58,2024-11-06,0.553,0.291,4,-10.426,0,0.03,0.877,0.0,0.129,0.412,96.216,4,"['classic soul', 'soul', 'vocal jazz']",69,1681318
10,Solitude,30QD4VRP9yEneOh0eGTrtJ,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Solitude,1956-01-01,207600,False,8,64,2024-11-06,0.461,0.15,8,-13.531,1,0.051,0.984,0.000902,0.105,0.188,97.902,3,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",67,1960580
11,I Fall In Love Too Easily,0F845nujLVqCb0XMZCh5Pc,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker Sings,1956,201440,False,13,65,2024-11-06,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,4,"['cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",67,1203963
