,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Griztronics,6OTClxme7EYRZGO6An3SMc,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,Bangers[2].Zip,2019-08-14,198400,False,1,54,2024-11-06,0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,4,"['glitch hop', 'jamtronica', 'jazztronica', 'livetronica']",58,468651
1,Color Of Your Soul,4rhooL7Cj0YkvIC4wGL7Jo,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,Color Of Your Soul,2022-02-04,202285,False,1,52,2024-11-06,0.486,0.964,9,-3.615,1,0.0548,0.00147,0.0628,0.101,0.177,139.958,4,"['glitch hop', 'jamtronica', 'jazztronica', 'livetronica']",58,468651
2,Crust,6ri6ZQWxqIZgYd2RfsnKNa,Flying Lotus,29XOeO6KIWxGthejQqn793,Yasuke,2021-04-30,133520,False,6,55,2024-11-06,0.676,0.408,9,-7.937,1,0.0811,0.576,0.867,0.201,0.226,106.515,3,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",56,794326
3,Kong,7Cg3F9ZsZ2TYUnlza49NYh,Bonobo,0cmWgDlu9CwTgxPhf403hb,Black Sands,2010-03-29,237826,False,3,60,2024-11-06,0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,4,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",64,1415452
4,Never Catch Me,1KOqY0QTSadQFRgbNw1sLh,Flying Lotus,29XOeO6KIWxGthejQqn793,You're Dead!,2014-10-06,234486,False,5,53,2024-11-06,0.526,0.936,8,-4.576,1,0.262,0.316,0.000417,0.261,0.283,81.305,4,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",56,794326
5,Cirrus,2lJ4d8MCT6ZlDRHKJ1br14,Bonobo,0cmWgDlu9CwTgxPhf403hb,The North Borders,2013-03-21,352246,False,3,57,2024-11-06,0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,4,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",64,1415452
6,Griztronics II (Another Level),2il9NDpW87Hk2L9AjeDf8r,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,Griztronics II (Another Level),2021-11-19,165517,False,1,50,2024-11-06,0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054,4,"['glitch hop', 'jamtronica', 'jazztronica', 'livetronica']",58,468651
7,One Day They'll Know (ODESZA Remix),4n6z0yh2ZpoGh0RNyGVu52,Pretty Lights,4iVhFmG8YCCEHANGeUUS9q,A Color Map of the Sun (Remixes),2013-12-10,260571,False,2,48,2024-11-06,0.465,0.714,11,-6.611,0,0.0317,0.00591,0.624,0.16,0.294,140.026,4,"['glitch hop', 'jazztronica', 'livetronica']",50,568243
8,Muy Tranquilo,3aCkU7zRK9YtA9KyoTIqnb,Gramatik,179BpmLkQCRIoU68Co80f5,SB3,2010-07-29,233755,False,10,58,2024-11-06,0.641,0.621,7,-3.88,1,0.0523,0.24,0.0299,0.175,0.749,89.936,4,"['downtempo', 'instrumental hip hop', 'jazz boom bap', 'jazztronica', 'livetronica', 'slovenian electronic', 'trip hop']",56,680507
9,GRiZTRONICS II (Another Level) VIP,0D8OdE68Ppw1jXCA2oCQTo,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,ANTIFRACTALS,2022-12-16,145655,False,21,49,2024-11-06,0.518,0.913,0,-1.023,1,0.229,0.024,0.105,0.337,0.769,148.957,4,"['glitch hop', 'jamtronica', 'jazztronica', 'livetronica']",58,468651
10,Finally Moving,3WS7spXVlbeC5kjePmHMQW,Pretty Lights,4iVhFmG8YCCEHANGeUUS9q,Taking up Your Precious Time,2006-10-23,277975,False,4,52,2024-11-06,0.735,0.555,1,-8.84,0,0.0366,0.382,0.856,0.0952,0.523,100.01,4,"['glitch hop', 'jazztronica', 'livetronica']",50,568243
11,Ghostwriter,5Nn2Dj7OQsGL6pgQ9iIzPp,RJD2,1O3ZOjqFLEnbpZexcRjocn,Deadringer: Deluxe,2002,317933,False,6,54,2024-11-06,0.747,0.68,1,-6.187,1,0.0346,0.0107,0.803,0.0964,0.594,93.804,4,"['electronica', 'instrumental hip hop', 'jazztronica']",48,363947
12,Days To Come,1mRTSIs40qa2L7omBzQd1u,Bonobo,0cmWgDlu9CwTgxPhf403hb,Days To Come,2006-10-02,229520,False,2,58,2024-11-06,0.601,0.558,4,-8.353,0,0.0441,0.32,0.375,0.0732,0.416,92.948,4,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",64,1415452
13,Vibe Check,3tCJOzicyEdN3CzbLvKVxZ,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,Rainbow Brain,2021-07-23,169600,True,3,46,2024-11-06,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,4,"['glitch hop', 'jamtronica', 'jazztronica', 'livetronica']",58,468651
