,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Who,7tI8dRuH2Yc6RuoTjxo4dU,Jimin,1oSPZhvZMIrWW5I41kPkkY,MUSE,2024-07-19,170887,False,6,92,2024-11-06,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,['k-pop'],88,9779326
1,Who,32lSgbCqRcIOyUSnfuUZEQ,Jimin,1oSPZhvZMIrWW5I41kPkkY,MUSE (WANDER ver.),2024-07-23,170887,False,6,88,2024-11-06,0.66,0.757,0,-3.743,0,0.0321,0.00289,0.0,0.193,0.838,116.034,4,['k-pop'],88,9779326
2,Who,5wPnPIZS8wr4lPNLz4qvHK,Jimin,1oSPZhvZMIrWW5I41kPkkY,MUSE (WONDER ver.),2024-07-23,170887,False,6,87,2024-11-06,0.66,0.757,0,-3.743,0,0.0321,0.00289,0.0,0.193,0.838,116.034,4,['k-pop'],88,9779326
3,Who,1yqdD2ScjkqvaNBUzPQ4vR,Jimin,1oSPZhvZMIrWW5I41kPkkY,Who (Remixes),2024-07-23,170887,False,1,87,2024-11-06,0.66,0.757,0,-3.743,0,0.0321,0.00289,0.0,0.193,0.838,116.034,4,['k-pop'],88,9779326
4,Touch,6aJn7Cst74cj4lNIiPRgav,KATSEYE,3c0gDdb9lhnHGFtP4prQpn,Touch,2024-07-26,129882,False,1,86,2024-11-06,0.739,0.904,5,-2.655,0,0.0442,0.549,1.03e-05,0.0948,0.788,167.033,4,['5th gen k-pop'],75,647874
5,Lovin On Me,4xhsWYTOGcal8zt0J161CU,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Lovin On Me,2023-11-10,138411,True,1,80,2024-11-06,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",80,3953519
6,Moonlit Floor (Kiss Me),3yDRcs0Y4pPzkvMbUfeF9H,LISA,5L1lO4eRHmJ7a0Q6csE5cT,Moonlit Floor (Kiss Me),2024-10-03,155757,False,1,90,2024-11-06,0.733,0.786,5,-3.951,0,0.112,0.128,0.0,0.31,0.672,109.954,4,['k-pop'],84,9430624
7,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,GOLDEN,2023-11-03,206019,False,4,90,2024-11-06,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4,['k-pop'],87,16334678
8,Magnetic,1aKvZDoLGkNMxoRYgkckZG,ILLIT,36cgvBn0aadzOijnjjwqMN,SUPER REAL ME,2024-03-25,160688,False,2,83,2024-11-06,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,4,['5th gen k-pop'],76,1663688
9,New Woman (feat. ROSALÍA),7ov3TDp5D00Rnu5R1viX4w,LISA,5L1lO4eRHmJ7a0Q6csE5cT,New Woman (feat. ROSALÍA),2024-08-15,179789,False,1,87,2024-11-06,0.477,0.854,7,-4.715,1,0.275,0.0858,0.0,0.065,0.314,140.515,5,['k-pop'],84,9430624
10,GGUM,1QPV3QoWw3rRKPeYoX8kO8,YEONJUN,2Mo2yHjmrDRZW7yRuJwR2w,GGUM,2024-09-19,151689,False,1,81,2024-11-06,0.874,0.621,10,-6.867,0,0.0662,0.0027,0.000304,0.0908,0.406,129.052,4,['5th gen k-pop'],71,578701
11,Chk Chk Boom,09keT5ocFhEd5W5HidiUNq,Stray Kids,2dIgFjalVxs4ThymZ67YCE,ATE,2024-07-19,148051,False,2,83,2024-11-06,0.925,0.74,2,-2.698,1,0.123,0.166,0.0,0.0521,0.844,101.994,4,"['k-pop', 'k-pop boy group', 'pop']",85,17225118
12,ETA,56v8WEnGzLByGsDAXDiv4d,NewJeans,6HvZYsbFfjnjFrWF950C9d,NewJeans 2nd EP 'Get Up',2023-07-21,151373,False,3,79,2024-11-06,0.812,0.749,10,-6.389,0,0.0397,0.108,0.0,0.0599,0.841,134.971,4,"['k-pop', 'k-pop girl group']",82,9427382
13,Rockstar,6vvPecFTmWxDfEJ6cYT1wa,LISA,5L1lO4eRHmJ7a0Q6csE5cT,Rockstar,2024-06-27,138213,True,1,84,2024-11-06,0.668,0.628,8,-4.692,1,0.046,0.129,0.0,0.0293,0.568,140.053,4,['k-pop'],84,9430624
14,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Sweet Action,2020-03-13,139741,True,1,74,2024-11-06,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,4,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",80,3953519
15,CRAZY,3AoEQRuFf8zVXWqSLo2UOi,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,CRAZY,2024-08-30,164554,False,2,79,2024-11-06,0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,4,['k-pop girl group'],81,6015136
16,Supernatural,5ocSQW5sIUIOFojwXEz9Ki,NewJeans,6HvZYsbFfjnjFrWF950C9d,Supernatural,2024-06-21,191000,False,1,78,2024-11-06,0.699,0.708,10,-4.182,0,0.0496,0.185,8.43e-06,0.0921,0.863,108.887,4,"['k-pop', 'k-pop girl group']",82,9427382
17,Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,GOLDEN,2023-11-03,183550,True,3,84,2024-11-06,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4,['k-pop'],87,16334678
18,seasons,5VBjyOQzqlPNgdRPMM6prF,wave to earth,5069JTmv5ZDyPeZaCCXiCg,summer flows 0.02,2020-08-04,255998,False,3,79,2024-11-06,0.372,0.273,7,-10.629,1,0.0268,0.782,0.0463,0.219,0.165,60.038,4,['korean city pop'],77,3308461
19,CRAZY,4gxEY3Mh5FZZDAJAKPNrCS,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,CRAZY (Party Remixes 1),2024-09-02,164554,False,1,80,2024-11-06,0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,4,['k-pop girl group'],81,6015136
20,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,NewJeans,6HvZYsbFfjnjFrWF950C9d,NewJeans 'Super Shy',2023-07-07,154666,False,2,78,2024-11-06,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,4,"['k-pop', 'k-pop girl group']",82,9427382
21,How Sweet,38tXZcL1gZRfbqfOG0VMTH,NewJeans,6HvZYsbFfjnjFrWF950C9d,How Sweet,2024-05-24,219026,False,1,78,2024-11-06,0.803,0.895,1,-2.888,1,0.0623,0.0816,5.67e-06,0.154,0.757,124.994,4,"['k-pop', 'k-pop girl group']",82,9427382
