,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Hava Nagila,2paEmQxAjUlfp9Q48TtyaR,The Jewish Starlight Orchestra,3pBRcbWKXI0PmYQ42GxPCk,Música Judia (Melodías y Canciones Judías),2014,200418,False,6,40,2024-11-06,0.474,0.265,10,-14.01,1,0.0539,0.836,2.55e-05,0.0845,0.205,128.794,4,['klezmer'],38,12565
1,Hatikvah - Israeli National Anthem,6PqASrCUTMbBUt2IinheDM,The Jewish Starlight Orchestra,3pBRcbWKXI0PmYQ42GxPCk,Jewish Songs (The Best of Yiddish Songs and Klezmer Music),2014-05-27,187752,False,1,33,2024-11-06,0.402,0.31,2,-13.287,0,0.0267,0.845,9.03e-05,0.099,0.218,139.937,4,['klezmer'],38,12565
2,Hava Nagila,3ScsDncE80PyMdgNhoMWyg,The Klezmer Lounge Band,6NeOMrLaWmVCoui86aus9Q,Klezmer Lounge Hava Nagila,2008-05-27,199400,False,3,32,2024-11-06,0.472,0.498,9,-9.06,1,0.0829,0.0422,0.0825,0.117,0.721,144.485,4,['klezmer'],21,4319
3,March of the Jobless Corps,3fAn8w42CBkUh4Em7mCFlS,Daniel Kahn,1GbANWoIzqQxtZYXQ0KzwV,Lost Causes,2010-11-16,227826,False,4,26,2024-11-06,0.629,0.608,4,-4.128,0,0.0369,0.358,0.0,0.397,0.834,104.677,4,"['klezmer', 'michigan indie']",30,12628
4,Hatikvah - Himmo Nacional De Israel,1z3Bn1GUF2OKnccecXp2qR,The Jewish Starlight Orchestra,3pBRcbWKXI0PmYQ42GxPCk,Música Judia (Melodías y Canciones Judías),2014,187752,False,1,33,2024-11-06,0.402,0.31,2,-13.287,0,0.0267,0.845,9.03e-05,0.099,0.218,139.937,4,['klezmer'],38,12565
5,Dem Monastrishter Rebin's Chosid'l,4rtAaehKZ2VSauxWsK5bTf,Dave Tarras,3T2o71fLzLTVuTvovdCPz1,Yiddish-American Klezmer Music - 1925-1956,2005-06-20,180693,False,7,26,2024-11-06,0.601,0.427,0,-8.928,1,0.123,0.985,0.836,0.166,0.814,141.991,4,"['klezmer', 'yiddish folk']",18,1849
6,Tumbalalaika,4jyXgxcUk8PitvPqrTcC40,The Barry Sisters,3jgKYSu1RdgirlYnF9lTsG,Their Greatest Yiddish Hits,1988,165466,False,7,27,2024-11-06,0.511,0.404,5,-12.972,0,0.0963,0.898,1.42e-06,0.0521,0.827,203.807,3,['klezmer'],28,8795
7,Freedom Is a Verb,3GbvP2xhW0BurV7NLbU350,Daniel Kahn,1GbANWoIzqQxtZYXQ0KzwV,The Butcher's Share,2017-11-17,201365,False,3,26,2024-11-06,0.444,0.721,2,-6.17,0,0.081,0.402,0.0,0.0589,0.604,135.721,4,"['klezmer', 'michigan indie']",30,12628
8,Danse de la mariée,0zjZ0LHyKcg6wSh2UcmNpz,Les Yeux Noirs,584IrVNe0vTWlEByT1vkqT,A Band of Gypsies,1992,122866,False,11,36,2024-11-06,0.643,0.0594,9,-25.158,0,0.0492,0.674,0.0188,0.201,0.656,96.21,4,"['balkan brass', 'klezmer']",34,11627
9,Di Naie Chuppe,1xtuzqEA1dAq6qrjFw0FgV,Amsterdam Klezmer Band,2vMBszTQ5H66LhDEM3mSvl,LIMONCHIKI,2001-01-01,149950,False,1,34,2024-11-06,0.701,0.493,9,-7.206,0,0.151,0.733,0.782,0.0775,0.897,175.808,4,"['balkan brass', 'klezmer']",40,33817
10,Osse Shalom,2n6prAeXRhh935kj6X9d8w,The Jewish Starlight Orchestra,3pBRcbWKXI0PmYQ42GxPCk,Música Judia (Melodías y Canciones Judías),2014,230676,False,4,32,2024-11-06,0.234,0.285,2,-11.64,0,0.0317,0.832,0.0,0.27,0.218,165.823,4,['klezmer'],38,12565
11,Danse du sabre (Aram katchaturian),6zEw4LtqQbRAurOU3oHdWp,Les Yeux Noirs,584IrVNe0vTWlEByT1vkqT,Suites,1994,125840,False,13,34,2024-11-06,0.633,0.523,0,-9.938,1,0.0483,0.411,0.84,0.0561,0.84,106.886,4,"['balkan brass', 'klezmer']",34,11627
12,Hévenu Shalom Aléchem,2PBJO029LS3cbu0jqXsdOv,Barcelona Gipsy Klezmer Orchestra,3PTfq1DY4qdmJaIySsHinw,Imbarca,2013-05-08,166546,False,1,33,2024-11-06,0.611,0.381,2,-7.534,0,0.0506,0.798,0.252,0.0743,0.906,167.767,4,"['balkan brass', 'klezmer']",34,71693
13,Hava Nagila,3unJvxf4mEnivwWbhKBmMa,The Barry Sisters,3jgKYSu1RdgirlYnF9lTsG,Their Greatest Yiddish Hits,1988,199693,False,1,25,2024-11-06,0.569,0.794,4,-10.053,1,0.253,0.403,0.0,0.323,0.752,146.835,4,['klezmer'],28,8795
14,Djelem Djelem,03nCB2bLgZMahtLTtKk0pU,Barcelona Gipsy Klezmer Orchestra,3PTfq1DY4qdmJaIySsHinw,Imbarca,2013-05-08,292906,False,2,35,2024-11-06,0.357,0.361,2,-8.079,1,0.055,0.796,0.000548,0.108,0.173,201.018,4,"['balkan brass', 'klezmer']",34,71693
15,Six Million Germans / Nakam,5UmMggOhITA86K90R4ZgfE,Daniel Kahn,1GbANWoIzqQxtZYXQ0KzwV,Partisans & Parasites,2011-01-14,313013,False,6,22,2024-11-06,0.566,0.751,0,-4.01,1,0.261,0.469,0.0,0.0352,0.85,117.511,4,"['klezmer', 'michigan indie']",30,12628
16,Galicianer Tanz,10r5x0stHSrysqNZAwfTeO,Dobranotch,1hJOWFwinsN0icJyrVslqy,Bazardüzü,2013-04-07,283693,False,9,25,2024-11-06,0.555,0.791,5,-8.014,1,0.0745,0.591,0.0197,0.371,0.832,89.657,4,"['gypsy fusion', 'klezmer']",23,5923
17,Bucimis - A dance from Bulgaria,0EZ3pGN5xGu98trglZGMIS,The klezmer festival band,3ZpybhnshYWoURddAgtXEd,Klezmer Festival Band: Gregori Schechter and the Wandering Few - Klezmer,2003-01-01,128400,False,7,29,2024-11-06,0.621,0.367,5,-9.21,1,0.0903,0.848,0.938,0.0982,0.774,130.967,4,['klezmer'],22,1612
18,Skocne,02RoOugUp9wKY0nvrZfHvJ,Black Ox Orkestar,02LmJ1Rtg8U9dJ65IYx7Bv,Ver Tanzt?,2004-04-26,141146,False,11,22,2024-11-06,0.558,0.309,5,-11.764,1,0.0463,0.826,0.977,0.0856,0.218,136.788,4,['klezmer'],20,7019
19,"Oy, Ir Narishe Tsienistn",2jz4CPMMExlPEq13S6MKes,Daniel Kahn,1GbANWoIzqQxtZYXQ0KzwV,The Unternationale: The First Unternational,2008-11-07,143813,False,2,23,2024-11-06,0.67,0.286,2,-9.869,0,0.333,0.878,0.0,0.483,0.777,121.652,4,"['klezmer', 'michigan indie']",30,12628
20,Hava Nagila,4MLoEw9wh6I3RNOxZszOUU,The Jewish Starlight Orchestra,3pBRcbWKXI0PmYQ42GxPCk,Jewish Songs (The Best of Yiddish Songs and Klezmer Music),2014-05-27,200418,False,11,28,2024-11-06,0.474,0.265,10,-14.01,1,0.0539,0.836,2.55e-05,0.0845,0.205,128.794,4,['klezmer'],38,12565
