,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Vitamin C - 2004 Remastered Version,1tzXnPndBrd2G5GXrOBc1c,CAN,4l8xPGtl6DHR2uvunqrl8r,Ege Bamyasi (Remastered Version),1972,214066,False,4,44,2024-11-06,0.643,0.644,4,-12.615,0,0.0462,0.00669,0.673,0.162,0.853,117.225,4,"['experimental', 'experimental rock', 'krautrock', 'neo-psychedelic', 'no wave', 'noise pop', 'post-punk', 'space rock', 'uk post-punk']",47,325376
1,"Laila, Pt. 1",29SbPOE0itqF50d4HWrcnu,Agitation Free,1fvjrL59qNJVJKNQB8RUg3,2Nd,1974-02-04,101160,False,3,48,2024-11-06,0.201,0.647,9,-10.686,0,0.0411,0.0123,0.623,0.665,0.242,84.65,4,['krautrock'],38,23689
2,Love On A Real Train - From 'Risky Business' Original Motion Picture Soundtrack,0DYCw5AZIX3S11QQUiPiqN,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,Hyperborea (Deluxe Version / Remastered 2020),1983-11-01,239238,False,9,45,2024-11-06,0.579,0.342,5,-20.507,0,0.0439,0.978,0.949,0.0713,0.814,111.34,4,"['berlin school', 'german prog', 'krautrock', 'synthesizer']",51,332023
3,Introduction,1hpsXDinLqUbP2j7o5JXaj,Eloy,00ZLLJ51l9Ir5gyaGSUYxL,Power And The Passion,1975,71533,False,1,46,2024-11-06,0.351,0.0999,11,-17.859,0,0.0353,0.0262,0.876,0.0876,0.125,46.716,4,"['german prog', 'krautrock', 'progressive rock', 'symphonic rock']",44,95847
4,We Were Set Up,3Fw1rM7G7L91F2WCnEeeyO,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,"The Music of Grand Theft Auto V, Vol. 2: The Score",2013-09-24,211827,False,1,44,2024-11-06,0.555,0.647,2,-8.083,1,0.0312,0.00882,0.919,0.0939,0.29,89.973,4,"['berlin school', 'german prog', 'krautrock', 'synthesizer']",51,332023
5,The Dream Is Always The Same - From 'Risky Business' Original Motion Picture Soundtrack,7kvFGApAzBV22DwAdyyLuu,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,Hyperborea (Deluxe Version / Remastered 2020),1983-11-01,223902,False,5,41,2024-11-06,0.719,0.557,6,-17.173,1,0.0496,0.982,0.925,0.099,0.801,126.693,4,"['berlin school', 'german prog', 'krautrock', 'synthesizer']",51,332023
6,Goldregen,1Ragk51wAgVQLMis5aMyLq,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Wenn der Südwind weht,1981,64706,False,6,39,2024-11-06,0.109,0.123,0,-34.415,1,0.0442,0.965,0.892,0.113,0.385,204.181,3,"['berlin school', 'fourth world', 'krautrock']",39,34031
7,Thoughts Of Home,6a4fv0Cc7mrZQJpGzJblsp,Eloy,00ZLLJ51l9Ir5gyaGSUYxL,Power And The Passion,1975,65040,False,7,44,2024-11-06,0.59,0.125,11,-18.496,0,0.0402,0.673,0.0304,0.104,0.427,127.741,1,"['german prog', 'krautrock', 'progressive rock', 'symphonic rock']",44,95847
8,Welcome,1nNVBuHacAZjd16ggr1wjI,Harmonia & Eno '76,25Mdb7AV6361sYPiUevDV6,Tracks and Traces,2009,182133,False,1,34,2024-11-06,0.401,0.272,2,-18.808,1,0.0316,0.87,0.736,0.114,0.171,104.148,4,"['berlin school', 'krautrock']",29,12241
9,She Brings The Rain (from Bottom - Ein grosser Graublauer),798UQDI0kkPc562NvOZ163,CAN,4l8xPGtl6DHR2uvunqrl8r,Soundtracks (Remastered Version),1970,245746,False,7,32,2024-11-06,0.516,0.11,2,-14.176,0,0.038,0.522,0.00121,0.131,0.0538,105.595,4,"['experimental', 'experimental rock', 'krautrock', 'neo-psychedelic', 'no wave', 'noise pop', 'post-punk', 'space rock', 'uk post-punk']",47,325376
