,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,La mulata rumbera,7swISPTa6QyTwj3FzOG2U6,Peruchin,37TLqoRtQb0rPP6pyuUdwn,JazzCuba. Volumen 8,2007-02-09,180773,False,1,19,2024-11-06,0.576,0.682,10,-9.246,0,0.113,0.639,0.895,0.225,0.82,101.255,4,"['jazz cubano', 'latin jazz', 'mambo', 'musica tradicional cubana']",17,1854
1,The Girl From Ipanema,7muBZxtM53502yhyULn1rm,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz,2017-05-26,322595,False,6,20,2024-11-06,0.655,0.194,5,-15.339,0,0.0363,0.906,4e-05,0.0696,0.45,129.762,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
2,Bossa Jazz,1SKPEqHBwC4CEZ78cWwaeN,SanelliX,0sk0gTYhiFal4UfEKbpnGu,Lofi Chill Jazz,2024-01-05,84010,False,2,18,2024-11-06,0.851,0.376,1,-9.968,1,0.0335,0.548,0.819,0.0903,0.674,120.02,4,['lo-fi latino'],42,5989
3,Summertime,52g9vHlua2MBt6PhkZfUrT,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,West Coast Jazz (Expanded Edition),1955-01-01,368266,False,5,36,2024-11-06,0.548,0.0912,8,-21.659,0,0.051,0.985,0.865,0.141,0.326,77.25,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
4,Mambo Influenciado,2z4crUUpjEQp6DoYpfIwAW,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Meets Cuba,2003-01-13,216560,False,2,22,2024-11-06,0.467,0.63,10,-12.325,0,0.06,0.703,0.853,0.0826,0.867,199.254,4,"['jazz cubano', 'jazz piano', 'latin jazz']",42,82852
5,Tranquilo niño,6rkQNPi5xR1s0Vdg5dvdFs,Bebo & Cachao,75F4LwSWRqzT10Lw1xMRCP,JazzCuba. Volumen 2,2007-02-20,164106,False,2,19,2024-11-06,0.596,0.485,9,-6.141,0,0.0336,0.625,0.000808,0.285,0.701,107.628,4,"['latin jazz', 'musica tradicional cubana']",26,1870
6,Mambo Inn,3Wzwywq5QQweT0WzwSnvrX,Mario Bauzá,4ac8P2JGDFcQLNdGLm227f,Afro-Cuban Jazz,2001-01-01,233053,False,1,28,2024-11-06,0.683,0.896,5,-0.909,1,0.0453,0.608,0.617,0.146,0.851,112.458,4,"['jazz cubano', 'latin jazz']",23,7875
7,Tema Jazz,78fFG9PJZTfQYfLB5d6mS9,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Tide (Bonus Tracks),1970-11-01,274493,False,3,16,2024-11-06,0.572,0.496,2,-16.172,1,0.0431,0.429,0.00195,0.137,0.557,83.753,4,"['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",70,768588
8,Ochún,01OhHiLHGShwJEAo5Swi2g,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2018-11-16,373139,False,4,16,2024-11-06,0.506,0.408,7,-11.863,1,0.0464,0.886,0.806,0.164,0.266,95.1,4,"['jazz cubano', 'jazz piano', 'latin jazz']",42,82852
9,Luces,4fVzIqfRv3VC1doIk9JLnt,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2018-11-16,293020,False,3,17,2024-11-06,0.618,0.402,7,-12.093,1,0.0418,0.947,0.876,0.146,0.402,99.62,4,"['jazz cubano', 'jazz piano', 'latin jazz']",42,82852
10,Moonlight In Vermont,2vKt2k0H4cgdvRbRmrImq0,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Dinnertime Jazz,2018-08-22,145693,False,20,26,2024-11-06,0.328,0.328,1,-10.908,1,0.0307,0.891,0.0516,0.342,0.325,62.699,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
11,"Bésame Mamá - Live / Jackie Gleason Theatre / Miami, Florida",4VOwdTOAEAa6esoZTI2ybT,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Jazz Moods: Cha Cha Party,2001-01-01,330706,False,11,15,2024-11-06,0.725,0.874,5,-5.277,1,0.0722,0.362,0.243,0.981,0.691,121.421,4,"['jazz cubano', 'jazz trumpet', 'latin jazz']",45,94247
12,Double Rainbow,4YhBfNpdygnORjJGZG44Bd,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz Moods - Cool,1964,212800,False,2,17,2024-11-06,0.449,0.418,9,-12.843,1,0.0326,0.916,0.0176,0.115,0.588,94.161,3,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
13,Jazz Hop (feat. Natayla),3ld81DodGjTaQTcDcO9BXz,Gas Lab,2oJeeqyPBtkQJgsZgjFboN,Jazzhop,2013-10-15,207700,False,1,9,2024-11-06,0.722,0.369,11,-8.783,0,0.175,0.596,5.38e-06,0.104,0.477,92.988,4,"['argentine hip hop', 'lo-fi latino']",43,7996
14,Jazzyness,0pdUqBqhINs2rS1wXmYqE4,Garabato Beats,4TgOHGZFiDN0ohWhFMfb1K,Jazzyness,2020-08-24,127251,False,1,5,2024-11-06,0.477,0.494,0,-8.369,0,0.105,0.901,0.668,0.129,0.492,161.408,4,['lo-fi latino'],41,5498
15,Jazzin',5gUaM1qIWodN4x0i6AbXQZ,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,Jazzin',1996-01-01,331600,False,1,2,2024-11-06,0.545,0.556,8,-11.153,1,0.0515,0.25,0.00712,0.0338,0.637,118.283,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
16,Vintage Jazz,4tXtSgTPdmYyv8Rs58YD83,SanelliX,0sk0gTYhiFal4UfEKbpnGu,Lofi Chill Jazz,2024-01-05,102866,False,10,14,2024-11-06,0.736,0.326,9,-11.164,0,0.0638,0.108,0.867,0.133,0.422,75.04,4,['lo-fi latino'],42,5989
17,Jazzfanatik,6hK0kxif28PP5hPUKNOCXK,Garabato Beats,4TgOHGZFiDN0ohWhFMfb1K,Instrumental Jazz Vol.1,2019-05-29,197708,False,5,11,2024-11-06,0.691,0.599,1,-13.552,0,0.0617,0.00383,0.678,0.103,0.283,170.038,4,['lo-fi latino'],41,5498
18,Jazz Cats (feat. Marcelo Gallo),1p0LhtTT1ysUXgwKtCadkO,Gas Lab,2oJeeqyPBtkQJgsZgjFboN,Fusion,2017-03-08,126284,False,1,7,2024-11-06,0.658,0.338,0,-11.193,1,0.133,0.921,0.904,0.145,0.568,93.194,4,"['argentine hip hop', 'lo-fi latino']",43,7996
19,Varsity Drag - Mambo Jazz Instrumental,023qcEfVt18bVng2maOp9I,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,Dance Mania Vol.1,1991-08-13,170533,False,9,18,2024-11-06,0.608,0.656,0,-9.668,1,0.0426,0.76,0.913,0.245,0.653,96.054,4,"['afro-cuban percussion', 'jazz puertorriqueno', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa']",49,187382
20,A Handful Of Stars,5luq92DNbbgm2PoUKQDbSc,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,West Coast Jazz (Expanded Edition),1955-01-01,203826,False,9,31,2024-11-06,0.501,0.0662,5,-20.245,1,0.0401,0.994,0.561,0.0895,0.177,68.63,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
21,Jimmy Jazz,5JU3KxDurO5jxRS6oXDKFN,Kortatu,2bSQxEqvD23Y4W6ztHaann,Aizkolari,1985-05-01,127480,False,2,35,2024-11-06,0.469,0.749,1,-11.2,1,0.296,0.342,0.000341,0.096,0.586,95.057,4,"['euskal rock', 'latin alternative', 'punk euskera', 'spanish punk']",43,114055
22,NY Latin Jazz Mambo,7CUsMkg3J43xFzyidb4fZz,Papo Vazquez,5qaszBh3QUZy4EjqivB0OT,"Mighty Pirates Troubadours, Chapter 10: Breaking Cover",2020-11-13,306857,False,2,14,2024-11-06,0.621,0.787,10,-7.527,0,0.06,0.368,0.769,0.0552,0.808,113.88,4,"['jazz puertorriqueno', 'latin jazz']",9,1347
23,Mr. Swin y el Tres Pasitos Jazz Ensemble - En Vivo,6f9jKcVpOUWJDepavpp2bO,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,15 Aniversario en el Luna Park,2012-09-18,408200,False,16,24,2024-11-06,0.582,0.877,6,-4.973,0,0.0805,0.143,0.00336,0.31,0.629,135.809,4,"['latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol']",65,1803668
24,Mamblues,0IocAVYztE2daOFYCHSw4E,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,"Jazz Dispensary: Soul Diesel, Vol. 2",2018-07-13,183720,False,6,11,2024-11-06,0.537,0.856,8,-11.15,1,0.0459,0.194,0.802,0.12,0.845,139.863,4,"['cool jazz', 'jazz vibraphone', 'latin jazz']",43,63154
25,Bebop,073mQURFG4U2KsAEd0XxyV,Jazz On The Latin Side All Stars,7v4qXHtzBIWgeVli2QwEJb,The Last Bullfighter,2005-03-07,336866,False,1,12,2024-11-06,0.485,0.824,5,-7.517,0,0.0445,0.363,0.0427,0.381,0.898,136.904,4,"['latin jazz', 'mambo']",14,4507
26,Sun God,58stwdjQpHWfBtVmy23Amt,Jazz On The Latin Side All Stars,7v4qXHtzBIWgeVli2QwEJb,The Last Bullfighter,2005-03-07,330346,False,4,11,2024-11-06,0.499,0.812,2,-9.036,0,0.0402,0.531,0.0552,0.0474,0.931,101.445,3,"['latin jazz', 'mambo']",14,4507
