,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Pop,4FXSEdmbbeGmPIQltH27C8,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,El Viaje de Copperpot,2000-09-07,151866,False,5,58,2024-11-06,0.719,0.788,9,-6.428,1,0.0284,0.023,0.0,0.0918,0.751,133.58,4,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",76,4105319
1,Popscuro,3N0lemfma0XQAlkueBbwev,CLUBZ,6MoZZABXeQwEmzmcwICxwK,Destellos,2018-09-28,237786,False,9,48,2024-11-06,0.693,0.703,2,-6.945,1,0.0355,0.204,0.684,0.261,0.494,124.013,4,"['latin rock', 'mexican indie', 'pop electronico']",50,141392
2,Popular,3uEx77R6b16SAltboKfQjh,Zoé,6IdtcAwaNVAggwd6sCKgTI,Sonidos De Karmática Resonancia,2021-04-16,270906,False,1,50,2024-11-06,0.671,0.748,7,-6.478,1,0.0269,0.183,0.162,0.0911,0.708,131.981,4,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",73,6361644
3,Pervert Pop Song (Castigame),1ZzXHQ5ZAq46qZl5ifvMnn,Plastilina Mosh,4PtVXWSOmF4Tox1jj6ctSq,All U Need Is Mosh,2008-08-05,244280,False,12,63,2024-11-06,0.794,0.828,2,-5.339,1,0.0781,0.261,3.07e-06,0.209,0.682,130.087,4,"['electro latino', 'latin afrobeat', 'latin alternative', 'mexican rock', 'rock en espanol']",55,722459
4,Popurrí Juan Gabriel / Ya Lo Sé Que Tú Te Vas / La Diferencia / Te Sigo Amando - En Vivo,2APE7KXnCG2IFP66BVdZis,Alejandro Fernández,6sq1yF0OZEWA4xoXVKW1L9,Mexico Madrid En Directo Y Sin Escalas,2005-10-20,484693,False,4,44,2024-11-06,0.281,0.442,9,-10.207,0,0.0471,0.723,0.0,0.916,0.224,75.003,3,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']",77,7844344
5,Popango,79bZNuOM8V5W8n2DaTpUXf,Caloncho,2z3KntXLyEF5Lvz1kpdBoA,Tofu,2024-09-05,164866,False,1,47,2024-11-06,0.748,0.633,7,-7.813,1,0.0605,0.623,4.23e-05,0.109,0.681,148.699,3,"['guadalajara indie', 'latin alternative', 'latin rock']",66,859803
6,"Popurri: Jesus Es el Señor, Estamos de Fiesta, Este Gozo, Yo Tengo un Gozo, Dios No Esta Muerto, Se Siente Aqui",5a3nqnt7XNG25osBqQoxrV,Grupo el Sembrador,4GMgTkQIz3rulhS87ryyhm,Confio en Ti,2005-06-01,630986,False,10,33,2024-11-06,0.765,0.684,1,-7.665,0,0.0521,0.324,0.0,0.133,0.807,124.953,4,['deep latin christian'],25,6090
7,Batismo,6UDWsYMH2MwgOxOS9sbnwC,Populous,5Uy8Skuxzxf38jMDTndKIU,Azulejos,2017-06-09,191924,False,10,54,2024-11-06,0.788,0.705,7,-10.558,0,0.255,0.41,0.908,0.105,0.112,89.047,4,"['indie electronica', 'italian electronica', 'latintronica', 'pop electronico', 'puglia indie']",47,52763
8,Population Disorder / Tempestad Tranquila / Ideas Nuevas - En Vivo,23jnxVzlzYjpX2YZtnrjdA,Cultura Profética,65HuWBUC1d8ty1q6J42Nfi,15 Aniversario en el Luna Park,2012-09-18,524893,False,5,33,2024-11-06,0.721,0.842,11,-3.899,0,0.0461,0.155,0.00176,0.895,0.684,133.951,4,"['latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol']",65,1803668
9,Popurrí - En Vivo,7sxDIQ0bPvgl2oLjAdOPtA,Jesús Adrián Romero,29SeiO68HQHBs7pDdWOvvX,Soplando Vida Live,2012,816200,False,12,35,2024-11-06,0.328,0.597,7,-4.319,1,0.0256,0.375,2.25e-06,0.708,0.151,96.007,4,"['latin christian', 'rock cristiano']",75,5181842
10,Popurrí De Coros,00HUBZLrpwt24OyOBPNDnH,Marcos Witt,4x7kxyIgzgtrHYDQ8SCzo2,Recordando una Misma Senda,1995-05-01,458057,False,6,35,2024-11-06,0.635,0.585,7,-13.059,1,0.0339,0.548,0.0,0.346,0.676,112.309,4,['latin christian'],67,2027883
11,Pop Pop,3lt11YYMKgELxR0aTxSLnO,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,La Joia,2024-01-26,133733,True,13,44,2024-11-06,0.691,0.926,2,-5.164,0,0.267,0.103,0.0,0.337,0.652,188.11,4,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",75,1830466
12,"Popurri, Alabare, Ya Llego, Gloria Gloria Aleluya",0IjpUkN7gJDEITHGA8OxYY,Fuego Nuevo,27fH2cCtwrC3WeGvEgBmm8,El Corazon de una Madre,2012-10-17,345733,False,13,32,2024-11-06,0.789,0.903,7,-4.549,1,0.0441,0.272,0.0,0.1,0.924,110.033,4,['deep latin christian'],41,15423
13,Popurrí de éxitos (Poco a poco / Tan solo / Me acordaré de ti / Siempre / Que nada nos separe) - En vivo,33KlS5kFKGEaBewYvOLvjn,Mijares,3zhijRRIZX2B6G2T7vJl9p,Sinfónico Desde el Palacio de Bellas Artes (En Vivo),2016-12-02,551200,False,5,44,2024-11-06,0.212,0.745,5,-4.096,1,0.0475,0.0778,3.43e-05,0.899,0.182,75.904,4,"['latin pop', 'mexican pop']",67,2302052
14,Popular,75P4hcRJCzO5Dlzp4m21FD,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,Eyez On Me,2018-05-18,215040,False,2,33,2024-11-06,0.714,0.754,6,-4.758,0,0.065,0.19,0.0,0.125,0.542,172.03,4,"['reggaeton', 'trap latino', 'urbano latino']",85,8167132
15,Peligroso Pop,5lwPvoxq9H3eAawY4236zP,Plastilina Mosh,4PtVXWSOmF4Tox1jj6ctSq,Hola Chicuelos,2003-01-01,216600,False,2,54,2024-11-06,0.713,0.907,6,-4.132,0,0.0336,0.000468,0.00524,0.0846,0.739,135.055,4,"['electro latino', 'latin afrobeat', 'latin alternative', 'mexican rock', 'rock en espanol']",55,722459
16,Popocatepetl,4AEwEKiVs28OVWhQCwoAPz,Fey,3uC20p2EoNm5LYtzSVWdkL,Tierna La Noche,1996-06-04,248706,False,7,36,2024-11-06,0.649,0.973,6,-5.25,1,0.0468,0.00307,0.0106,0.0901,0.963,160.977,4,"['indietronica', 'latin pop', 'mexican pop']",58,1323876
17,Cada Que...,1IDfAcL63xIRjG4Q98yTfn,Belanova,3oNy8cjBtJzLC07I70sklp,Fantasía Pop,2007,223640,False,7,67,2024-11-06,0.638,0.738,8,-4.287,1,0.0456,0.0615,0.00106,0.0429,0.513,134.954,4,"['latin arena pop', 'latin pop', 'mexican pop']",70,1729055
18,Popurrí Ranchero - En Vivo,0RIYRFQyrM4rCV0PKYCeAH,Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,Ana Gabriel En La Plaza De Toros México,1998-09-01,508133,False,2,30,2024-11-06,0.336,0.43,7,-7.821,1,0.0356,0.0763,0.0,0.903,0.393,85.786,3,"['latin pop', 'mariachi', 'ranchera']",75,4640767
