,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,KAROL G,790FomKkXshlbRYZFtlgla,Si Antes Te Hubiera Conocido,2024-06-21,195824,False,1,93,2024-11-06,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",91,51695843
1,Promiscuous,2gam98EZKrF9XuOkU13ApN,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,2006-01-01,242293,False,4,82,2024-11-06,0.808,0.97,10,-6.098,0,0.0504,0.0573,6.17e-05,0.154,0.868,114.328,4,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",78,4086366
2,Maneater,4wH4dJgrsxONID6KS2tDQM,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,Loose,2006-01-01,258893,False,2,81,2024-11-06,0.796,0.778,6,-4.81,1,0.0397,0.0258,0.000386,0.121,0.789,132.724,4,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",78,4086366
3,Después De La 1,6PhRhocBXP4y7NpciGmzra,Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,MJ,2024-09-12,177600,True,2,87,2024-11-06,0.805,0.581,6,-5.091,0,0.0601,0.0303,0.0202,0.0933,0.528,99.973,4,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']",88,4151725
4,No Flockin',34oWbFBfGEElvgO0a5c9V4,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,No Flockin',2015-11-13,165290,True,1,75,2024-11-06,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
5,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,Bad Bunny,4q3ewBCX7sLwd24euuV69X,nadie sabe lo que va a pasar mañana,2023-10-13,162767,True,19,84,2024-11-06,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,4,"['reggaeton', 'trap latino', 'urbano latino']",95,86750355
6,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,218093,False,3,84,2024-11-06,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,4,"['colombian pop', 'dance pop', 'latin pop', 'pop']",88,35212904
7,QLONA,5RqSsdzTNPX1uzkmlHCFvK,KAROL G,790FomKkXshlbRYZFtlgla,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,172797,True,5,84,2024-11-06,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,4,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",91,51695843
8,Q U E V A S H A C E R H O Y ?,0Sr7ssScx54yxdM2ols7nW,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,PRIMERA MUSA,2024-09-20,224022,True,15,89,2024-11-06,0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,4,"['trap boricua', 'trap latino', 'urbano latino']",82,386877
9,LUNA,7bywjHOc0wSjGGbj04XbVi,Feid,2LRoIwlKmHjgvigdNGBHNo,FERXXOCALIPSIS,2023-12-01,196800,False,6,88,2024-11-06,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",92,14537470
10,DILUVIO,2kz1YOhJiNubjigR1gB1VX,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,PLAYA SATURNO,2023-07-07,197052,True,12,81,2024-11-06,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,4,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90,24087548
11,AMARGURA,505v13epFXodT9fVAJ6h8k,KAROL G,790FomKkXshlbRYZFtlgla,MAÑANA SERÁ BONITO,2023-02-24,170480,True,15,84,2024-11-06,0.912,0.7,6,-3.331,0,0.068,0.163,0.0,0.174,0.535,106.981,4,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",91,51695843
12,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,2019-06-28,242573,False,5,82,2024-11-06,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,4,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,37339214
13,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,2022-05-06,178567,True,3,81,2024-11-06,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,"['reggaeton', 'trap latino', 'urbano latino']",95,86750355
14,Transportin',1WIZiOuNO3woKfdlSK2gNn,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Project Baby 2: All Grown Up,2017-08-18,169344,True,10,74,2024-11-06,0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82,11114760
15,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,2022-05-06,243716,True,4,79,2024-11-06,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4,"['reggaeton', 'trap latino', 'urbano latino']",95,86750355
16,Según Quién,4bw8mcDUSRWfQo63ZTYRnU,Maluma,1r4hJ1h58CWwUQe3MxPuau,Don Juan,2023-08-25,142334,True,7,83,2024-11-06,0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,3,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",86,34871671
