,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,For the First Time,2R4AlwtrrkMaRKojcTIzmL,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,This Old Dog,2017-05-05,182306,False,4,80,2024-11-06,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
1,i was all over her,6mSnSuOhgHHohqeBw76jRV,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,melanchole,2013-05-06,161422,False,5,81,2024-11-06,0.537,0.366,7,-12.774,1,0.0303,0.775,0.883,0.113,0.0538,104.572,4,"['countrygaze', 'lo-fi emo', 'lo-fi indie', 'pov: indie', 'slowcore', 'small room']",72,1240885
2,My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,2,2012-10-16,190845,False,8,80,2024-11-06,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
3,(dream),17YNmMy03QLPirmBzWxFa6,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,melanchole,2013-05-06,84701,False,10,79,2024-11-06,0.316,0.318,0,-13.164,1,0.0339,0.918,0.861,0.119,0.135,147.275,4,"['countrygaze', 'lo-fi emo', 'lo-fi indie', 'pov: indie', 'slowcore', 'small room']",72,1240885
4,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Salad Days,2014-04-01,231723,False,9,80,2024-11-06,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
5,Moonlight on the River,2fhOljbX79loRcdl47SFye,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,This Old Dog,2017-05-05,422613,False,12,75,2024-11-06,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
6,Blondie,7sIx70dGj3VBiHWr0KZXfD,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Wild Heart,2013-01-02,194733,False,6,74,2024-11-06,0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,4,"['lo-fi indie', 'pov: indie']",72,1445347
7,Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,2,2012-10-16,173888,False,3,74,2024-11-06,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
8,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,Powfu,6bmlMHgSheBauioMgKv2tn,death bed (coffee for your head),2020-02-08,173333,False,1,78,2024-11-06,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,"['sad lo-fi', 'sad rap']",70,1358676
9,Kids,3pyyGVqWvRMq43qtJBzxe0,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Kids,2015-03-08,269142,False,1,73,2024-11-06,0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,4,"['lo-fi indie', 'pov: indie']",72,1445347
10,How To Never Stop Being Sad,6ZLt6fyonW1xOGMBC9vJPJ,dandelion hands,6mOWFF6HJ6krnIpW0CHLQm,It's All In Your Head,2013-01-01,130742,False,13,73,2024-11-06,0.414,0.245,7,-17.929,1,0.0429,0.952,0.761,0.104,0.132,97.236,5,"['corecore', 'lo-fi emo', 'lo-fi indie', 'pov: indie']",61,266637
11,Symphonia IX,2V852FRIFO7mFgfiyDMum1,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Wild Heart,2013-01-02,181360,False,8,73,2024-11-06,0.593,0.38,0,-12.682,1,0.0247,0.913,0.573,0.289,0.149,99.323,4,"['lo-fi indie', 'pov: indie']",72,1445347
12,Steeeam,09RamrocZneYcLYLRIxYha,Shelly,4z1P9QhvHGEJzPhQAjXYPE,Shelly,2020-10-30,170892,False,1,71,2024-11-06,0.817,0.763,5,-11.014,0,0.0373,0.546,0.158,0.124,0.923,120.034,4,"['indie pop', 'lo-fi indie']",59,113786
13,20191009 I Like Her,3oUn55qKRZ1JFzfQNbJjS1,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,One Wayne G,2023-04-21,136888,False,36,72,2024-11-06,0.873,0.252,2,-13.884,1,0.0425,0.766,0.00661,0.0978,0.599,133.983,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
14,No Other Heart,2aaCNg42RA74s0EmHTBqS7,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Another One,2015-08-07,173117,False,3,73,2024-11-06,0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,4,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",82,6617912
15,New Flesh,6HJxxqHWMdidwTVZmZWeHU,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Wild Heart,2013-01-02,167986,False,5,72,2024-11-06,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,4,"['lo-fi indie', 'pov: indie']",72,1445347
