,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rock Lobster,6vPiDfyhGF4xfJ9cSNb0bx,Botch,4kRYDoAbgDL7nqeqZhJlA3,Unifying Themes Redux,2006-09-26,189333,False,14,12,2024-11-06,0.372,0.991,4,-7.19,1,0.0837,4.04e-05,0.13,0.203,0.0921,105.781,4,"['american metalcore', 'chaotic hardcore', 'mathcore', 'noise rock', 'post-hardcore', 'post-metal', 'sludge metal']",31,61709
1,math rock sux,5nBHIHpMFIvhIWpE1rDdjq,Good Game,4RxUGW2HRMIm9qI1GJqMgK,Get Good,2023-11-03,165812,False,3,17,2024-11-06,0.558,0.809,9,-6.208,1,0.0428,0.0281,0.00016,0.232,0.925,164.667,4,['instrumental math rock'],22,7380
2,Post Coitus Rock,2w1khC9oLwJ9q3WLPjcbmY,Joan Of Arc,6U9PwS3WsiKBVewf7wtwIZ,A Portable Model Of,1997-06-01,200546,False,6,19,2024-11-06,0.298,0.79,0,-7.203,1,0.0269,0.0104,0.512,0.272,0.206,104.208,4,"['chicago indie', 'emo', 'emo punk', 'experimental indie rock', 'math rock', 'post-hardcore']",22,22435
3,Mira,6eq0AED8fNPHS1oXhyRgpL,The Surrealist,54muyMofzFuDNq0oJfI8Gy,Mira,2018-08-11,147867,False,1,33,2024-11-06,0.66,0.668,5,-12.556,0,0.0401,0.629,0.887,0.127,0.397,125.008,4,['instrumental math rock'],37,24014
4,Rock Post Rock,6RuMLDCUHMdqd4TB8EvHGN,Polvo,0pbIqPTefLfuOcbM2ojXdl,Shapes,1997-09-23,251226,False,3,6,2024-11-06,0.296,0.982,6,-6.058,1,0.129,0.00552,0.00928,0.0695,0.298,98.731,4,"['chapel hill sound', 'experimental rock', 'lo-fi', 'math rock', 'noise pop', 'noise rock', 'post-hardcore', 'shoegaze', 'slowcore']",38,50403
5,Rock & Roll Simulator,75IfZ9iiEDx6CqGVndnKwl,Ex Models,6WAtFnwKXtsZBvVVONWrYM,Other Mathematics,2001,94773,False,5,4,2024-11-06,0.371,0.937,11,-4.56,0,0.221,0.0164,1.67e-06,0.301,0.785,166.227,4,"['math rock', 'noise rock', 'sasscore']",13,6005
6,I'll Forget About You Throwing That Rock Because That Dance Was Pretty Funny,6DBHUvH3x2pONZsvHk5jni,TTNG,5TUa95aB5Vu2CzwCnZd6t0,This Town Needs Guns,2008-04-14,179496,False,3,18,2024-11-06,0.368,0.394,10,-11.808,1,0.0289,0.169,0.013,0.148,0.287,130.979,3,"['british math rock', 'math rock', 'midwest emo', 'oxford indie']",40,118901
7,Rock Lobster - Live,2uQIKoT6Tr1xxrlB6Ea8mR,Botch,4kRYDoAbgDL7nqeqZhJlA3,061502 (Live),2006-12-05,222426,True,10,2,2024-11-06,0.271,0.992,6,-5.844,1,0.126,2.1e-05,0.821,0.887,0.112,105.809,4,"['american metalcore', 'chaotic hardcore', 'mathcore', 'noise rock', 'post-hardcore', 'post-metal', 'sludge metal']",31,61709
8,Rats On Rock,7jm2YQbbarCB5OsCHT9bFo,And So I Watch You from Afar,7qKMNwlACMZOUdMG3acwst,All Hail Bright Futures (Bonus Track Version),2013-03-19,178893,False,6,15,2024-11-06,0.374,0.765,5,-5.925,0,0.0757,0.000171,0.672,0.413,0.641,101.032,4,"['british post-rock', 'instrumental post-rock', 'instrumental rock', 'math rock', 'post-rock']",36,85513
9,Motte-Rock,52dhqagvN5qVk5QfIgMZC3,Totorro,470SGea4tIbGLTpKcYJfLx,Home Alone,2014-04-28,240115,False,5,21,2024-11-06,0.655,0.598,2,-7.824,1,0.0299,0.000837,0.843,0.0746,0.445,127.972,4,"['french post-rock', 'instrumental math rock', 'math rock']",32,55048
10,Punk Rock Guilt,2aF3zncKCAk0m4tvtqZpzR,thoughtcrimes,7xJ6tFnLODDMEhhlj6ftop,Tap Night - EP,2019-03-22,213418,False,3,5,2024-11-06,0.173,0.916,0,-5.295,1,0.107,0.000205,0.459,0.15,0.149,111.661,1,['mathcore'],24,8439
11,math rock sux,0thNVMdATD75iTWuoRrVIA,Good Game,4RxUGW2HRMIm9qI1GJqMgK,math rock sux,2023-10-13,165812,False,1,5,2024-11-06,0.558,0.809,9,-6.208,1,0.0428,0.0281,0.00016,0.232,0.925,164.667,4,['instrumental math rock'],22,7380
12,"Push the Fucking Rock, Sisy",5SzCxQ8chnj6TvHWVsgf8N,For Your Health,05WgLjPQXUFOyh6mlBAHs2,In Spite Of,2021-02-12,109753,True,3,9,2024-11-06,0.245,0.97,8,-5.827,0,0.0955,6.82e-05,0.874,0.15,0.354,140.722,3,"['emoviolence', 'mathcore', 'ohio hardcore', 'skramz']",18,9449
13,Indie Rock Spock Ears,2LDwNNjwmbZlONPRe5O2s6,Dianogah,1VgnczxN9UlQeFTrh1S8MB,Battle Champions,2000-01-31,372767,False,5,4,2024-11-06,0.522,0.48,2,-11.184,1,0.0616,0.185,0.831,0.112,0.0373,122.658,4,['math rock'],14,3943
14,San Diego Rock Song About People Talking In The Movie Theater,2cz4tRYH5ZkUWDSIuuJvFV,Thingy,2yW7ALxCYqJMTBFLxGbs3g,Morbid Curiosity,2019-06-21,79885,False,16,7,2024-11-06,0.488,0.957,0,-6.291,1,0.049,0.0111,0.0039,0.576,0.674,99.944,4,['math rock'],22,7859
15,"Three Easy Steps To Digging Up and Reanimating Your Ass, Only To Rock It Into The Ground Once Again.",51TlhLf6piNf7FZNomyGGf,The Great Redneck Hope,0V6pmKUuBorwTEnk9SWKRG,Splosion,2007-01-01,85253,False,4,6,2024-11-06,0.166,0.965,0,-3.277,0,0.0873,2.27e-06,0.918,0.0718,0.228,104.422,4,"['mathcore', 'mathgrind', 'sasscore']",17,5766
16,When People Become Numbers,0F0DMen2cCJXBfAS7GkNtH,Drowningman,1EDfD4nTomh5aoyoCMfceu,Rock And Roll Killing Machine,2000,188946,False,1,4,2024-11-06,0.185,0.955,9,-6.655,1,0.135,1.32e-05,1.97e-05,0.32,0.324,94.904,4,['mathcore'],8,5716
17,The Hand That Rocks the Cradle,5jdgqpCliPeB3wyonO1xZo,Hella,1n861RIk6CTAWncgHR9UHg,There's No 666 in Outer Space,2007,258786,False,6,6,2024-11-06,0.433,0.953,0,-5.554,1,0.106,0.0456,0.0159,0.0786,0.178,97.504,4,"['experimental rock', 'instrumental math rock', 'instrumental rock', 'math rock', 'nintendocore', 'noise rock', 'sacramento indie']",33,78144
18,Little Twelvetoes,5goUnrNbByBY4NbP24zzzY,Chavez,0GXsDnyvpjRO46Cgv3w5KS,Schoolhouse Rock! Rocks,1996-04-09,236760,False,10,9,2024-11-06,0.277,0.918,2,-7.259,1,0.294,0.11,0.0367,0.342,0.215,179.467,3,"['gbvfi', 'math rock', 'post-hardcore']",21,15190
19,math rock sux,6FcqTJVoMCxo6TxmsFRjNQ,Good Game,4RxUGW2HRMIm9qI1GJqMgK,Stella by Sunlight / math rock sux,2023-10-27,165812,False,1,2,2024-11-06,0.558,0.809,9,-6.208,1,0.0428,0.0281,0.00016,0.232,0.925,164.667,4,['instrumental math rock'],22,7380
20,The Great Multi-Stage Rocket Robbery,1oLrYbkGwin2z1DdqLOmFs,The Callous Daoboys,4ZWRLOs7c4drt9mKGc0Ds0,The Great Multi-Stage Rocket Robbery,2018-03-13,85879,False,1,5,2024-11-06,0.264,0.896,0,-5.149,1,0.16,0.000191,5.06e-06,0.906,0.401,118.653,5,"['american metalcore', 'atlanta punk', 'mathcore']",31,36377
21,(Got My) Rock Pants On,7EfntqmMYHflYtGWM7d6gU,Turing Machine,41fRnoxgizSZJuLNADuaTB,A New Machine For Living,2000-01-01,582333,False,5,4,2024-11-06,0.248,0.814,2,-6.542,1,0.035,0.000244,0.788,0.114,0.288,160.084,4,"['instrumental math rock', 'math rock']",9,4507
22,Late Arriving Rock Dudes,6OdEWrvmLWDG2QclBrMo29,The Crownhate Ruin,7v1L5fSZ2lmjV0RfokgRLs,Until The Eagle Grins,1996-04-01,246933,False,2,4,2024-11-06,0.267,0.743,4,-12.559,1,0.0384,0.000264,0.167,0.203,0.222,167.617,3,"['indie emo', 'math rock', 'post-hardcore']",7,3494
23,"With Who, Who and What I've Got - Standard Rock",4f2yjEQjGymCBVI1jnmPiG,Johnny Foreigner,6cZKsPzeAAklHjbSe7fqEh,Johnny Foreigner vs Everything,2011-11-07,179987,False,2,8,2024-11-06,0.362,0.717,2,-8.997,1,0.0431,5.39e-05,0.256,0.195,0.321,95.098,4,"['electropowerpop', 'math pop']",30,13551
24,Slowfield,7qM06rm3wSwKG0lUgeKwBj,The Surrealist,54muyMofzFuDNq0oJfI8Gy,Slowfield,2019-09-12,240000,False,1,12,2024-11-06,0.698,0.568,5,-17.315,0,0.0616,0.916,0.882,0.067,0.371,119.975,4,['instrumental math rock'],37,24014
25,Rock And Roll Killing Machine,1vQ18pO1buYlhGPCmv2rx9,Drowningman,1EDfD4nTomh5aoyoCMfceu,Rock And Roll Killing Machine,2000,246520,False,4,2,2024-11-06,0.205,0.947,9,-6.162,1,0.0923,2.93e-05,9.25e-06,0.11,0.182,98.359,4,['mathcore'],8,5716
26,The Truly Dangerous Nature Of A Man Who Doesn't Care If He Lives Or Dies,6YSrXuMYapOeFCTbEBzj2h,Drowningman,1EDfD4nTomh5aoyoCMfceu,Rock And Roll Killing Machine,2000,239866,False,3,3,2024-11-06,0.212,0.955,4,-6.555,0,0.193,0.000104,0.000314,0.171,0.241,99.16,4,['mathcore'],8,5716
27,Last Weeks Minutes From The Meeting Of The Secret Society Of Your Friends Who Actually Hate You,7jZpWmDwhQDB0h4XRzSDv7,Drowningman,1EDfD4nTomh5aoyoCMfceu,Rock And Roll Killing Machine,2000,218200,False,2,2,2024-11-06,0.205,0.961,9,-6.123,1,0.0895,4.68e-06,0.0337,0.417,0.299,103.062,4,['mathcore'],8,5716
28,My First Restraining Order,5hFytEO7Wfw7KructAKyT2,Drowningman,1EDfD4nTomh5aoyoCMfceu,Rock And Roll Killing Machine,2000,150200,False,6,2,2024-11-06,0.249,0.904,11,-6.454,0,0.0873,8.36e-05,0.00566,0.579,0.263,94.205,4,['mathcore'],8,5716
29,Rock,6a6YGQcMXWsuNZFXJggYdU,Dead Kiwis,7vQlB7cpJ49GFlam4owMQx,Systematic Home Run,2019-01-28,111384,False,2,2,2024-11-06,0.13,0.999,7,-2.093,1,0.267,3.83e-06,0.916,0.193,0.0485,159.854,3,['mathcore'],2,1576
30,Rockets and Dreams,65sKZoNpwmKGP9nj86vu6c,TODAY IS THE DAY,1maYtLoiB92ZaLYRIwLVNR,No Good to Anyone,2020-02-28,486525,False,14,1,2024-11-06,0.166,0.335,7,-14.073,1,0.0408,0.17,0.841,0.565,0.0374,88.05,4,"['drone metal', 'dub metal', 'mathcore', 'noise rock', 'post-doom metal', 'post-metal', 'tennessee metal']",25,21536
31,Rocket Light Box,1wFazIMsriHFOW04ASIi1F,Fight Cloud,4O4vvdkKhWCwOeZDhyAuZj,Where's My Shakespeare?,2014-12-09,160148,False,1,1,2024-11-06,0.56,0.842,4,-7.631,1,0.0375,0.0313,0.836,0.248,0.835,159.995,1,"['math pop', 'rva indie']",14,2299
32,Rock. Paper. Rock.,4cMcvaJZKuakrheRPG6bvY,Turing Machine,41fRnoxgizSZJuLNADuaTB,Zwei,2004-11-09,439453,False,7,1,2024-11-06,0.501,0.903,9,-6.24,1,0.0732,7.06e-06,0.821,0.101,0.253,132.622,3,"['instrumental math rock', 'math rock']",9,4507
33,"Rocket House pre-show (Louisville, KY - bonus track)",2tm3ZVCwvKS7rIyOWpH0Ve,Rodan,7mbHdIVGBTlLC80ngEFJAI,Fifteen Quiet Years,2013-06-11,76473,False,16,0,2024-11-06,0.33,0.324,9,-17.594,1,0.359,0.966,0.744,0.353,0.331,79.584,4,"['louisville underground', 'math rock', 'noise rock', 'post-hardcore', 'slowcore']",25,17075
34,Rock'n'roll Garnison,0b8psBUyTTfALSGFp78418,Chevreuil,6wtquivdN3TsqBjDxw1Q3q,Chateauvallon,2006-10-06,353880,False,3,0,2024-11-06,0.427,0.49,11,-11.982,0,0.0413,0.0758,0.873,0.103,0.435,149.412,4,['instrumental math rock'],2,1484
35,Rocket Knife,47BP3rzMuJfgpTi4bAWSdQ,Dead Kiwis,7vQlB7cpJ49GFlam4owMQx,Systematic Home Run,2019-01-28,40107,False,7,0,2024-11-06,0.151,0.996,8,-2.658,0,0.176,5.42e-05,0.397,0.0565,0.0929,173.736,4,['mathcore'],2,1576
36,Manic Kraut Rock,3nNCtoN1U46yzxVXJQI4Kf,Heroic Doses,55cwzGJ7U8LrsMptP70w2I,Heroic Doses,1998-06-23,164360,False,12,3,2024-11-06,0.317,0.836,1,-9.446,1,0.0426,1.56e-06,0.866,0.132,0.728,147.002,4,['instrumental math rock'],12,1476
