,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Molinos De Viento,19vhfSUgVJO2enJ6XidUGO,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,La Leyenda De La Mancha,1998,251681,False,5,69,2024-11-06,0.491,0.877,7,-3.758,1,0.0425,0.000259,0.0,0.0876,0.819,138.31,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
1,Fiesta Pagana,02dphTJYUQ9pmdNC52iyOz,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,Finisterra,2000,296751,False,1,68,2024-11-06,0.434,0.897,11,-4.845,0,0.0695,0.0124,4.22e-05,0.0772,0.376,135.54,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
2,Haste Que El Cuerpo Aguante,5Q2uU5NGcS0mKwmgF28kRZ,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,Finisterra,2000,272532,False,5,64,2024-11-06,0.564,0.812,11,-5.432,0,0.0767,0.0407,0.0,0.12,0.616,95.969,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
3,La danza del fuego,0dQPkfweyWDzZ20Auq3F14,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,Finisterra,2000,313097,False,4,60,2024-11-06,0.477,0.836,0,-5.662,1,0.0506,0.033,3.43e-05,0.248,0.213,131.812,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
4,Shake That Bagpipe,13mFHw8vgUBOD5nAtS4uSa,The Sidh,3boYI1yAlZAm5NmtCitCFj,Another Way to Fly,2018-05-18,228613,False,1,50,2024-11-06,0.285,0.723,10,-6.251,0,0.0383,3.66e-05,0.879,0.132,0.379,138.015,4,['medieval rock'],48,70823
5,La Costa Del Silencio,4mTsRdFE28MYlrZo8N4Es0,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,Gaia,2003,280868,False,5,62,2024-11-06,0.498,0.891,5,-7.021,1,0.0415,0.0201,3.17e-06,0.0942,0.669,133.918,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
6,Iridium,648jNGxqGVBFfFSSWishhd,The Sidh,3boYI1yAlZAm5NmtCitCFj,Another Way to Fly,2018-05-18,248341,False,5,47,2024-11-06,0.533,0.907,10,-5.835,0,0.0532,6.17e-05,0.868,0.396,0.745,128.006,4,['medieval rock'],48,70823
7,Hoy toca ser feliz,13RP005cDlNlZD23CIRUb1,Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu,Gaia II (Edicion lujo),2005-12-13,259946,False,6,58,2024-11-06,0.569,0.806,7,-4.861,1,0.0292,0.0259,0.0,0.273,0.737,105.082,4,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",70,4389941
8,Brighter Days Come,6E8rWrAFaP60np7iiGFI9e,Patty Gurdy,4LmjMMv69tN9V7ggJpva6r,Brighter Days Come,2024-09-27,168506,False,1,48,2024-11-06,0.543,0.762,4,-5.674,0,0.0344,0.00126,0.00445,0.352,0.478,127.945,4,"['hurdy-gurdy', 'medieval rock']",49,102354
9,Road to Camelot,48nl5zt51TsK1wX86MjMWL,Enaid,2SCjnxZujs0rLuH1ByLPP1,Avalon - a Celtic Legend,2002-02-19,220053,False,1,46,2024-11-06,0.656,0.445,2,-7.734,1,0.0309,0.452,0.007,0.256,0.404,115.052,4,"['medieval folk', 'neo-pagan', 'new age']",39,21447
10,Dragostea Din Tei,4qsgKZdwTYtZ6gJKQeFtAw,Feuerschwanz,2Ct54gNxKnYLnXk9HhviMI,Memento Mori (Deluxe Version),2021-12-30,203343,False,5,50,2024-11-06,0.485,0.959,7,-6.471,1,0.0891,0.000868,0.0,0.0646,0.299,138.985,4,['medieval rock'],53,201804
11,From Father to Son,4VB0hCRTlA56f0kksUitFH,The Sidh,3boYI1yAlZAm5NmtCitCFj,Another Way to Fly,2018-05-18,201056,False,14,43,2024-11-06,0.543,0.729,7,-8.174,1,0.0265,0.239,0.774,0.135,0.406,129.993,4,['medieval rock'],48,70823
