,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,La Dueña del Swing,4ZF74uJy2XGgVx8TUeYjZ8,Los Hermanos Rosario,40FzPNKgu0k9VMvvidiKCl,Los Dueños del Swing,1995-10-01,260600,False,1,65,2024-11-06,0.676,0.872,7,-7.739,0,0.0473,0.672,4.28e-05,0.0976,0.788,154.986,4,"['merengue', 'salsa', 'tropical']",57,341670
1,"Quizás Si, Quizás No",1AOnpCTCVLY7fAHvyC3VFX,Los Toros Band,4cBjJBPtvetlysjjojDLUA,...A Pasito Lento!,1998-01-01,272400,False,10,56,2024-11-06,0.891,0.681,5,-4.741,1,0.0386,0.254,0.000833,0.0691,0.945,129.778,4,"['bachata dominicana', 'merengue']",55,249339
2,Que Vuelva,0ndYI8UT0PMaJzKLJbFr35,Alex Bueno,7esCoLcCoCK7FPa9casAH4,Corazón Duro,2000-01-25,287960,False,2,61,2024-11-06,0.872,0.641,6,-7.736,1,0.0406,0.269,0.0,0.0694,0.943,134.961,4,"['bachata', 'bachata dominicana', 'merengue']",57,291051
3,Abusadora,0Pr05tDGNCf4f8Fe8ubSJ4,Oro Solido,7wLYNBd1fXGEKSLJMNnlt4,El Poder de New York,2016,279893,False,3,59,2024-11-06,0.746,0.772,7,-9.415,1,0.152,0.0714,0.00155,0.0444,0.66,169.985,4,"['merengue', 'tropical']",58,204465
4,Si Estuvieras Aquí,5LaOePNL1J2kjhmj98xKif,Los Toros Band,4cBjJBPtvetlysjjojDLUA,Indetenibles,2003-10-28,234560,False,8,58,2024-11-06,0.752,0.728,2,-1.401,1,0.036,0.498,0.0,0.234,0.648,125.194,4,"['bachata dominicana', 'merengue']",55,249339
5,Guallando,4jRxEVNituPZObHbCSBZL3,Fulanito,0hD97064k3LBUrRvfT42SE,El Hombre Mas Famoso De La Tierra,1997-11-21,205333,False,1,61,2024-11-06,0.681,0.907,7,-8.181,1,0.0699,0.0497,0.0,0.715,0.94,149.938,4,"['merengue tipico', 'salsa', 'tropical']",54,373868
6,Mi Niña - Bachata Version,3Ed337L8k9XN4Cje0mr7p6,Los Toros Band,4cBjJBPtvetlysjjojDLUA,Toromania,2000-01-01,240026,False,8,48,2024-11-06,0.887,0.66,10,-4.299,0,0.0352,0.316,0.0,0.0721,0.959,129.968,4,"['bachata dominicana', 'merengue']",55,249339
7,No Me Digas Que No,5hD4JNBJ2vcM42x8hPxnvo,La Makina,4SlusIRNswGYkTjhflokfX,Para El Bailador,1999,228893,False,1,57,2024-11-06,0.75,0.929,10,-2.05,1,0.0346,0.137,6.53e-05,0.0448,0.951,132.568,4,"['merengue', 'salsa', 'tropical']",51,235214
8,Te Compro Tu Novia,5DrdMZSiRKOVQszXln9VMO,Ramón Orlando,2wZmh2ddEInC5pzZ8O68lt,América Sin Queja,1993-11-09,267706,False,9,62,2024-11-06,0.727,0.707,8,-13.469,1,0.041,0.568,0.00011,0.147,0.966,149.089,4,"['merengue', 'merengue tipico']",51,77026
9,El Baile del Beeper - Version Mexico,3LPRCFmqXUilyKIOT0EYDN,Oro Solido,7wLYNBd1fXGEKSLJMNnlt4,Best Of The Best,2016,289506,False,13,52,2024-11-06,0.759,0.886,2,-6.21,1,0.104,0.106,5.2e-06,0.273,0.778,170.002,4,"['merengue', 'tropical']",58,204465
