,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Spring 1 - 2012,4gmhjAsvL6c7se2PBh7dHw,Max Richter,2VZNmg4vCnew4Pavo8zDdW,"Recomposed By Max Richter: Vivaldi, The Four Seasons",2014-01-01,151506,False,2,56,2024-11-06,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,3,"['compositional ambient', 'post-minimalism']",73,1031619
1,Jook-Urr-Pa for Cello Solo,4q0EZjfWRewXysbIuTSwdf,Giovanni Sollima,6WfFPnmAsusQHokvSZL8XB,J.S. Bach: Cello Suites,2024-10-28,255338,False,42,6,2024-11-06,0.325,0.114,1,-20.846,1,0.0376,0.955,0.946,0.111,0.48,81.856,4,['minimalism'],30,9101
2,Spiegel im spiegel,7zHd9LxIZB8WKosSWN9Umj,Arvo Pärt,2P6ygesd9xg5DPOBnda2jg,Arvo Pärt: Portrait,2010-03-02,503475,False,7,57,2024-11-06,0.123,0.0644,5,-28.383,1,0.0373,0.707,0.00365,0.11,0.0711,84.208,3,"['baltic classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']",54,269764
3,Andante - Edit,6fVyw0MdGG3Zm55HRRpus5,Max Richter,2VZNmg4vCnew4Pavo8zDdW,Andante (Edit),2024-10-25,150781,False,1,39,2024-11-06,0.321,0.00434,6,-33.994,0,0.0434,0.994,0.946,0.0925,0.204,70.479,4,"['compositional ambient', 'post-minimalism']",73,1031619
4,A Colour Field - Piano Version,4ukcqr2CrApch1Ddjk1yxk,Max Richter,2VZNmg4vCnew4Pavo8zDdW,A Colour Field (Piano Version),2024-10-02,154086,False,1,55,2024-11-06,0.27,0.0732,5,-30.88,1,0.0463,0.993,0.941,0.156,0.233,165.039,5,"['compositional ambient', 'post-minimalism']",73,1031619
5,Vladimir's Blues,6a7vpKrVXdAyMItaQI9ZYS,Max Richter,2VZNmg4vCnew4Pavo8zDdW,The Blue Notebooks (15 Years),2018-05-11,78546,False,6,59,2024-11-06,0.375,0.165,9,-21.918,1,0.0676,0.995,0.901,0.105,0.0581,114.735,3,"['compositional ambient', 'post-minimalism']",73,1031619
6,The Poetry of Earth (Geophony),23XvBXHjDOeHv8bkSgofMR,Max Richter,2VZNmg4vCnew4Pavo8zDdW,The Poetry of Earth (Geophony),2024-07-12,238167,False,2,54,2024-11-06,0.168,0.136,7,-17.505,1,0.038,0.866,0.938,0.105,0.0564,77.339,3,"['compositional ambient', 'post-minimalism']",73,1031619
7,Dream 1 (before the wind blows it all away) - Pt. 8,1A8qD0Ygjzsby5OmXh1PTa,Max Richter,2VZNmg4vCnew4Pavo8zDdW,Sleep,2015,118668,False,8,57,2024-11-06,0.166,0.00225,6,-37.609,1,0.0507,0.988,0.946,0.108,0.0541,69.327,4,"['compositional ambient', 'post-minimalism']",73,1031619
8,The Departure,3KG9I4JXpDwNQOsotE3uLh,Max Richter,2VZNmg4vCnew4Pavo8zDdW,The Leftovers: Season 1 (Music from the HBO Series),2014-12-02,75849,False,2,59,2024-11-06,0.384,0.00341,0,-39.053,0,0.0447,0.996,0.943,0.0964,0.117,116.941,4,"['compositional ambient', 'post-minimalism']",73,1031619
9,And Some Will Fall - Edit,3zhI27rwuBWsh1LX4a1UF9,Max Richter,2VZNmg4vCnew4Pavo8zDdW,In A Landscape,2024-09-06,251642,False,1,54,2024-11-06,0.0928,0.118,2,-22.083,1,0.044,0.393,0.882,0.111,0.0377,86.786,4,"['compositional ambient', 'post-minimalism']",73,1031619
