,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,2020-05-29,169226,True,3,80,2024-11-06,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
1,Wish (feat. Trippie Redd) - Trippie Mix,0c0YHn3DIQLl1opsQDd9kO,Diplo,5fMUXHkw8R8eOP2RNVYEZX,LIFE'S A TRIP,2018-08-10,176874,True,3,70,2024-11-06,0.565,0.819,9,-7.899,1,0.0668,0.232,0.0,0.111,0.682,94.011,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
2,Lean On,01aTsQoKoeXofSTvKuunzv,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission,2015-06-01,176561,False,4,73,2024-11-06,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,6202023
3,Heartbroken (feat. Jessie Murph & Polo G),60eA3QITW5G2D7Woc11uKc,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Diplo Presents Thomas Wesley: Chapter 2 - Swamp Savant,2023-07-28,204325,False,8,68,2024-11-06,0.67,0.589,2,-5.693,1,0.0873,0.379,0.0,0.0942,0.628,146.978,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
4,Cold Water,7zsXy7vlHdItvUSH8EwQss,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Cold Water,2016-07-22,185360,False,1,66,2024-11-06,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.5,92.946,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,6202023
5,Light It Up (Remix),1qFSPn37zEeCyRiVpkW9dt,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission (Extended),2015-11-27,166138,False,10,66,2024-11-06,0.747,0.877,9,-3.782,0,0.0668,0.0385,0.00089,0.233,0.751,107.989,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,6202023
6,Heartbroken (feat. Jessie Murph & Polo G),6NdnvPwQvZb147DVa4x14h,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Heartbroken (feat. Jessie Murph & Polo G),2023-07-21,204325,False,1,63,2024-11-06,0.67,0.589,2,-5.693,1,0.0873,0.379,0.0,0.0942,0.628,146.978,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
7,Wish,7lxOjQyVsHQ8toQeT7IgCc,Diplo,5fMUXHkw8R8eOP2RNVYEZX,California,2018-03-23,175273,True,4,58,2024-11-06,0.57,0.903,9,-4.835,1,0.0905,0.0748,0.0,0.199,0.603,93.943,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
8,Que Calor,5dSWNkk66Gez4AM1kpZPiu,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Major Lazer Essentials,2018-10-19,169997,False,2,61,2024-11-06,0.795,0.885,8,-4.13,1,0.0715,0.0375,0.00638,0.292,0.46,126.037,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,6202023
9,Stay High,7LXimIqTYO76Utly8VFABu,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Stay High,2023-11-24,188320,False,1,63,2024-11-06,0.712,0.82,4,-6.624,0,0.0382,0.00226,0.359,0.1,0.322,128.005,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,2689681
