,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,United,1967-08-29,151666,False,1,83,2024-11-06,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.797,129.987,4,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",76,5511341
1,My Girl,745H5CctFr12Mo7cqa1BMH,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,The Temptations Sing Smokey,1965-03-22,165000,False,3,80,2024-11-06,0.574,0.418,0,-10.739,1,0.0345,0.636,0.0,0.0961,0.692,104.57,4,"['classic soul', 'disco', 'memphis soul', 'motown', 'soul']",69,3033408
2,September,3kXoKlD84c6OmIcOLfrfEs,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,September (sped up + slowed),1978-11-18,216022,False,1,82,2024-11-06,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
3,Super Freak,2dCmGcEOQrMQhMMS8Vj7Ca,Rick James,0FrpdcVlJQqibaz5HfBUrL,Street Songs (Deluxe Edition),1981-04-07,205466,False,5,76,2024-11-06,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4,"['disco', 'funk', 'motown', 'p funk', 'quiet storm', 'soul', 'synth funk']",65,1249414
4,Be My Baby,1WN4uNclrDuczTO3bCr8s1,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Presenting the Fabulous Ronettes Featuring Veronica,1964-11-01,160906,False,7,79,2024-11-06,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,4,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']",68,336115
5,Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,The Definitive Collection,2002-10-29,245493,False,9,74,2024-11-06,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,4,"['motown', 'soul']",77,6650780
6,"Signed, Sealed, Delivered (I'm Yours)",0kzhMZZNmxiLG7qyJhVBHB,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Signed Sealed And Delivered,1970-08-07,161000,False,3,74,2024-11-06,0.67,0.619,0,-10.365,0,0.0323,0.0514,0.0,0.0492,0.807,108.826,4,"['motown', 'soul']",77,6650780
7,Let's Groove,3koCCeSaVUyrRo3N2gHrd8,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,Raise!,1981-11-14,339320,False,1,75,2024-11-06,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,4,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,4507957
8,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,Commodores,6twIAGnYuIT1pncMAsXnEm,Commodores,1977-01-01,256426,False,9,75,2024-11-06,0.591,0.387,10,-15.077,0,0.0334,0.111,3.23e-05,0.0596,0.358,132.921,4,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",66,1940782
9,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,Four Tops,7fIvjotigTGWqjIz6EP1i4,Four Tops - Second Album,1965,160280,False,1,74,2024-11-06,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,4,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']",65,1158653
10,I Want You Back,5LxvwujISqiB8vpRYv887S,The Jackson 5,2iE18Oxc8YSumAU232n4rW,Diana Ross Presents The Jackson 5,1969-12-18,176333,False,3,75,2024-11-06,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,4,"['motown', 'soul']",67,1647231
