,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,Train,3FUY2gzHeIiaesXtOAdB7A,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01,216773,False,2,83,2024-11-06,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,4,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,4338738
1,Soul Sista,1eetzMDPNpYSZOreBw7SSk,Bilal,4jCbgl5Dmt3uOh8WRQfpPs,1st Born Second,2001-01-01,318666,True,10,50,2024-11-06,0.706,0.326,8,-10.45,0,0.116,0.538,8.06e-06,0.171,0.705,145.976,4,['neo soul'],64,292202
2,SOULSUCKER,2zls6poyQkulXSvJE8fAXd,Waterparks,3QaxveoTiMetZCMp1sftiu,SOULSUCKER,2024-05-26,146620,True,1,41,2024-11-06,0.576,0.764,8,-6.533,1,0.116,0.0342,0.0,0.382,0.55,77.467,4,"['neon pop punk', 'pixie', 'pop punk', 'pov: indie', 'texas pop punk']",60,531775
3,"Soul Sista - Remix / From ""Queen & Slim: The Soundtrack""",54SqlaPV5mzRTBBWdnE1OO,Bilal,4jCbgl5Dmt3uOh8WRQfpPs,Queen & Slim: The Soundtrack,2019-11-15,339846,False,2,39,2024-11-06,0.603,0.412,11,-9.838,1,0.139,0.815,0.000337,0.114,0.432,146.044,4,['neo soul'],64,292202
4,Soul-net,5YFdllyW7ZUKL5xmAXkTOr,DIIV,4OrizGCKhOrW6iDDJHN9xd,Frog In Boiling Water,2024-05-24,264933,False,9,39,2024-11-06,0.454,0.724,2,-5.923,1,0.0288,0.00688,0.873,0.14,0.262,141.944,4,"['brooklyn indie', 'dream pop', 'dreamo', 'indie rock', 'indie surf', 'modern dream pop', 'neo-psychedelic', 'new york shoegaze', 'nu gaze', 'shoegaze']",52,387341
5,Soulstar,6YaGrRs7ipkIY0VJlI2PYL,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,Soulstar,2003-12-09,162680,False,1,32,2024-11-06,0.739,0.617,1,-4.514,0,0.329,0.236,1.26e-06,0.884,0.861,89.799,4,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",60,1167763
6,Silky Soul,13DPzltcv8RmuzQDfw2ItH,Maze,3DvdryKH4O95ZnsUZJKXpt,Silky Soul,1989-09-01,405200,False,1,44,2024-11-06,0.635,0.661,1,-13.962,0,0.0404,0.574,1.25e-06,0.333,0.887,93.048,4,"['classic soul', 'funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",55,506095
7,Soul,05kGqlivP8kC4OCI7ndGdu,Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,The Matchbox Twenty Collection,2013-11-08,274293,False,10,36,2024-11-06,0.418,0.772,4,-4.269,1,0.0483,0.125,0.0,0.108,0.527,163.982,4,"['neo mellow', 'pop rock', 'post-grunge']",69,2557188
8,Soul Inspiration,6tB4PBScwCaD94sZUfjygA,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,Essential Soul Serenades,2017-08-11,319400,False,25,30,2024-11-06,0.653,0.662,6,-7.03,1,0.026,0.382,0.0,0.0859,0.51,104.026,4,"['funk', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",56,1384453
9,Let It Happen - Soulwax Remix,5Z1E4jrUzitOQRczI8gfSL,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Currents B-Sides & Remixes,2017-11-16,556924,False,5,51,2024-11-06,0.745,0.847,1,-4.566,0,0.0341,0.191,0.808,0.112,0.774,125.02,4,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",81,8273571
10,"Hey, Soul Sister",5SFJRXA0zX2xFIZHBXcnI5,Train,3FUY2gzHeIiaesXtOAdB7A,Greatest Hits,2018-11-09,216906,False,7,46,2024-11-06,0.67,0.868,1,-5.566,0,0.0417,0.17,0.0,0.0826,0.772,97.053,4,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,4338738
11,Just Friends (Sunny),5jgEJXjECdlhzNgfITSTVm,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,Aijuswanaseing,2000-01-01,251426,False,4,58,2024-11-06,0.754,0.376,0,-7.56,1,0.208,0.404,0.0,0.358,0.556,95.018,4,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",60,1167763
12,Halfcrazy,3oXNIpoUMdk8qGkwCeXqGv,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,Juslisen,2002-05-07,254493,False,7,60,2024-11-06,0.412,0.77,11,-6.057,0,0.18,0.462,1.5e-06,0.0485,0.418,101.955,3,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",60,1167763
13,Soul I (Avow),2nzqrMmqC8H22eXMCPheuJ,Sebastian Plano,7epYP6gVqTvHaKG7iSMAzr,Save Me Not,2021-07-02,191222,False,6,37,2024-11-06,0.351,0.129,8,-18.496,0,0.0318,0.819,0.904,0.115,0.0379,107.649,4,"['compositional ambient', 'neo-classical']",45,24244
14,Super Duper Love,30yn7KuCLbXGCXxjsB0C8K,Joss Stone,7bvcQXJHkFiN1ppIN3q4fi,The Soul Sessions,2003-01-01,260013,False,2,59,2024-11-06,0.69,0.767,11,-3.411,0,0.14,0.0207,0.0,0.131,0.668,187.993,4,"['british soul', 'neo soul']",58,1095192
15,Soul,5udCU6rTjnSdjUIIze10Vu,Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,More Than You Think You Are,2002-11-01,274293,False,10,28,2024-11-06,0.418,0.772,4,-4.269,1,0.0483,0.125,0.0,0.108,0.527,163.982,4,"['neo mellow', 'pop rock', 'post-grunge']",69,2557188
16,Souls in the Machine,6yV2n0AvOoXHjB7hUTUFSC,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Boxes,2016-05-06,229093,False,2,31,2024-11-06,0.52,0.854,7,-3.73,1,0.0425,0.000306,1.45e-06,0.0982,0.213,112.035,4,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",76,2969606
17,Once,72a7BreUstd8JSHbPyMr0d,Alexis Ffrench,58R31AvN8JMHM7xkNpVLjX,Classical Soul Vol. 1,2024-09-27,125984,False,18,63,2024-11-06,0.338,0.00887,8,-32.602,1,0.0459,0.994,0.957,0.109,0.114,113.173,4,['neo-classical'],65,172142
18,Beautiful Soul,3g61xRaqII8q1wlQDzv550,Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,"Cover Sessions, Vol. 4",2017-12-19,216612,False,6,58,2024-11-06,0.483,0.506,9,-6.058,1,0.0347,0.394,0.0,0.0946,0.705,87.337,4,"['acoustic cover', 'neo mellow', 'viral pop']",69,3056532
19,Love,6uSa5iCMwPr10Ftpz8w09b,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,Aijuswanaseing,2000-01-01,304666,False,7,55,2024-11-06,0.569,0.385,1,-9.919,0,0.0499,0.342,0.0,0.0876,0.339,99.749,4,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",60,1167763
20,Soul,4p3vRi1etRt35rekH2NQD4,The Floacist,2vlbiZTuFOGEwyCZbXOCPL,The Floacist Presents Floetry Re:Birth,2012-11-13,173320,False,5,32,2024-11-06,0.723,0.871,0,-6.486,0,0.0496,0.121,0.0255,0.183,0.94,89.952,4,['neo soul'],32,45631
21,Soulbird Rise,6W16rw96t1xxyLinPuBeKX,India.Arie,7Gf3LSwa5hh8Cjo60WhVjC,SongVersation: Medicine,2017-06-30,199613,False,2,31,2024-11-06,0.611,0.26,0,-11.406,0,0.0401,0.765,0.0,0.112,0.163,159.772,4,"['neo soul', 'r&b', 'urban contemporary']",56,909204
22,Soulmate (Heartstrings),3Vg8F020lGiLEggmVnV5Qj,MMYYKK,1tCMk7g0K58M82X2kNxlGT,Love In Synthesis,2016-07-28,208000,False,3,31,2024-11-06,0.713,0.394,0,-7.591,1,0.261,0.368,0.0256,0.178,0.524,119.84,4,"['indie r&b', 'minneapolis indie', 'neo r&b']",32,14632
23,Forthenight,2s0DmFkinx9TZMFxAfn4lJ,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,soulstar,2003-01-01,229466,False,4,42,2024-11-06,0.697,0.678,3,-7.133,0,0.234,0.256,0.0,0.191,0.785,101.051,4,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",60,1167763
