,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Age of Consent - 2015 Remaster,2EEinN4Zk8MUv4OQuLsTBj,New Order,0yNLKJebCb8Aueb54LYya3,Power Corruption and Lies,1983-05-02,315333,False,1,62,2024-11-06,0.372,0.91,2,-5.559,1,0.0392,0.00101,0.0944,0.13,0.756,161.964,4,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",67,2266194
1,Smalltown Boy,5vmRQ3zELMLUQPo2FLQ76x,Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,The Age of Consent,1984-10-15,302413,False,6,79,2024-11-06,0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",66,626065
2,Video Killed The Radio Star,6t1FIJlZWTQfIZhsGjaulM,The Buggles,057gc1fxmJ2vkctjQJ7Tal,The Age Of Plastic,1980-01-10,253800,False,2,62,2024-11-06,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,4,"['early synthpop', 'new wave pop', 'zolo']",57,122755
3,Space Age Love Song,7zSAI7Ae6DPVepN8MksKVZ,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,We Are The '80s,1981,226693,False,2,55,2024-11-06,0.447,0.744,2,-4.613,1,0.0311,3.62e-05,0.106,0.21,0.552,139.959,4,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",58,645733
4,Ages Ago,0tfouyEsplq69kg7OfkkFy,Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,Forth Wanderers,2018-04-27,135360,False,3,37,2024-11-06,0.238,0.617,7,-4.846,1,0.0401,0.00125,0.0011,0.185,0.384,202.557,4,"['bubblegrunge', 'new jersey indie']",39,48301
5,Space Age Love Song,0xzn2U71zNWLeJbE4Zat4C,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,1982-04-30,227866,False,2,48,2024-11-06,0.493,0.516,2,-13.071,1,0.0295,0.00072,0.229,0.121,0.621,139.865,4,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",58,645733
6,Know Who You Are At Every Age,4IdcRddA9tKLvTwpymycpU,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Four-Calendar Café,1993-10-18,220480,False,1,49,2024-11-06,0.583,0.676,4,-7.797,0,0.0271,0.00361,0.0,0.113,0.607,111.719,4,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']",66,1117045
7,Why ?,7vOLJwP5O0woITaIQWOoUX,Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,The Age of Consent,1984-10-15,243773,False,1,58,2024-11-06,0.573,0.776,5,-9.482,0,0.0385,0.0295,0.00248,0.171,0.607,138.326,4,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",66,626065
8,Static Age,3K40yXUifZh7dyPrEpgEPI,Misfits,1cXi8ALPQCBHZbf0EgP4Ey,Static Age,1997-01-01,107333,False,1,41,2024-11-06,0.425,0.942,11,-9.018,0,0.0622,0.0138,0.587,0.346,0.511,133.98,4,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']",68,1472846
9,B61,48I5zrBAbKfGp7lqfBZ0Ll,Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,Age of Apathy,2022-01-21,221842,False,2,47,2024-11-06,0.471,0.205,1,-16.448,1,0.0402,0.823,0.00234,0.12,0.158,137.414,4,"['boston folk', 'ectofolk', 'folk', 'indie folk', 'new americana', 'progressive bluegrass']",49,69140
