,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Wave of Death,6egRwYsMJ8DVJQAKOjHWou,Municipal Waste,2Ah9OuOj7B57gPD1cbwiaE,The Last Rager,2019-10-11,113040,False,1,57,2024-11-06,0.402,0.99,8,-2.934,0,0.126,1.85e-05,0.549,0.0749,0.481,82.341,4,"['crossover thrash', 'death metal', 'groove metal', 'metal', 'new wave of thrash metal', 'speed metal', 'thrash metal', 'virginia metal', 'virginia punk']",52,308058
1,Waveform,1WbxDe9nFwnS9Sx2nnLMcI,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,Cardinal (Expanded Edition),2016-02-12,271013,False,6,34,2024-11-06,0.342,0.38,7,-8.237,1,0.0281,0.846,0.00869,0.356,0.116,71.038,4,"['countrygaze', 'new jersey indie', 'small room']",67,445141
2,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1985,238733,False,6,76,2024-11-06,0.597,0.87,10,-11.97,1,0.0371,0.0119,0.166,0.0678,0.944,109.901,4,['new wave pop'],63,111760
3,Wave Across The Wheat Field,5Dmmw2HQaqjctbFYZfLC8z,Wayne Gratz,18xSLnaLxBTsXjqkVvPzEk,Two Views,2009-05-18,136293,False,3,30,2024-11-06,0.289,0.0741,2,-24.488,1,0.041,0.993,0.934,0.0821,0.168,76.372,4,"['new age', 'new age piano']",36,6641
4,Waveform (Demo),5lEVi7uXirrQNSSG2rzOjr,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,Cardinal (Expanded Edition),2016-02-12,279241,False,10,24,2024-11-06,0.406,0.404,7,-6.559,1,0.0261,0.704,0.316,0.0836,0.0935,69.021,4,"['countrygaze', 'new jersey indie', 'small room']",67,445141
5,Waveforms,0OuD2zfdg66EfTsMQtYAZo,Django Django,2ARO60gI5do88ho6azmzab,Django Django,2012-08-21,266600,False,5,19,2024-11-06,0.71,0.801,0,-5.016,1,0.0318,0.016,0.00139,0.0844,0.588,123.807,4,"['alternative dance', 'electronic rock', 'indietronica', 'new rave', 'shimmer pop']",43,248454
6,Waves,210fuXISFCXQCvRvWzoXgW,Blancmange,3LtBdgNHdH0Ix8hCFZ4NJG,Happy Families,1982-01-01,247239,False,6,32,2024-11-06,0.653,0.749,4,-7.039,1,0.034,0.129,0.797,0.438,0.585,118.37,4,"['new romantic', 'synthpop']",40,114118
7,White Wedding,35i19j4Zz7WaL5KozRHjyQ,Billy Idol,7lzordPuZEXxwt9aoVZYmG,New Wave Hits Of The 80s,2017-10-20,252320,False,8,48,2024-11-06,0.641,0.671,9,-11.764,1,0.0354,0.0171,0.00178,0.361,0.782,147.338,4,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",71,2100013
8,"Say Hello, Wave Goodbye - 7"" Single Version",0Lx6O1tC3CPF1giLJIt5Jv,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Non-Stop Erotic Cabaret,1981,323866,False,10,47,2024-11-06,0.188,0.497,0,-9.778,1,0.0398,0.216,0.0,0.152,0.527,205.253,4,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",66,724963
9,Waves,5j71itbIPIQViL1Tsum1eB,Susto,7foyQbi7GKriLiv1GPVEwt,& I'm Fine Today,2017-01-13,223097,False,3,15,2024-11-06,0.472,0.858,4,-4.799,1,0.0449,0.000152,4.64e-05,0.111,0.65,102.964,4,"['deep new americana', 'south carolina indie']",47,48703
