,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rocket USA (2019 - Remaster),2ZA9Sw1hq8mOaFzOiPyN71,Suicide,6uVeWolwyRDrT84lLsaZyW,Suicide (2019 - Remaster),1977-12-28,256760,False,2,35,2024-11-06,0.462,0.696,9,-9.525,1,0.04,0.0224,0.56,0.122,0.0711,133.027,4,"['experimental', 'experimental rock', 'no wave', 'noise rock', 'synth punk']",43,179014
1,Rocket,4AeHadIXCfZJHNXcRXlCDe,That Kid,7mUQPmZ6OzwtJEEXDOqyOY,Rocket,2019-06-07,193432,False,1,28,2024-11-06,0.657,0.81,11,-7.958,0,0.129,0.0379,9.22e-05,0.0888,0.372,133.957,4,"['hyperpop', 'pink noise', 'proto-hyperpop']",40,53240
2,Waves Hitting Rocks,5149jZeDqwWPrJ0jrW3SKI,Surf & Turf,50629oufjz881d0uHfUC3n,Coastline Chorus,2023-05-29,192000,False,2,46,2024-11-06,0.077,0.528,7,-11.83,1,0.19,0.678,0.917,0.295,0.0132,83.993,4,['color noise'],32,58
3,Rockets fall on Rocket Falls,3BcBBVczJbovxJIOmKjJMI,Godspeed You! Black Emperor,4svpOyfmQKuWpHLjgy4cdK,Yanqui U.X.O.,2002-11-04,1242266,False,3,32,2024-11-06,0.227,0.444,6,-11.366,1,0.0411,0.148,0.873,0.281,0.0396,113.077,4,"['canadian post-rock', 'double drumming', 'instrumental post-rock', 'noise pop', 'post-rock']",52,434688
4,Madonna Rocket,15WUTQUL9L4d3tFHUg6McH,Show Me the Body,5jh7sgXW2njALiIh0aPXjB,Dog Whistle,2019-03-29,147960,False,8,37,2024-11-06,0.375,0.997,11,-2.546,0,0.214,4.36e-05,0.0,0.133,0.0737,164.455,4,['noise punk'],47,113790
5,Waves Crashing on Rocks,1orDQvwwaBsGbsxMNeiWZa,Natsound,1GJH8huKOcDNdAdgwExXnw,"Peaceful Rivers, Rains, Waves",2021-07-13,164000,False,6,44,2024-11-06,0.0778,0.914,3,-15.025,1,0.0588,0.158,0.98,0.276,1e-05,170.71,3,"['color noise', 'rain', 'sound']",53,786
6,Rocket USA,375CpQVrr2xkiVtuS0hpMp,Suicide,6uVeWolwyRDrT84lLsaZyW,Ghost Riders,1998-03-06,293906,False,1,26,2024-11-06,0.254,0.385,11,-14.268,0,0.0465,0.00993,0.677,0.304,0.0323,184.438,3,"['experimental', 'experimental rock', 'no wave', 'noise rock', 'synth punk']",43,179014
7,Rocky,0gGd3ri0LwGuwH17PXupIG,Butthole Surfers,62BcWP4fzR8axESibNQEhs,Hairway To Steven,1988-01-01,225213,False,5,19,2024-11-06,0.316,0.622,9,-13.775,0,0.0306,0.198,0.0111,0.0991,0.59,111.051,4,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'psychedelic punk', 'punk']",52,378876
8,Silver Rocket (Album Version),0GOHcxo5Z3ohhv4cM2YB2X,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Daydream Nation (Deluxe Edition),1988-10-04,227800,False,2,35,2024-11-06,0.131,0.876,9,-9.837,0,0.0586,3.65e-05,0.72,0.12,0.0709,184.049,4,"['alternative rock', 'noise pop', 'noise rock', 'rock', 'shoegaze']",59,1220665
9,Rockers East Vancouver,0YO8BEcYyRlT4aKcyMFisQ,Japandroids,2WcCoPxAWFNSCvsFPrpf30,Post-Nothing,2009-08-04,271800,False,4,18,2024-11-06,0.226,0.949,4,-4.636,1,0.109,0.00323,0.00309,0.126,0.19,181.654,4,"['canadian indie', 'canadian indie rock', 'indie rock', 'modern alternative rock', 'modern rock', 'noise pop', 'noise rock', 'vancouver indie', 'vancouver punk']",44,126928
10,Sweetest Kill,488u1IbVEsaC7fxjABWjHx,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,Forgiveness Rock Record,2010,309306,False,11,44,2024-11-06,0.708,0.384,5,-12.427,1,0.0302,0.0893,0.841,0.0961,0.691,87.961,4,"['alternative rock', 'baroque pop', 'canadian indie', 'canadian indie rock', 'canadian rock', 'indie rock', 'noise pop']",53,377344
11,Rock,7gaAZfWHv6V2W4vsAyR23E,Cloud Nothings,6rnbB5fuUuCSsspvFsxIpT,Cloud Nothings,2011-01-25,102320,False,7,14,2024-11-06,0.503,0.89,4,-3.618,1,0.0327,0.00178,0.193,0.201,0.933,117.627,4,"['cleveland indie', 'indie punk', 'indie rock', 'lo-fi', 'modern power pop', 'noise pop', 'popgaze']",41,169484
12,Silver Rocket (Album Version),1wdKHMe9QikRtwOdCz74ps,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Daydream Nation (Remastered Original Album),1988-10-11,227800,False,2,29,2024-11-06,0.131,0.876,9,-9.837,0,0.0586,3.65e-05,0.72,0.12,0.0709,184.049,4,"['alternative rock', 'noise pop', 'noise rock', 'rock', 'shoegaze']",59,1220665
13,Rock'n Roll,0XUg4SXrxxtNi2llt84eHL,Espanto,4m2iq2WEoxSFvOZd130HIQ,Rock'n Roll,2012-11-21,273059,False,9,27,2024-11-06,0.603,0.686,11,-9.461,1,0.0402,0.00446,0.186,0.131,0.465,119.945,4,"['spanish indie pop', 'spanish noise pop']",25,10911
14,Rock Lobster,6vPiDfyhGF4xfJ9cSNb0bx,Botch,4kRYDoAbgDL7nqeqZhJlA3,Unifying Themes Redux,2006-09-26,189333,False,14,12,2024-11-06,0.372,0.991,4,-7.19,1,0.0837,4.04e-05,0.13,0.203,0.0921,105.781,4,"['american metalcore', 'chaotic hardcore', 'mathcore', 'noise rock', 'post-hardcore', 'post-metal', 'sludge metal']",31,61709
