,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Folketone fra Sunnmøre,4MwIvaD7U0tuZQsL37MPCG,Bukkene Bruse,5614oJeINf6cdpZe5XvDKJ,Spel,2004-02-10,259026,False,1,20,2024-11-06,0.145,0.336,9,-13.307,0,0.0434,0.973,0.647,0.685,0.063,94.118,3,"['hardingfele', 'nordic folk', 'norwegian folk']",18,2616
1,Sleep for Mama (Icelandic Folk Song),2xI6xvh6At0gjyLeiMP9RC,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,Winter Tales,2021-10-15,159013,False,3,26,2024-11-06,0.503,0.0164,2,-28.316,1,0.0595,0.993,0.921,0.0854,0.0652,123.126,4,"['classical piano', 'nordic classical piano']",63,89598
2,Ett Folk Förbannat,43ueXmQ6KjITk0hKKOPOLA,Finntroll,4ZgkHVHmGPXuRy8zd26ZJX,Blodsvept,2013-04-02,205626,False,2,25,2024-11-06,0.493,0.989,9,-5.021,1,0.0532,0.000321,0.033,0.331,0.444,110.085,4,"['finnish metal', 'folk metal', 'melodic death metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']",41,217439
3,Where Life and Death May Dwell (Icelandic Folk Song) - Upright Piano,5nT6d7T6PHB4LlNuNiH3uM,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,From Afar,2022-10-07,105386,False,10,24,2024-11-06,0.423,0.0112,9,-29.825,0,0.04,0.989,0.954,0.122,0.21,80.828,3,"['classical piano', 'nordic classical piano']",63,89598
4,Sleep for Mama (Icelandic Folk Song),2kH0QJEGGbAdcb0EbShEwG,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,Sleep for Mama (Icelandic Folk Song),2021-10-15,159013,False,1,22,2024-11-06,0.503,0.0164,2,-28.316,1,0.0595,0.993,0.921,0.0854,0.0652,123.126,4,"['classical piano', 'nordic classical piano']",63,89598
5,Ufirstanan Folk,5mRONDMTOItI4NJMynRKaf,Falkenbach,2RyAx3MPzx4ESZOJOod2Hj,Asa,2013-11-01,353360,False,9,18,2024-11-06,0.458,0.807,10,-7.624,1,0.0358,2.08e-05,0.00172,0.153,0.322,127.498,3,"['autonomous black metal', 'black metal', 'folk black metal', 'folk metal', 'german metal', 'icelandic black metal', 'nordic folk metal', 'pagan black metal', 'viking black metal', 'viking metal']",31,72414
6,"I. Rubato (from 3 Hungarian Folksongs from Csík, Sz. 35a/1) - Grand Piano",0JxuGIsOZbcQjTCTOrS64C,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,From Afar,2022-10-07,71386,False,5,27,2024-11-06,0.35,0.0523,9,-29.607,1,0.0394,0.991,0.966,0.0777,0.301,68.3,3,"['classical piano', 'nordic classical piano']",63,89598
7,Where Life and Death May Dwell (Icelandic Folk Song) - Grand Piano,6i7Z7xpttdrwIFoypkIj9z,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,From Afar,2022-10-07,113080,False,10,25,2024-11-06,0.482,0.00642,9,-29.921,0,0.0637,0.992,0.963,0.102,0.665,72.928,3,"['classical piano', 'nordic classical piano']",63,89598
8,"III. Poco vivo (from 3 Hungarian Folksongs from Csík, Sz. 35a/3) - Grand Piano",5Kr4ivNc3cJsxDj4SZLbW1,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,From Afar,2022-10-07,75253,False,7,22,2024-11-06,0.322,0.0574,9,-23.297,1,0.0354,0.978,0.954,0.0848,0.0735,86.957,4,"['classical piano', 'nordic classical piano']",63,89598
9,"II. L’istesso tempo (from 3 Hungarian Folksongs from Csík, Sz. 35a/2) - Grand Piano",0GJvfM1WQ8AnWdeP19YMzs,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,From Afar,2022-10-07,55093,False,6,21,2024-11-06,0.425,0.125,4,-27.043,1,0.0533,0.965,0.956,0.0819,0.315,136.061,5,"['classical piano', 'nordic classical piano']",63,89598
