,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Metal Frenzy,1Vp8hQsIG6O44AZuemh5Fa,Johan Söderqvist,0Z6bE6kOVhh2DHZPMUz2Sr,Battlefield 1 (Original Soundtrack),2016,101618,False,13,30,2024-11-06,0.436,0.7,11,-9.172,1,0.0301,0.138,0.981,0.152,0.294,75.006,4,"['nordic soundtrack', 'soundtrack', 'video game music']",50,21682
1,Battle Metal,2JRvamzTwF8WtJ71MPhIIc,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,263266,False,3,35,2024-11-06,0.218,0.881,7,-5.049,1,0.0577,0.000101,0.423,0.375,0.382,105.116,3,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
2,Tortured Metal,4z3sVkyBnF8D8MCJwdiQNp,Johan Söderqvist,0Z6bE6kOVhh2DHZPMUz2Sr,Battlefield 1: Apocalypse (Original Soundtrack),2019-05-17,232946,False,5,18,2024-11-06,0.442,0.546,5,-14.062,0,0.042,0.426,0.929,0.108,0.117,104.016,3,"['nordic soundtrack', 'soundtrack', 'video game music']",50,21682
3,For Those About to Fight for Metal,43q96dY1coOtTywVVeOdAc,Ensiferum,0krXCIkthz13P8o0v2tksH,Two Paths,2017-09-15,317520,False,2,30,2024-11-06,0.413,0.974,2,-5.446,1,0.0804,1.19e-05,0.835,0.096,0.108,97.493,4,"['finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']",51,323496
4,Pedal To The Metal,5NVcXzN3eVNoIE6STw0pmg,Ludwig Göransson,24eDfi2MSYo3A87hCcgpIL,Venom (Original Motion Picture Soundtrack),2018-10-05,230013,False,10,26,2024-11-06,0.246,0.656,7,-9.769,1,0.0518,0.00425,0.886,0.106,0.211,104.877,5,"['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",67,353316
5,Stone Cold Metal,6QThKpqUT1T8nAAnvvymJh,Ensiferum,0krXCIkthz13P8o0v2tksH,From Afar,2009-01-01,445480,False,6,21,2024-11-06,0.521,0.946,8,-6.685,1,0.078,0.00162,0.359,0.15,0.278,139.964,4,"['finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']",51,323496
6,Battle Metal 2008,3UjBxpyPDQq3cTPB7opPg5,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,244880,False,13,14,2024-11-06,0.255,0.964,11,-4.951,1,0.0705,0.000113,0.0511,0.167,0.478,105.013,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
7,Battle Metal,7g4cjCokb9392KGgPO2ZQt,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal,2004-07-26,263266,False,3,13,2024-11-06,0.133,0.881,2,-5.075,1,0.0753,0.00012,0.417,0.375,0.349,69.967,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
8,Pedal To The Metal,11cIeixTOKMOS5YzKVYYLN,Ludwig Göransson,24eDfi2MSYo3A87hCcgpIL,Pedal To The Metal,2018-09-28,230013,False,1,18,2024-11-06,0.246,0.656,7,-9.769,1,0.0518,0.00425,0.886,0.106,0.211,104.877,5,"['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",67,353316
9,Sahti Waari,5clUjbxHSe1IEJX7LEH3rv,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,148293,False,9,27,2024-11-06,0.42,0.885,0,-6.611,1,0.0466,0.00243,0.921,0.31,0.68,159.853,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
10,As Torches Rise,6ArxcCJ2z7gua21V4U59Cx,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,291373,False,2,18,2024-11-06,0.218,0.892,2,-5.537,1,0.0513,5.02e-05,0.295,0.189,0.445,147.783,5,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
11,One More,0YxK3Y281ZLjddRyc4Ra5U,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,410186,False,6,19,2024-11-06,0.289,0.781,1,-5.931,0,0.0397,0.00109,0.325,0.108,0.236,120.01,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
12,The Land of Hope and Glory,5y6Yiopz61lDYZg2DdZ42P,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,382173,False,4,18,2024-11-06,0.179,0.84,5,-6.63,0,0.0857,0.00269,0.532,0.295,0.357,85.025,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
13,For Those About to Fight for Metal,2mIAmQKBCG394k6USMSrlI,Ensiferum,0krXCIkthz13P8o0v2tksH,For Those About to Fight for Metal,2017-07-19,317520,False,1,11,2024-11-06,0.413,0.974,2,-5.446,1,0.0804,1.19e-05,0.835,0.096,0.108,97.493,4,"['finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']",51,323496
14,Rex Rebi Rebellis,3cp1CtYPexsDteWuFmx0xN,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,430360,False,11,15,2024-11-06,0.536,0.77,7,-7.824,1,0.0454,0.00145,0.206,0.108,0.226,109.988,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
15,Metals,62otFLvkCviTTxmSdM2yB2,Spunsugar,2NDWJvRwXGTFBngWiSNLu9,A Hole Forever,2023-11-17,185600,False,1,3,2024-11-06,0.43,0.956,9,-5.731,1,0.0498,2.81e-05,0.0483,0.254,0.489,128.005,4,['nordic shoegaze'],8,1185
16,Victoriae & Triumphi Dominus,3vYFXPju1Fr2yT7q74jrkW,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,87800,False,1,15,2024-11-06,0.307,0.466,6,-9.836,0,0.0293,0.00705,0.94,0.454,0.564,159.836,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
17,The Messenger,5yvGEIQWLQBME5lNOY7CMG,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,282333,False,5,15,2024-11-06,0.127,0.879,7,-5.77,1,0.0857,0.000111,0.422,0.126,0.257,79.875,4,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
