,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Only Time,6FLwmdmW77N1Pxb1aWsZmO,Enya,6uothxMWeLWIhsGeF7cyo4,A Day Without Rain,2000-11-11,218546,False,3,71,2024-11-06,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
1,Caribbean Blue,31TAub5WKWEsVTJcdksxq7,Enya,6uothxMWeLWIhsGeF7cyo4,Shepherd Moons,1991-11-15,239600,False,2,55,2024-11-06,0.386,0.319,4,-16.512,1,0.0332,0.776,0.965,0.106,0.661,157.614,3,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
2,Vivo Por Ella (feat. KAROL G),0XG0M7286ZdcOflyehbXmS,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,Vivo Por Ella (feat. KAROL G),2024-08-30,264040,False,1,70,2024-11-06,0.463,0.442,2,-8.681,1,0.0327,0.39,0.0,0.102,0.18,135.952,4,"['classical tenor', 'italian tenor', 'operatic pop']",72,2894447
3,The Arts and the Hours,1G3QPQkoXvpChjNUhd6Tfs,Jean-Philippe Rameau,4JSWO1Pf2zV991fq64uAce,"Rameau, Ólafsson: The Arts and the Hours",2020-03-06,285442,False,1,60,2024-11-06,0.417,0.026,1,-36.7,1,0.0493,0.995,0.938,0.107,0.269,135.244,4,"['baroque', 'classical', 'early music', 'french baroque', 'french opera']",55,81310
4,"Massenet: 10 Pièces de genre, Op. 10: No. 5, Mélodie ""Élégie""",5fvgwYoP4NGmfvh7TvO9YX,Jules Massenet,1AoIc5YFH0aSFc4mKqBEeB,Relaxing Piano,2024-10-27,156560,False,5,23,2024-11-06,0.335,0.0121,4,-27.15,0,0.0455,0.995,0.883,0.0858,0.168,68.764,4,"['classical', 'french opera', 'french romanticism', 'post-romantic era']",54,39391
5,Cavalleria rusticana: Intermezzo,6wKkWFhgOPKgiE360T6NNs,Pietro Mascagni,3Z5fRknMBBNfCw6pkgR9S8,Cavalleria rusticana: Intermezzo,2023-09-15,243106,False,1,58,2024-11-06,0.0807,0.0644,5,-25.724,1,0.0491,0.874,0.895,0.212,0.0345,173.113,5,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']",51,49188
6,A Day Without Rain,0y6DSMwFO6cLKN1XB85cGV,Enya,6uothxMWeLWIhsGeF7cyo4,A Day Without Rain,2000-11-11,156880,False,1,61,2024-11-06,0.23,0.159,5,-16.315,1,0.0323,0.907,0.924,0.102,0.039,70.614,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
7,May It Be,0zvv76DEro0MMox8eLbK7D,Enya,6uothxMWeLWIhsGeF7cyo4,The Very Best of Enya (Deluxe Edition),2009-12-01,209693,False,5,53,2024-11-06,0.151,0.172,9,-17.018,1,0.0383,0.981,0.0238,0.133,0.103,81.397,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
8,You Raise Me Up,4TbNLKRLKlxZDlS0pu7Lsy,Josh Groban,6cXMpsP9x0SH4kFfMyVezF,Closer,2003-11-11,292333,False,12,53,2024-11-06,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,4,['operatic pop'],61,964384
9,Watermark,2m8MwTvNHBYIqieOoQeyuY,Enya,6uothxMWeLWIhsGeF7cyo4,Watermark,1988,145640,False,1,52,2024-11-06,0.304,0.0889,10,-20.264,1,0.033,0.969,0.928,0.109,0.04,135.978,4,"['celtic', 'gregorian dance', 'operatic pop']",74,2280682
