,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Punk Rock Princess,07oVZP9Er2Fz8S59ePWLyK,Something Corporate,71h7GTahhKcSkQ1ayhTvOD,Leaving Through The Window,2002-01-01,232200,False,2,51,2024-11-06,0.522,0.882,7,-5.231,1,0.0847,0.00303,0.000151,0.0939,0.369,130.08,4,"['neon pop punk', 'piano rock', 'pop punk']",48,189635
1,P.U.N.K. Girl,4IiXEeH2j5FAVfCncumgXw,Heavenly,1sDWIdL18InXgES9TwvsL2,Atta Girl,1993-01-01,174733,False,2,57,2024-11-06,0.351,0.673,9,-11.863,1,0.111,0.0317,0.000199,0.251,0.76,185.778,4,"['c86', 'tape club', 'twee pop']",46,44487
2,Punk Rock 101,1RxLSgcsZimzKnpCLzdVsi,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,Drunk Enough To Dance,2002,188320,False,17,50,2024-11-06,0.579,0.925,4,-5.026,1,0.0509,3.75e-05,0.0,0.174,0.66,117.984,4,"['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk']",63,1172804
3,Starboy,7MXVkk9YMctZqd1Srtv4MB,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,2016-11-25,230453,True,1,87,2024-11-06,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,93895335
4,Punk Rock Song,5ACDC1gxAUXYDWherVKOiX,Bad Religion,2yJwXpWAQOOl5XFzbCxLs9,The Gray Race,1996-02-27,147173,True,5,52,2024-11-06,0.318,0.984,1,-4.673,0,0.0806,0.000215,0.000244,0.386,0.716,177.229,4,"['punk', 'skate punk', 'socal pop punk']",62,1315724
5,PUNKBITCH,1jxDpcIgPUQFVRyaCXkdqX,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,WANT,2008-07-07,231013,True,2,40,2024-11-06,0.593,0.832,5,-3.472,0,0.102,0.0147,0.0,0.145,0.568,146.072,4,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']",65,1009028
6,Punk Rock 101,1AHGrKFv3nSCH9K7yg8gOz,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,Songs People Actually Liked - Volume 1 - The First 10 Years (1994-2003),2015-01-27,184322,False,9,42,2024-11-06,0.63,0.936,4,-4.576,1,0.084,0.00128,0.0,0.0823,0.733,117.962,4,"['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk']",63,1172804
7,Can’t Punk Me (feat. EARTHGANG),2H2l7zo9EqtqxFr8R8N8Zg,JID,6U3ybJ9UHNKEdsH7ktGBZ7,The Forever Story (Extended Version),2022-10-31,203377,True,5,54,2024-11-06,0.611,0.585,1,-5.923,1,0.53,0.193,0.0,0.103,0.674,82.64,4,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",78,1910769
8,Somebody That I Used To Know,6JBX1drGsMrTE8JrAYYoou,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,"Punk Goes Pop, Vol. 5",2012-11-06,205320,False,3,57,2024-11-06,0.457,0.939,3,-4.557,1,0.0835,0.00391,9.94e-06,0.145,0.467,136.064,4,"['neon pop punk', 'pop emo', 'pop punk']",60,1367606
9,A-Punk,3AydAydLzyyZutA0375XIz,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,2008-01-29,137760,False,3,66,2024-11-06,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,4,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",67,1986189
10,Punk Rawk Show,4cbXRMGdKMjeWei1rOZz8M,MxPx,1cSpfa4Un4NCOzeOKgGtG9,Teenage Politics,1995-01-01,152560,False,4,39,2024-11-06,0.307,0.982,0,-4.244,1,0.145,0.0157,0.0,0.389,0.339,102.019,4,"['christian punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']",49,262396
11,Punk Rock Songs,4reUXdUEkTRDlCFJEANGQz,Patent Pending,0xNdN9NbR572rKrGQBjPlH,Punk Rock Songs,2019-08-09,191130,False,1,38,2024-11-06,0.524,0.907,7,-5.009,0,0.295,0.049,0.0,0.0726,0.592,196.056,4,"['pixie', 'pop punk']",41,38267
12,Linoleum,4uB28m7RAflobYpnLMb6A2,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,130266,False,1,57,2024-11-06,0.414,0.933,4,-8.699,1,0.0875,3.32e-05,0.000559,0.0702,0.436,98.375,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
