,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Die With A Smile,2plbrEY59IikOBgBGLjaoe,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Die With A Smile,2024-08-16,251667,False,1,100,2024-11-06,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,"['art pop', 'dance pop', 'pop']",92,32540666
1,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,2024-05-17,210373,False,4,97,2024-11-06,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,"['art pop', 'pop']",96,101708840
2,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",2024-04-05,218423,False,1,94,2024-11-06,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,['indie pop'],89,3765930
3,Taste,5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,157279,False,1,94,2024-11-06,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,['pop'],95,14502434
4,Timeless (with Playboi Carti),1Es7AUAhQvapIcoh3qMKDL,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Timeless,2024-09-27,256000,True,1,92,2024-11-06,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,93895335
5,Sailor Song,2262bWmqomIaJXwCRHr13j,Gigi Perez,1iCnM8foFssWlPRLfAbIwo,Sailor Song,2024-07-26,211978,False,1,92,2024-11-06,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4,['bedroom pop'],80,455276
6,Bed Chem,1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,171869,False,6,91,2024-11-06,0.739,0.727,11,-5.968,0,0.0426,0.0678,0.0,0.104,0.676,94.99,4,['pop'],95,14502434
7,HOT TO GO!,4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,184841,False,7,89,2024-11-06,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,4,['indie pop'],89,3765930
8,WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,2024-05-17,261466,False,5,92,2024-11-06,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,"['art pop', 'pop']",96,101708840
9,Pink Pony Club,1k2pQc5i348DCHwbn5KTdc,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,258034,False,11,86,2024-11-06,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,['indie pop'],89,3765930
10,Stick Season,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,2022-10-14,182346,False,2,87,2024-11-06,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
11,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,I Love You.,2013-04-22,240400,False,4,90,2024-11-06,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,"['modern alternative rock', 'modern rock', 'pop']",86,18379990
12,Juno,21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,223192,True,10,87,2024-11-06,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,4,['pop'],95,14502434
13,Good Graces,102YUQbYmwdBXS7jwamI90,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,185265,True,3,87,2024-11-06,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-06,0.144,0.732,126.012,4,['pop'],95,14502434
14,Who,7tI8dRuH2Yc6RuoTjxo4dU,Jimin,1oSPZhvZMIrWW5I41kPkkY,MUSE,2024-07-19,170887,False,6,92,2024-11-06,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,['k-pop'],88,9779326
15,Red Wine Supernova,7FOgcfdz9Nx5V9lCNXdBYv,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,192720,True,2,85,2024-11-06,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,4,['indie pop'],89,3765930
16,Espresso,2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Espresso,2024-04-12,175459,True,1,91,2024-11-06,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,4,['pop'],95,14502434
17,I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB,Post Malone,246dkjvS1zLTtiykXe5h60,F-1 Trillion,2024-08-15,178205,True,3,85,2024-11-06,0.644,0.874,0,-4.723,1,0.0265,0.0113,0.0,0.227,0.753,128.017,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",91,45709436
18,Espresso,2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,175459,True,7,88,2024-11-06,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,['pop'],95,14502434
19,Slow It Down,51eSHglvG1RJXtL3qI5trr,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,2024-04-05,161831,False,3,87,2024-11-06,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,4,['singer-songwriter pop'],86,3851956
20,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,A Bar Song (Tipsy),2024-04-12,171291,True,1,87,2024-11-06,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,4,"['modern country pop', 'pop rap']",80,754717
21,Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Please Please Please,2024-06-06,186365,True,1,89,2024-11-06,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,4,['pop'],95,14502434
22,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,2024-04-05,180304,False,4,89,2024-11-06,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,['singer-songwriter pop'],86,3851956
23,Diet Pepsi,6MzofobZt2dm0Kf1hTThFz,Addison Rae,4gvjmrtzydbMpyJaXUtwvP,Diet Pepsi,2024-08-09,169697,False,1,88,2024-11-06,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4,['social media pop'],76,461939
24,Please Please Please,2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Short n' Sweet,2024-08-23,186365,True,2,87,2024-11-06,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,4,['pop'],95,14502434
25,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,Post Malone,246dkjvS1zLTtiykXe5h60,I Had Some Help,2024-05-10,178205,True,1,85,2024-11-06,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",91,45709436
26,A Bar Song (Tipsy),5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,"Where I've Been, Isn't Where I'm Going",2024-05-31,171291,True,2,85,2024-11-06,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,4,"['modern country pop', 'pop rap']",80,754717
27,Casual,3WSOUb3U7tqURbBSgZTrZX,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,2023-09-22,232796,True,5,84,2024-11-06,0.508,0.411,1,-6.95,1,0.0269,0.226,0.0,0.0571,0.34,131.008,4,['indie pop'],89,3765930
28,No One Noticed,3siwsiaEoU4Kuuc9WKMUy5,The Marías,2sSGPbdZJkaSE2AbcGOACx,Submarine,2024-05-31,236906,False,11,82,2024-11-06,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,"['bedroom pop', 'la indie']",78,1613161
