,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Iris,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Dizzy up the Girl,1998,289533,False,11,87,2024-11-06,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",76,2969606
1,Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Meteora,2003-09-16,187520,False,13,87,2024-11-06,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92,27399313
2,In the End,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),2000,216880,False,8,87,2024-11-06,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92,27399313
3,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,The Colour And The Shape,1997-05-20,250546,False,11,81,2024-11-06,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,4,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",78,12117723
4,The Middle,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Bleed American,2001-07-17,165853,False,3,80,2024-11-06,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",70,1620701
5,The Emptiness Machine,2PnlsTsOTLE5jnBnNe2K0A,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,The Emptiness Machine,2024-09-05,190427,True,1,90,2024-11-06,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92,27399313
6,How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,6deZN1bslXzeGvOLaLMOIF,Silver Side Up,2001-09-11,223840,False,2,83,2024-11-06,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,4,"['alternative metal', 'canadian rock', 'post-grunge']",80,7144816
7,One Last Breath,42T2QQv3xgBlpQxaSP7lnK,Creed,43sZBwHjahUvgbx1WNIkIz,Weathered,2001-01-01,238240,False,5,79,2024-11-06,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",75,3575105
8,Faint,4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Meteora,2003-09-16,162106,False,7,84,2024-11-06,0.554,0.98,4,-3.514,1,0.108,0.127,0.0,0.0833,0.611,135.12,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92,27399313
9,One Step Closer,3K4HG9evC7dg3N0R9cYqk4,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),2000,157333,False,2,82,2024-11-06,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92,27399313
10,Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,One-X,2006-06-25,231400,False,3,77,2024-11-06,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,4,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",78,6384971
