,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Metal Church,34LXW73avo8xz0NLiVuiow,Metal Church,0exvkfkATkqWOJgugTjJhP,Metal Church,1984,302360,False,2,42,2024-11-06,0.428,0.947,10,-8.516,0,0.0751,0.000679,0.0563,0.262,0.223,102.335,4,"['glam metal', 'melodic thrash', 'metal', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']",42,223292
1,Metal United,2J39E5ALx4hS1WkhWl6qXu,Majestica,52lkxAYfC9ypaPJ2EB22ki,Metal United,2021-09-10,218000,False,1,47,2024-11-06,0.405,0.974,4,-4.537,0,0.102,5.72e-05,0.0509,0.18,0.318,112.353,3,"['christian power metal', 'melodic metal', 'power metal', 'swedish power metal']",41,39735
2,Metal Machine,50laUw3RBpsYCJpCFRNZin,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,Primo Victoria (Re-Armed),2010-09-24,262680,False,9,43,2024-11-06,0.351,0.769,7,-6.18,1,0.0399,9.08e-05,0.0,0.221,0.402,156.257,4,"['power metal', 'swedish metal', 'swedish power metal']",73,2224233
3,Metal Is for Everyone,5qKymwS7ymNUCRimGhiQkm,Freedom Call,55RDuy7cQW2Dqrcz3Jjl6F,Master of Light,2016-11-11,292146,False,1,42,2024-11-06,0.35,0.967,11,-3.388,1,0.1,0.000153,0.117,0.258,0.461,153.656,4,"['german metal', 'german power metal', 'power metal', 'symphonic metal']",41,129827
4,Metal Ripper,0lOwS6th3vIY8C0BnlStT4,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,Coat of Arms,2010-05-21,230800,False,10,37,2024-11-06,0.516,0.919,11,-4.505,0,0.0419,0.00126,3.33e-05,0.384,0.609,140.028,4,"['power metal', 'swedish metal', 'swedish power metal']",73,2224233
5,Metal Trilogy,64tkmxsz9nTd90iJy1tpc0,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,Kingdom Come,2021-07-16,258026,True,2,36,2024-11-06,0.216,0.907,11,-5.63,0,0.0828,0.000899,7.81e-05,0.179,0.436,145.237,4,"['power metal', 'swedish metal', 'swedish power metal']",73,2224233
6,Metal Warriors,5P2Ghhv0wFYThHfDQaS0g5,Manowar,4CzUzn54Cp9TQr6a7JIlMZ,The Triumph of Steel,1992-09-22,234559,False,2,45,2024-11-06,0.571,0.797,9,-9.264,1,0.0497,0.000786,0.186,0.0777,0.243,101.003,4,"['comic metal', 'hard rock', 'metal', 'power metal', 'speed metal', 'us power metal']",57,1025937
7,Metal Crüe,0czfM0RYKuIc5KIeSNzCSQ,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,Attero Dominatus (Re-Armed),2010-09-24,222506,False,9,38,2024-11-06,0.338,0.767,7,-4.601,1,0.0338,2.46e-05,1.32e-06,0.176,0.308,93.861,4,"['power metal', 'swedish metal', 'swedish power metal']",73,2224233
8,Metal Heart,4f73ikIdf3E1r89cRzo7e6,Accept,3JDIAtVrJdQ7GFOX26LYpv,Metal Heart,1985-05-24,323666,False,1,39,2024-11-06,0.32,0.553,7,-14.959,1,0.0524,0.00491,0.404,0.119,0.173,116.156,4,"['german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'speed metal', 'thrash metal']",57,969681
9,Heavy Metal Viking,2SMHRg2UnniEdS6mLSB4Or,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,Fimbulvinter,2024-11-01,231356,True,9,38,2024-11-06,0.522,0.929,4,-3.561,1,0.103,0.000227,2.05e-06,0.0907,0.458,122.956,4,"['melodic metal', 'power metal', 'swedish heavy metal']",61,264039
10,Metalizer,7CNkB6F4JoYltp9MvtKj4O,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,Metalizer (Re-Armed),2010-09-24,246813,False,3,32,2024-11-06,0.345,0.827,2,-5.19,0,0.0448,2.76e-05,0.00269,0.152,0.39,140.203,4,"['power metal', 'swedish metal', 'swedish power metal']",73,2224233
11,Metal Baby,1X9ykmmV01u14Pbyn9UWnT,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Bandwagonesque,1991-11-19,219866,False,7,23,2024-11-06,0.413,0.727,10,-13.434,1,0.0469,2.78e-05,0.00569,0.101,0.686,121.909,4,"['alternative rock', 'modern power pop', 'power pop', 'scottish indie', 'scottish rock', 'shoegaze']",43,146685
12,Kings of Metal,28TcG73tbc4iGrGBFjiBnR,Manowar,4CzUzn54Cp9TQr6a7JIlMZ,Kings of Metal,1988-11-01,223866,False,2,54,2024-11-06,0.575,0.881,9,-13.012,1,0.0357,0.000117,2.69e-05,0.147,0.699,132.127,4,"['comic metal', 'hard rock', 'metal', 'power metal', 'speed metal', 'us power metal']",57,1025937
13,Heavy Metal Viking,1cENvf4W2SC8HyZgjzXOzz,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,Heavy Metal Viking,2024-06-21,231356,True,1,43,2024-11-06,0.522,0.929,4,-3.561,1,0.103,0.000227,2.05e-06,0.0907,0.457,122.956,4,"['melodic metal', 'power metal', 'swedish heavy metal']",61,264039
