,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Frankenstein (feat. A$AP Rocky),3gDRZkL8YfzpZg1N1YsW5x,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,Paradise Again,2022-04-15,207360,True,6,48,2024-11-06,0.531,0.612,1,-7.966,1,0.306,0.0119,9.84e-05,0.311,0.226,105.997,4,"['edm', 'pop dance', 'progressive electro house']",77,3852052
1,House Party,6ezV0P9I4XjlHN96dB1PaR,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,House Party,2016-12-23,188000,False,1,21,2024-11-06,0.726,0.971,9,-2.953,0,0.133,0.0126,0.0898,0.43,0.215,126.024,4,"['dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'sky room']",49,129194
2,House With No Door - Remastered 2021,2sfYPaNXqBH5wmz1d1uVVg,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,"H To He, Who Am The Only One (Deluxe)",1970-12-05,391693,False,2,27,2024-11-06,0.423,0.357,0,-17.75,1,0.0357,0.416,0.425,0.162,0.203,130.522,4,"['italian progressive rock', 'progressive rock', 'symphonic rock']",34,139192
3,House on a Hill,2YtbgoIML6EPzPs3bxqJqp,Kamelot,7gTbq5nTZGQIUgjEGXQpOS,Poetry for the Poisoned,2010-09-14,255240,False,6,15,2024-11-06,0.495,0.637,9,-7.107,0,0.0317,0.0443,0.000856,0.308,0.239,129.956,3,"['gothic symphonic metal', 'melodic metal', 'metal', 'power metal', 'progressive metal', 'speed metal', 'symphonic metal']",51,391349
4,One Last Night On Earth - Speaker Of The House Remix,5auepChUKwbHO1NWBwqGBN,Dada Life,00sAT5YX8W3xNd1EuqyHw9,One Last Night On Earth (Remixes),2015-01-01,219520,False,1,37,2024-11-06,0.638,0.832,0,-8.395,1,0.0354,0.00138,0.0524,0.213,0.126,125.973,4,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",49,398441
5,Our House,4OIZob7JDiTYBh5GZCKUgH,Bingo Players,1pbHrVayIcVpHI9z97u4bK,Our House,2024-08-30,192000,False,1,41,2024-11-06,0.685,0.979,11,-3.317,1,0.0745,0.00289,0.0018,0.359,0.0562,129.966,4,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",60,473382
6,"The House, The Street, The Room",0876a9EYQEXVydLoKtMLFa,Gentle Giant,1hrQ50kU6hMQBVLatqUqnO,Acquiring The Taste,1971-01-01,362000,False,3,21,2024-11-06,0.434,0.349,7,-17.47,1,0.0308,0.185,0.231,0.0658,0.431,94.066,4,"['progressive rock', 'symphonic rock', 'zolo']",41,233883
7,House Of The Rising Sun,2LrnmZjdfHJadTHhm5Ga69,Tony Rice Unit,4Of7rb2VkamHYwHhBjbwYg,Unit Of Measure,2000-10-31,326613,False,2,14,2024-11-06,0.437,0.345,9,-13.716,0,0.0324,0.834,0.447,0.123,0.471,139.557,4,"['bluegrass', 'progressive bluegrass']",34,10347
8,House of Clocks,1yTwCzHeaFoqzF9hr2S3LH,Al Stewart,0DW7boyjvbaSP3OJ72sXgC,Down in the Cellar,2001-02-12,178746,False,10,21,2024-11-06,0.58,0.576,9,-9.695,0,0.0296,0.577,0.000663,0.0957,0.657,89.911,4,"['art rock', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",52,288994
9,In The House Of Tom Bombadil,5p5S50sTbxikUj5PE11bGS,Nickel Creek,3bcLBxvaI7GsBzGp3WHnwQ,Nickel Creek,2000,226160,False,4,30,2024-11-06,0.367,0.699,7,-9.104,1,0.034,0.728,0.9,0.218,0.671,141.694,3,"['bluegrass', 'instrumental bluegrass', 'mandolin', 'progressive bluegrass']",47,190863
