,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rock My Body,6pb5DtlAeG95dNQLHiArRU,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Rock My Body (with INNA & Sash!),2023-04-28,137419,False,1,75,2024-11-06,0.662,0.821,2,-4.103,0,0.13,0.202,0.0,0.522,0.47,124.077,4,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75,2556533
1,Rock Bottom - 2007 Remaster,719muV16yNGh6AxmCeMby1,UFO,2Omy3P5hFZym7FKum1JA1s,Phenomenon (2007 Remaster),1974-01-01,389333,False,5,50,2024-11-06,0.256,0.863,5,-6.582,1,0.106,3.49e-05,0.00408,0.364,0.519,158.936,4,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']",56,592059
2,Rock My Body (with Sash!) - W&W x R3HAB VIP Remix,65Iiyhh7rD0vq0bmCPz2YK,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Rock My Body (with SASH!) [W&W x R3HAB VIP Remix],2023-08-11,168461,False,1,56,2024-11-06,0.629,0.957,7,-4.353,0,0.0914,0.0441,7.16e-05,0.28,0.478,130.077,4,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75,2556533
3,Rocky Raccoon,1zTD6Z2T4Pks6P0urU5RVK,Charlie Parr,2OOAWkt15smEKXtNNLtaNG,"Minnesota Beatle Project, Vol. 3",2011-12-06,220733,False,4,39,2024-11-06,0.642,0.706,3,-8.114,1,0.028,0.528,8.59e-05,0.354,0.829,100.644,4,"['alternative country', 'duluth indie', 'new americana', 'piedmont blues', 'progressive bluegrass', 'stomp and holler']",40,65552
4,Rockin' The Paradise,3jZF3C8VxTSnteO3V6lVXz,Styx,4salDzkGmfycRqNUbyBphh,Paradise Theatre,1981-01-01,214840,False,2,39,2024-11-06,0.533,0.831,9,-10.354,1,0.0363,0.0011,0.000522,0.105,0.755,149.112,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",62,2031831
5,Rocky Racoon,4JYHb0B9LU93nbeDAgFJ1C,Charlie Parr,2OOAWkt15smEKXtNNLtaNG,Rocky Raccoon,2011-12-06,220720,False,1,37,2024-11-06,0.437,0.702,5,-8.092,0,0.0382,0.508,5.55e-05,0.356,0.891,201.993,4,"['alternative country', 'duluth indie', 'new americana', 'piedmont blues', 'progressive bluegrass', 'stomp and holler']",40,65552
6,Rock 'N' Roll Stew,5427wDDhMPdeitkSUWnUd0,Traffic,1CD77o9fbdyQFrHnUPUEsF,The Low Spark Of High Heeled Boys,1971-11,262773,False,4,35,2024-11-06,0.544,0.739,7,-11.598,1,0.036,0.296,0.00102,0.129,0.966,154.97,4,"['blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'progressive rock', 'psychedelic rock']",49,610859
7,Red Rocking Chair,3Qwu14ZhD55gWivYsFBKnb,Billy Strings,1ZN1c1qWEGZNX1pGeKCPpf,Billy Strings - EP,2016-06-10,253853,False,5,42,2024-11-06,0.484,0.67,11,-7.991,0,0.0337,0.421,0.0111,0.134,0.589,117.619,4,"['jam band', 'jamgrass', 'progressive bluegrass']",66,453304
8,Rock & Roll Music to the World - 2017 Remaster,0DSKoNfZuZjh3pm39RmoJ8,Ten Years After,7nkLRaWHImCvWGHdNGnhVE,Rock & Roll Music to the World (2017 Remaster),1972-09,230333,False,9,33,2024-11-06,0.599,0.83,7,-7.089,1,0.0519,0.457,0.0335,0.0738,0.884,111.376,4,"['blues rock', 'british blues', 'classic rock', 'progressive rock', 'psychedelic rock']",57,569054
9,Rocky Roads to Republique,0DJvI93yBWPcuZqjlQStcU,The Trouble Notes,7i1WiSQVIHt4bZz8DhuylF,Rocky Roads to Republique,2017-09-15,258537,False,1,30,2024-11-06,0.62,0.81,11,-6.523,0,0.128,0.375,0.881,0.0686,0.782,142.91,4,['progressive jazz fusion'],30,28570
10,Rock My Body (with Sash!) (Sonny Wern Remix),5mRcxUZ4AAfifKw06ObYpw,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Rock My Body (with Sash!) (Sonny Wern Remix),2023-09-09,130500,False,1,44,2024-11-06,0.625,0.867,0,-6.149,1,0.448,0.16,0.0134,0.175,0.69,160.022,4,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75,2556533
11,Rock Me Amadeus,0075v1NLfKBzSBvJauGCrF,Edguy,3AGFqPP3gt5rMSvhR87Xxu,Space Police - Defenders of the Crown,2014-04-18,199998,False,6,38,2024-11-06,0.451,0.977,11,-4.182,0,0.0749,0.039,0.000978,0.263,0.598,178.0,4,"['german metal', 'german power metal', 'metal', 'power metal', 'progressive metal', 'speed metal', 'symphonic metal']",48,289928
12,Cities On Flame with Rock and Roll,0M7oqERflkrJVHD3IAZqxo,Blue Öyster Cult,00tVTdpEhQQw1bqdu8RCx2,Blue Oyster Cult,1972,242640,False,8,50,2024-11-06,0.337,0.886,4,-8.607,1,0.098,0.0716,0.00156,0.204,0.648,177.713,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'progressive rock', 'rock']",66,1602793
13,Cocaine Blues,1vuAvbwA5cP11S8tKMfB3R,Billy Strings,1ZN1c1qWEGZNX1pGeKCPpf,Rock Of Ages,2013-12-31,191413,False,3,42,2024-11-06,0.46,0.485,9,-10.397,1,0.0339,0.827,1.65e-06,0.106,0.858,128.745,4,"['jam band', 'jamgrass', 'progressive bluegrass']",66,453304
14,Rock My Body (with INNA & Sash!) - Marnik & VINAI Remix,0RLRAgdyPoS1nhC63zdkMf,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Rock My Body (with INNA & Sash!) [Marnik & VINAI Remix],2023-09-01,153111,False,1,43,2024-11-06,0.68,0.941,2,-3.432,1,0.0656,0.053,0.000348,0.728,0.809,135.043,4,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75,2556533
15,Rocking Chair Blues,1yMfoWCHtOEH2b5LzzPyJF,Mipso,5Bcrb5qQMVTEbJ43fdIS4A,Dark Holler Pop,2013-10-26,255767,False,4,24,2024-11-06,0.6,0.152,4,-15.62,1,0.0328,0.904,0.000407,0.143,0.21,128.874,3,"['new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",51,84359
16,Red Rocking Chair,4rvnSmXm9Y4sdXFItwfmq7,Doc & Merle Watson,7GekK1oMVU35jfChgIP2PU,Red Rocking Chair,1981-01-01,125266,False,10,35,2024-11-06,0.593,0.39,5,-15.236,0,0.0329,0.419,0.019,0.11,0.744,130.766,4,"['appalachian folk', 'bluegrass', 'progressive bluegrass', 'traditional folk']",33,25885
17,Frankenstein (feat. A$AP Rocky),3gDRZkL8YfzpZg1N1YsW5x,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,Paradise Again,2022-04-15,207360,True,6,48,2024-11-06,0.531,0.612,1,-7.966,1,0.306,0.0119,9.84e-05,0.311,0.226,105.997,4,"['edm', 'pop dance', 'progressive electro house']",77,3852052
18,Rock 'N' Roll Stew Parts 1 & 2 - Single Version,5xz0fGRk0gXkoFXpaa2azE,Traffic,1CD77o9fbdyQFrHnUPUEsF,The Low Spark Of High Heeled Boys,1971-11,369826,False,7,23,2024-11-06,0.471,0.736,2,-12.186,0,0.0368,0.292,0.00251,0.0805,0.962,156.966,4,"['blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'progressive rock', 'psychedelic rock']",49,610859
19,Christmas Canon Rock,6Eo2pS8rX1wQIAgi7XGBfh,Trans-Siberian Orchestra,5OSQDUNmll299ldFIF1Dau,The Lost Christmas Eve,2004-10-12,302546,False,21,40,2024-11-06,0.477,0.535,9,-4.086,1,0.0299,0.0499,0.00251,0.168,0.143,116.726,4,"['neo classical metal', 'progressive metal']",51,343878
20,Rock Your Body Rock,4SQiwIMg0U0NuXKlLGfZ4C,Ferry Corsten,2ohlvFf9PBsDELdRstPtlP,Right Of Way (Deluxe Edition),2010-11-22,315093,False,3,26,2024-11-06,0.569,0.704,0,-9.653,0,0.0397,5.1e-05,0.532,0.118,0.616,131.998,4,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",55,276833
21,Rock 'N' Roll Over You,24ttxzDgbZoMHHSyhhSTOP,The Moody Blues,5BcZ22XONcRoLhTbZRuME1,The Other Side Of Life,1986-01-01,289466,False,3,26,2024-11-06,0.525,0.868,4,-14.267,0,0.029,0.00427,0.0338,0.903,0.906,135.839,4,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock', 'flute rock', 'folk rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",59,1373169
22,Rock of Ages,7CcQGocJ5SYzwIuZDOmxGe,Gillian Welch,2H5elA2mJKrHmqkN9GSfkz,Hell Among The Yearlings,1998-07-28,188266,False,9,21,2024-11-06,0.58,0.457,5,-8.102,0,0.036,0.94,0.000252,0.108,0.873,166.329,4,"['alternative country', 'canadian singer-songwriter', 'folk', 'melancholia', 'nashville singer-songwriter', 'new americana', 'progressive bluegrass', 'singer-songwriter']",53,240746
23,Rock Is Too Heavy,393Yr9ZSluXcf8ZDqUmHIV,Owane,2LkMP01m9PIf5r87iC0HI2,Yeah Whatever,2018-03-28,298833,False,3,24,2024-11-06,0.467,0.641,1,-9.474,0,0.0303,0.00465,0.739,0.0894,0.282,160.04,4,"['djent', 'progressive jazz fusion']",35,44626
