,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Pleasure Seeker - Virtual Riot Remix,3Jt8oGA1MOaoDNDOjobe8n,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Phantasmagorical,2023-04-19,123415,True,3,43,2024-11-06,0.657,0.868,10,-2.975,0,0.0579,0.0703,0.107,0.0979,0.34,140.308,4,"['deep psytrance', 'glitch hop']",43,62024
1,Na Le - Phaxe Remix,2TbB5iWJtLRCP7xIy8Zh5E,Omiki,7pHwBqsYULdAdHgSwf1q9f,Na Le (Phaxe Remix),2021-04-16,418714,False,1,55,2024-11-06,0.606,0.818,5,-7.556,0,0.034,0.00305,0.722,0.0887,0.0787,140.023,4,"['progressive psytrance', 'psychedelic trance']",52,91275
2,Calluna,6AREI884A5zyl0YC1pTO3S,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Halftime EP,2020-03-20,160000,False,4,34,2024-11-06,0.781,0.456,10,-6.29,0,0.0996,0.0286,0.778,0.0958,0.208,167.966,4,"['deep psytrance', 'glitch hop']",43,62024
3,Roughhousin,3KCYTFENthkBQRvbrSMv8z,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,DeadLanguage,2019-01-30,171428,False,2,33,2024-11-06,0.782,0.505,1,-4.806,1,0.0491,0.00116,0.259,0.625,0.856,140.069,4,"['deep psytrance', 'glitch hop']",43,62024
4,Pleasure Seeker,0inAo4hdWILQX1EbvMSseA,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Phantasmagoria,2021-09-10,164844,False,3,34,2024-11-06,0.746,0.859,10,-3.721,0,0.0455,0.00551,0.528,0.0796,0.33,136.013,4,"['deep psytrance', 'glitch hop']",43,62024
5,Pish Posh,6oeNF7ufnpxbxlt75jgwGU,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Corrective Scene Surgery,2018-10-23,246000,False,18,30,2024-11-06,0.642,0.602,11,-8.473,0,0.0598,0.0625,0.81,0.132,0.23,160.081,4,"['deep psytrance', 'glitch hop']",43,62024
6,See It Coming,6UffFtGJyLC5JLWtHV4XTw,Berg,2r7sssoF6zZbPOG0U0YOem,See It Coming,2019-11-15,229714,False,1,49,2024-11-06,0.619,0.927,9,-4.938,1,0.0433,0.0117,0.788,0.153,0.205,140.016,4,"['progressive psytrance', 'psychedelic trance']",47,75177
7,Rawthentic,15GewmO3Kpr1YNfP9fFI5u,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Mechanomorphic,2024-04-12,221918,False,3,37,2024-11-06,0.687,0.912,2,-7.113,1,0.0452,0.000118,0.737,0.363,0.311,133.997,4,"['deep psytrance', 'glitch hop']",43,62024
8,Lie,0wdw48upJwJQFaYfPnn6so,Mr. Bill,5JJclMMPi2YgEKjJY9AjbB,Mechanomorphic,2024-04-12,236629,False,16,33,2024-11-06,0.439,0.685,4,-6.171,0,0.116,0.000274,0.547,0.274,0.204,149.881,4,"['deep psytrance', 'glitch hop']",43,62024
9,Universo,60BlJffpclqV9gdFbgu6ig,Rising Dust,5ljIs5Y5MfXRmhB97gQpq0,Shofar,2021-02-26,607552,False,1,46,2024-11-06,0.644,0.761,3,-7.26,0,0.043,0.000118,0.841,0.0869,0.037,143.004,4,"['progressive psytrance', 'psychedelic trance']",41,26310
