,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Disco,2Lumsra3kuU61wXkEKzKaK,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,Disco,2019-06-12,152760,False,1,85,2024-11-06,0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,4,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",76,1363057
1,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Melophobia,2013-10-08,208760,False,10,79,2024-11-06,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
2,Freaks,7EkWXAI1wn8Ii883ecd9xr,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,Freaks,2021-05-15,147062,False,1,84,2024-11-06,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4,"['dreamo', 'indie surf', 'pov: indie', 'surf punk', 'vegas indie']",76,1363057
3,The Middle,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Bleed American,2001-07-17,165853,False,3,80,2024-11-06,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",70,1620701
4,Santeria,2hnMS47jN0etwvFPzYk11f,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,182746,False,6,77,2024-11-06,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
5,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant (Expanded Edition),2009-03-24,175493,False,3,76,2024-11-06,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76,3906958
6,Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,74XFHRwlV6OrjEM0A2NCMF,Riot!,2007-06-11,211520,False,4,74,2024-11-06,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,4,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",80,8875735
7,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,blink-182,6FBDaR13swtiWwGhX1WQsP,Enema Of The State,1999-06-01,167066,False,8,81,2024-11-06,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,4,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",79,8593498
8,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,2003-04-01,232106,False,1,82,2024-11-06,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",72,3248376
9,"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,"Rise And Fall, Rage And Grace",2008-06-17,177826,True,3,81,2024-11-06,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,4,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,5895646
10,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,Green Day,7oPftvlwr6VrsViSDV7fJY,Nimrod,1997-10-14,153466,True,17,81,2024-11-06,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,4,"['modern rock', 'permanent wave', 'punk', 'rock']",83,15657711
11,Still into You,1yjY7rpaAQvKwpdUliHx0d,Paramore,74XFHRwlV6OrjEM0A2NCMF,Paramore,2013-04-05,216013,False,9,79,2024-11-06,0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,4,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",80,8875735
12,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,Lit,5mgr0FFpvy267wKVAYg8qp,A Place In The Sun,1999-02-22,169026,True,2,74,2024-11-06,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,4,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'rap rock', 'socal pop punk']",61,364905
13,Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,1994-02-01,181533,False,7,80,2024-11-06,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4,"['modern rock', 'permanent wave', 'punk', 'rock']",83,15657711
14,Psycho Killer - 2005 Remaster,1i6N76fftMZhijOzFQ5ZtL,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads '77 (Deluxe Version),1977-09-16,261413,False,10,78,2024-11-06,0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",72,2571329
15,Teenagers,7j31rVgGX9Q2blT92VBEA0,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,The Black Parade,2006-10-23,161920,False,11,79,2024-11-06,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,4,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",80,9035866
16,What I Got,3B4q6KbHbGV51HO3GznBFF,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,170906,True,2,74,2024-11-06,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
17,Back to the Old House - 2011 Remaster,6LUGvXEAK8WxIBYK43uoTb,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,Louder Than Bombs,1987,186626,False,18,78,2024-11-06,0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,3,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",80,6512414
18,King For A Day,1IT0WQk5J8NsaeII8ktdlZ,Pierce The Veil,4iJLPqClelZOBCBifm8Fzv,Collide With The Sky,2012-07-17,236293,True,4,75,2024-11-06,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,4,"['modern rock', 'pop punk', 'screamo']",75,3229181
19,There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead,1986-06-16,244586,False,9,80,2024-11-06,0.523,0.769,4,-5.855,1,0.0269,0.04,0.0,0.136,0.876,136.162,4,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",80,6512414
20,Savior,1vcxF91pWs9uNwDROuiCPB,Rise Against,6Wr3hh341P84m3EI8qdn9O,Appeal To Reason,2008-01-01,242280,False,11,76,2024-11-06,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,4,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72,2764415
