,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Timeless (with Playboi Carti),1Es7AUAhQvapIcoh3qMKDL,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Timeless,2024-09-27,256000,True,1,92,2024-11-06,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,93895335
1,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,2024-05-04,274192,True,1,89,2024-11-06,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",92,33923287
2,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,2017-07-21,180386,True,4,89,2024-11-06,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,"['hip hop', 'rap']",94,17452050
3,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,I Love You.,2013-04-22,240400,False,4,90,2024-11-06,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,"['modern alternative rock', 'modern rock', 'pop']",86,18379990
4,I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB,Post Malone,246dkjvS1zLTtiykXe5h60,F-1 Trillion,2024-08-15,178205,True,3,85,2024-11-06,0.644,0.874,0,-4.723,1,0.0265,0.0113,0.0,0.227,0.753,128.017,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",91,45709436
5,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,A Bar Song (Tipsy),2024-04-12,171291,True,1,87,2024-11-06,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,4,"['modern country pop', 'pop rap']",80,754717
6,one of wun,4Na2HfNSr58chvfX69fy36,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,One of Wun,2024-05-10,144000,True,2,85,2024-11-06,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,4,"['atl hip hop', 'melodic rap', 'rap', 'trap']",87,8254787
7,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,Post Malone,246dkjvS1zLTtiykXe5h60,I Had Some Help,2024-05-10,178205,True,1,85,2024-11-06,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",91,45709436
8,A Bar Song (Tipsy),5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,"Where I've Been, Isn't Where I'm Going",2024-05-31,171291,True,2,85,2024-11-06,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,4,"['modern country pop', 'pop rap']",80,754717
9,505,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare (Standard Version),2007-04-24,253586,False,12,79,2024-11-06,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",88,27189205
10,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,2023-07-28,191700,True,8,89,2024-11-06,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4,"['rap', 'slap house']",94,34194155
11,Like That,2tudvzsrR56uom6smgOcSf,Future,1RyvyyTE3xzB2ZywiAwp0i,WE DON'T TRUST YOU,2024-03-22,267706,True,6,84,2024-11-06,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,4,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",93,19118674
12,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,7tYKF4w9nC0nq9CsPZTHyP,SOS,2022-12-09,201800,True,8,86,2024-11-06,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4,"['pop', 'r&b', 'rap']",90,24087928
13,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,KAROL G,790FomKkXshlbRYZFtlgla,Si Antes Te Hubiera Conocido,2024-06-21,195824,False,1,93,2024-11-06,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",91,51695843
14,Don't,3pXF1nA74528Edde4of9CC,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,2015-10-02,198293,True,5,83,2024-11-06,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,4,"['kentucky hip hop', 'r&b', 'rap']",83,9149336
15,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),1977-02-04,257800,False,2,84,2024-11-06,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",83,12245261
16,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,2004,222973,False,2,85,2024-11-06,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,4,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",79,7533664
17,NEW DROP,2c7z5oRcPBbqRaBY2mLWcf,Don Toliver,4Gso3d4CscCijv0lmajZWs,HARDSTONE PSYCHO,2024-06-14,217333,True,2,85,2024-11-06,0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4,['rap'],88,5237718
18,BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,BEST INTEREST,2020-01-25,127921,True,1,83,2024-11-06,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,3,"['hip hop', 'rap']",94,17452050
19,Saturn,1bjeWoagtHmUKputLVyDxQ,SZA,7tYKF4w9nC0nq9CsPZTHyP,Saturn,2024-02-22,186191,False,1,85,2024-11-06,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,4,"['pop', 'r&b', 'rap']",90,24087928
20,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,SZA,7tYKF4w9nC0nq9CsPZTHyP,SOS,2022-12-08,153946,False,2,86,2024-11-06,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,"['pop', 'r&b', 'rap']",90,24087928
21,Big Dawgs,0OA00aPt3BV10qeMIs3meW,Hanumankind,4nVa6XlBFlIkF6msW57PHp,Big Dawgs,2024-07-09,190666,True,1,87,2024-11-06,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098,4,"['desi hip hop', 'indian underground rap', 'malayalam hip hop']",74,524707
22,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2014-09-19,241693,False,1,79,2024-11-06,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
