,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,What A Wonderful World,1968-01-01,139226,False,1,76,2024-11-06,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,4,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
1,I'll Be Seeing You,4smkJW6uzoHxGReZqqwHS5,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,1957-01-01,211533,False,3,67,2024-11-06,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,3,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",67,1960580
2,La vie en rose - Single Version,0zDVclPMSsjeyvbnqhWOmt,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,Satchmo Serenades,1952-04-01,203760,False,5,69,2024-11-06,0.52,0.0405,0,-16.396,1,0.0663,0.875,0.000301,0.0845,0.28,70.136,4,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
3,Solitude,30QD4VRP9yEneOh0eGTrtJ,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Solitude,1956-01-01,207600,False,8,64,2024-11-06,0.461,0.15,8,-13.531,1,0.051,0.984,0.000902,0.105,0.188,97.902,3,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",67,1960580
4,Dream A Little Dream Of Me,3HuJDcOWx0gE9Yng2uWY7K,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,What A Wonderful World,1968-01-01,196840,False,4,65,2024-11-06,0.455,0.183,2,-18.085,1,0.0626,0.6,0.0,0.121,0.399,95.642,4,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
5,Blue Moon,1pZn8AX1WulW8IO338hE5D,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Solitude,1956-01-01,207826,False,2,65,2024-11-06,0.64,0.27,8,-11.429,1,0.0702,0.982,0.122,0.141,0.55,124.323,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",67,1960580
6,In A Sentimental Mood,0E8q2Fx2XuzXCO2NSAppkR,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Duke Ellington & John Coltrane,1963-02,255226,False,1,64,2024-11-06,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0848,0.208,0.281,107.854,4,"['african-american classical', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",59,908324
7,"Hello, Dolly!",63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,"Hello, Dolly! (Remastered)",1964-10-25,147000,False,1,64,2024-11-06,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,0,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
8,A Kiss To Build A Dream On - Single Version,5y8zb3grlQonjdqd27K39T,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,Satchmo Serenades,1952-04-01,181493,False,2,63,2024-11-06,0.722,0.0811,0,-14.113,1,0.0631,0.779,0.0,0.509,0.36,88.044,4,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
9,All of Me,1LGqJ3nvxpVXDWpEzq4DJD,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),1933,181440,False,2,61,2024-11-06,0.504,0.0644,2,-14.754,0,0.0408,0.972,4.36e-06,0.174,0.403,106.994,5,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",67,1960580
10,My Little Brown Book,4rmCI9VWrwrJTJ8XQ80BMN,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Duke Ellington & John Coltrane,1963-02,319733,False,5,59,2024-11-06,0.381,0.187,7,-13.497,0,0.0322,0.942,0.135,0.161,0.215,70.418,4,"['african-american classical', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",59,908324
