,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,No Other Woman,7fwcnqwHgzROINweFX4oxr,Linval Thompson,7IURtrIM8SBTlCI9qrAuUQ,The Early Sessions 1974-1982,2011-11-10,123626,False,1,58,2024-11-06,0.659,0.398,10,-10.705,0,0.625,0.0454,0.0,0.127,0.93,144.743,4,"['dub', 'reggae', 'rocksteady', 'roots reggae']",48,51649
1,Police In Helicopter,0mD19MC6H0OzHvEUADHypU,John Holt,312pFk2xpEwYWLGPehc4Nu,Police In Helicopter,1983,219160,False,1,57,2024-11-06,0.683,0.653,9,-7.586,0,0.113,0.0326,8.42e-06,0.0578,0.501,143.224,4,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']",50,144674
2,"Rudy, a Message to You",4gukGozFOurNmDXZzgQHaP,Dandy Livingstone,2kV3Q07NlB0i9taIpo2KyF,The Best of Dandy Livingstone,2017-05-26,162466,False,2,56,2024-11-06,0.932,0.375,9,-11.135,0,0.144,0.0913,0.0521,0.0886,0.914,107.33,4,"['early reggae', 'rocksteady', 'ska revival']",44,25865
3,Too Proud to Beg,6MtBBjqzrMTPcF2np8Yoah,Bob Andy,6GFAZnwXhNER0WS76WMpS4,Retrospective,1986,145506,False,1,53,2024-11-06,0.875,0.512,9,-12.891,1,0.0412,0.418,0.000365,0.0458,0.966,125.536,4,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']",48,41173
4,Cool Breeze,3eIuvuCRKw8lozn73iGIbM,Big Youth,2TdzGitZtbe3Zw3BB4SFEH,Those Reggae Oldies,2013-02-06,210066,False,3,52,2024-11-06,0.797,0.307,5,-15.108,1,0.074,0.447,1.58e-06,0.173,0.766,82.011,4,"['dub', 'reggae', 'rocksteady', 'roots reggae']",42,33332
5,Stop That Train,04ZaKWF8eYEsVhO8mNxvhB,Keith & Tex,1pyZxTpbRw7gwnEw73cfUy,Stop That Train!,2013-03-26,200386,False,3,52,2024-11-06,0.767,0.225,5,-19.188,1,0.0359,0.601,0.106,0.108,0.733,81.156,4,"['early reggae', 'rocksteady']",43,7980
6,Good Thing Going,0uST7SRYp8zqMNQ2uyLcBr,Sugar Minott,6iTD167bhyfYwEd7fd2bGn,Good Thing Going,1981,220212,False,1,54,2024-11-06,0.772,0.394,1,-12.72,1,0.128,0.416,0.00236,0.0741,0.882,79.686,4,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']",44,94217
7,Everything I Own - 7'' Mix,4PfDS6wcDp7YvikkmbySak,Ken Boothe,6jg1EbpTL27toPdfzveorJ,Everything I Own,1972-01-29,224693,False,1,54,2024-11-06,0.719,0.434,5,-9.359,1,0.0863,0.15,0.0,0.261,0.583,76.669,4,"['lovers rock', 'reggae', 'rocksteady', 'roots reggae']",46,83217
8,Rivers of Babylon,75gMrQKXJctiyN6IOkj6WE,The Melodians,23FM5hCHWAODLFGMyk6ETI,Super Best,2012-04-04,257207,False,20,49,2024-11-06,0.793,0.378,7,-14.106,1,0.0667,0.686,0.232,0.102,0.798,106.867,4,"['reggae', 'rocksteady']",42,50809
9,Another Man,0O4Bt8ZHWk3HjMU8vWgbas,Linval Thompson,7IURtrIM8SBTlCI9qrAuUQ,The Early Sessions 1974-1982,2011-11-10,150240,False,2,49,2024-11-06,0.907,0.291,7,-10.877,1,0.129,0.0271,7.95e-05,0.153,0.854,134.731,4,"['dub', 'reggae', 'rocksteady', 'roots reggae']",48,51649
10,All My Loving,5zKlKlmfKl5xnALE2ZskEB,Prince Buster,75S63f1AmZUa9gpQvlt5NB,"Ska and Rocksteady Collection, Vol. 1",2016-04-01,110088,False,11,52,2024-11-06,0.771,0.439,0,-5.835,0,0.1,0.974,0.000452,0.13,0.892,157.436,4,"['dub', 'jamaican ska', 'reggae', 'rocksteady', 'ska', 'ska revival']",43,66008
11,Book Of Rules,4PKri4OX2AB2RXj95Y9ZgB,The Heptones,6b5Hxvp7SWlJY5uUrRlzx4,Night Food,1976-01-01,211466,False,4,48,2024-11-06,0.779,0.533,6,-14.152,1,0.0535,0.272,0.159,0.13,0.944,142.495,4,"['dub', 'reggae', 'rocksteady', 'roots reggae']",43,95017
12,Johnny Too Bad,5BftfJXqAWNRkgxASelSrd,The Slickers,4gYhCmAiXZvNxC92ODseS4,The Harder They Come (Original Motion Picture Soundtrack),1972-07-07,183200,False,7,46,2024-11-06,0.764,0.606,7,-8.754,1,0.155,0.106,0.179,0.267,0.717,165.795,4,"['early reggae', 'rocksteady']",34,7720
13,Electric Boogie,1JyaAeaXVFnVv5ikwWQVQ4,Marcia Griffiths,4qLV9FR6ZVLS6W8drD78hM,Carousel,1990-03-06,242773,False,1,40,2024-11-06,0.769,0.898,1,-9.347,1,0.0355,0.116,0.000648,0.261,0.968,108.141,4,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']",47,68356
14,You Don't Know,03s0D0OliipXWwVMzIvTNZ,Bob Andy,6GFAZnwXhNER0WS76WMpS4,Retrospective,1986,188666,False,2,48,2024-11-06,0.895,0.498,0,-13.209,0,0.0485,0.342,2.67e-06,0.167,0.975,130.674,4,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']",48,41173
15,What Does It Take (To Win Your Love),2ACEZokhi5fKPcpGslKy4r,Alton Ellis,5pryfFgCrWJ41UHaENJPyi,Mr Soul of Jamaica,1974,198053,False,12,46,2024-11-06,0.807,0.492,5,-9.911,1,0.0461,0.103,0.00382,0.0733,0.853,116.543,4,"['jamaican ska', 'reggae', 'rocksteady', 'roots reggae']",47,125901
16,I'm Still in Love,7d2h9rCEOYTWQN3zQz9LpX,Alton Ellis,5pryfFgCrWJ41UHaENJPyi,Reggae Legends: Alton Ellis,2020-01-10,225733,False,6,50,2024-11-06,0.835,0.466,7,-12.201,1,0.226,0.0693,1.54e-06,0.243,0.862,86.042,4,"['jamaican ska', 'reggae', 'rocksteady', 'roots reggae']",47,125901
17,The Tide Is High,1GUcIBgJB2AX0Ex6J6SKXM,The Paragons,5sCZ2Gc3nZaE3Cav8WG7WG,Original Paragons At Treasure Isle,2009-01-16,165666,False,11,47,2024-11-06,0.52,0.309,7,-10.708,1,0.0308,0.247,0.0,0.0985,0.822,97.567,4,"['reggae', 'rocksteady']",42,37198
18,Beat Down Babylon,0wVjx0J6LK1JswJnUaqbFq,Junior Byles,5J6lHDYy53GyksfcJyHadC,Beat Down Babylon (Expanded Version),1972-04-10,155386,False,6,38,2024-11-06,0.852,0.44,2,-11.456,1,0.0747,0.761,0.157,0.102,0.964,135.399,4,"['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']",41,29182
