,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",3DNRdudZ2SstnDCVKFdXxG,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"Beethoven: Piano Sonatas, Vol.3",2007-09-25,315426,False,9,68,2024-11-06,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,3,"['classical', 'classical era', 'early romantic era', 'german romanticism']",73,5388573
1,"Suite bergamasque, L. 75: III. Clair de lune",1cmigB9I6IRpFqjIbzvSQB,Claude Debussy,1Uff91EOsvd99rtAupatMP,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",2018-07-27,294960,False,1,64,2024-11-06,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,5,"['classical', 'impressionism', 'post-romantic era']",70,1570540
2,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",2xizRhme7pYeITbH1NLLGt,Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,Tchaikovsky: Swan Lake,1976-01-01,166866,False,10,68,2024-11-06,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4,"['classical', 'late romantic era', 'russian romanticism']",71,1402497
3,"Clair de Lune, L. 32",5u5aVJKjSMJr4zesMPz7bL,Claude Debussy,1Uff91EOsvd99rtAupatMP,Debussy: Clair De Lune and Other Piano Favourites,1994,268000,False,1,65,2024-11-06,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,4,"['classical', 'impressionism', 'post-romantic era']",70,1570540
4,"Album for the Young, Op. 39: No. 3. Mamma (Maman)",4GjfVYoUJ0OCmDiL869kUJ,Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,"Piano Recital: Rosenberger, Carol - Kabalevsky, D. / Tchaikovsky, P. (Perchance To Dream - A Lullaby Album for Children and Adults)",1993-01-01,93506,False,2,65,2024-11-06,0.418,0.00869,7,-37.257,1,0.0455,0.996,0.962,0.105,0.42,87.273,4,"['classical', 'late romantic era', 'russian romanticism']",71,1402497
5,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",2MSgFefjK0T7Iwjvr3OKqV,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000-01-01,259493,False,8,65,2024-11-06,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,4,"['classical', 'early romantic era', 'polish classical']",75,3366698
6,"Chopin: Waltz No. 7 in C-Sharp Minor, Op. 64 No. 2",1zExzs9QxiMcJO1N7caxiC,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Relaxing Piano,2024-10-27,236533,False,22,20,2024-11-06,0.291,0.0341,1,-27.103,0,0.0367,0.992,0.893,0.117,0.163,69.814,4,"['classical', 'early romantic era', 'polish classical']",75,3366698
7,"Debussy: 2 Arabesques, CD 74, L. 66: No. 1, Andantino con moto",3iLNTldrHKKk3R0gAygV2T,Claude Debussy,1Uff91EOsvd99rtAupatMP,Relaxing Piano,2024-10-27,230400,False,20,20,2024-11-06,0.296,0.0773,6,-25.922,0,0.0405,0.994,0.904,0.0818,0.0914,77.443,4,"['classical', 'impressionism', 'post-romantic era']",70,1570540
8,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",3zgSYS5zetuPkgwmPCpjbJ,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Relaxing Piano,2024-10-27,243760,False,27,19,2024-11-06,0.242,0.00564,1,-34.32,0,0.0447,0.989,0.873,0.0744,0.0931,72.699,5,"['classical', 'early romantic era', 'polish classical']",75,3366698
9,"Debussy: Rêverie, CD 76, L. 68",1IAWWQgxOK7kZBWf4N5UM0,Claude Debussy,1Uff91EOsvd99rtAupatMP,Relaxing Piano,2024-10-27,233080,False,23,19,2024-11-06,0.234,0.0216,5,-30.124,1,0.0436,0.995,0.898,0.0702,0.0492,73.639,4,"['classical', 'impressionism', 'post-romantic era']",70,1570540
10,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",4AZbt3ysMu9OBFoI6YFrVH,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Relaxing Piano,2024-10-27,272880,False,33,18,2024-11-06,0.358,0.0144,3,-30.311,1,0.0362,0.992,0.88,0.069,0.0649,59.068,3,"['classical', 'early romantic era', 'polish classical']",75,3366698
11,"Debussy: Suite bergamasque, CD 82, L. 75: III. Clair de lune",193PseLCHo3crCTwAbjLZl,Claude Debussy,1Uff91EOsvd99rtAupatMP,Relaxing Piano,2024-10-27,283053,False,34,17,2024-11-06,0.322,0.00597,1,-32.227,1,0.0459,0.995,0.928,0.0686,0.0393,69.919,4,"['classical', 'impressionism', 'post-romantic era']",70,1570540
12,"Tchaikovsky: The Seasons, Op. 37a: No. 6, June. Barcarolle",0mwmNNscgur0DVuB37sJVd,Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,Relaxing Piano,2024-10-27,280600,False,35,16,2024-11-06,0.217,0.0098,7,-31.274,0,0.0468,0.995,0.899,0.0645,0.107,64.796,4,"['classical', 'late romantic era', 'russian romanticism']",71,1402497
13,"Chopin: Nocturne No. 8 in D-Flat Major, Op. 27 No. 2",6oMdGeYdTRxcjtaMPZ7l8o,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Relaxing Piano,2024-10-27,300493,False,42,15,2024-11-06,0.234,0.0207,1,-28.977,1,0.0375,0.991,0.918,0.133,0.0365,80.304,5,"['classical', 'early romantic era', 'polish classical']",75,3366698
14,"Ravel: Pavane pour une infante défunte, M. 19",0yYAlA1c4dzkyQySzYzRbK,Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,Relaxing Piano,2024-10-27,427706,False,46,14,2024-11-06,0.556,0.0126,4,-24.994,0,0.0965,0.995,0.933,0.0978,0.0866,99.151,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",61,523246
15,"Ravel: Jeux d'eaux, M. 30",3ukCzYQvVTK5UUnwRerFIP,Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,Relaxing Piano,2024-10-27,336573,False,41,15,2024-11-06,0.333,0.201,6,-21.426,0,0.0375,0.986,0.912,0.173,0.0366,115.721,3,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",61,523246
16,"Ravel: Gaspard de la nuit, M. 55: I. Ondine",6TTHT99AVT7g51iAK0b8Lg,Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,Relaxing Piano,2024-10-27,387693,False,44,14,2024-11-06,0.136,0.0681,1,-27.094,1,0.0399,0.991,0.922,0.0703,0.0336,56.088,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",61,523246
17,"Ravel: Piano Concerto in G Major, M. 83: II. Adagio assai",38G1DBmL6LMugOTiOaVhDK,Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,Relaxing Piano,2024-10-27,520000,False,50,14,2024-11-06,0.225,0.0944,1,-24.985,0,0.0348,0.979,0.931,0.0891,0.04,77.723,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",61,523246
18,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Chopin: Nocturnes,1982-01-01,273666,False,1,64,2024-11-06,0.44,0.00925,3,-32.452,1,0.0468,0.984,0.936,0.0873,0.0908,129.129,4,"['classical', 'early romantic era', 'polish classical']",75,3366698
19,Clair de lune,6kf7ZCJjEbjZXikivKOsvJ,Claude Debussy,1Uff91EOsvd99rtAupatMP,Träumerei - Liebestraum - Für Elise - Clair de lune - Gymnopédie - Sony Classical Masters,2010-10-08,347426,False,12,59,2024-11-06,0.365,0.01,1,-25.268,1,0.0519,0.995,0.924,0.0584,0.0364,135.048,3,"['classical', 'impressionism', 'post-romantic era']",70,1570540
20,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",3zLTPuucd3e6TxZnu2dlVS,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",2015,212066,False,1,63,2024-11-06,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,3,"['classical', 'classical era', 'early romantic era', 'german romanticism']",73,5388573
21,"Préludes / Book 2, L. 123: 5. Bruyères - Home Session",2eSVQH8lwcrUBs7dpEj7p7,Claude Debussy,1Uff91EOsvd99rtAupatMP,Debussy: Bruyères (Home Session),2020-10-16,216061,False,1,58,2024-11-06,0.3,0.0405,8,-31.023,1,0.0449,0.992,0.948,0.138,0.233,63.821,3,"['classical', 'impressionism', 'post-romantic era']",70,1570540
22,Antar (After N. Rimsky-Korsakov): No. 7. Ravel: Allegretto,0Ee9oam0N0ZzxZSN9nogTQ,Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,"Ravel: Orchestral Works, Vol. 5",2017-04-14,65960,False,7,60,2024-11-06,0.152,0.0116,5,-33.668,1,0.0387,0.749,0.855,0.294,0.0387,137.649,4,"['classical', 'impressionism', 'neoclassicism', 'post-romantic era']",61,523246
23,"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse",1BbQIyPnuhVIlJEqPcY3Ug,Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,None but the Lonely Heart,2019-10-18,141706,False,7,59,2024-11-06,0.252,0.0578,1,-26.184,1,0.0518,0.953,0.0163,0.0721,0.0391,108.013,4,"['classical', 'late romantic era', 'russian romanticism']",71,1402497
24,"Rêverie, L. 68: Rêverie",43bSKCMWHIuBsUVmQcDX1J,Claude Debussy,1Uff91EOsvd99rtAupatMP,Debussy Piano Edition,2012-01-01,257000,False,18,58,2024-11-06,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,3,"['classical', 'impressionism', 'post-romantic era']",70,1570540
25,"Waltz No. 19 in A minor, Op. posth.",71MpmxCJ1TW05c7Fvv1SfI,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,"Chopin: Waltzes, etc.",1995-01-01,132666,False,17,61,2024-11-06,0.308,0.0261,9,-37.242,0,0.042,0.984,0.928,0.0749,0.148,69.156,4,"['classical', 'early romantic era', 'polish classical']",75,3366698
26,"Prélude in E minor, Op. 28, No. 4",1Xf4sNtMKc1xiUhuIPAUg2,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,The Pianist (Original Motion Picture Soundtrack),2002-07-17,146760,False,7,60,2024-11-06,0.388,0.00269,4,-32.97,0,0.0516,0.995,0.869,0.063,0.0397,63.386,4,"['classical', 'early romantic era', 'polish classical']",75,3366698
27,"Rêverie, L. 68",086sjLPEqdKBgTxbTeCLCv,Claude Debussy,1Uff91EOsvd99rtAupatMP,Debussy: Estampes; Pour le piano; 6 épigraphes antiques,2007-07-31,233400,False,5,57,2024-11-06,0.25,0.00904,5,-31.617,1,0.041,0.995,0.922,0.0779,0.083,62.541,4,"['classical', 'impressionism', 'post-romantic era']",70,1570540
