,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,3.0,2013-07-23,252346,False,1,74,2024-11-06,0.656,0.877,0,-3.231,0,0.0342,0.345,0.0,0.349,0.894,105.018,4,"['latin pop', 'modern salsa', 'salsa', 'tropical']",77,10072653
1,Llorarás,2naqSVQHgiaoEpxtkVOhmK,Dimension Latina,2ixSzFmACsZSsx40fXTNYk,Una Dimensión De Éxitos,1996-01-17,228554,False,1,75,2024-11-06,0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,4,"['salsa', 'salsa venezolana']",62,81524
2,Que Locura Enamorarme De Ti,1TMxv8sfUhU55AC6Ul1PU5,Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,Atrevido Y Diferente,1986,308040,False,5,69,2024-11-06,0.746,0.786,10,-7.273,0,0.0428,0.538,8e-06,0.0656,0.968,93.767,4,"['salsa', 'salsa puertorriquena', 'tropical']",70,2219884
3,Virgen,1HWbpfmzt1YplLceHgirCv,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,La Historia... Los Éxitos,2008-06-25,273763,False,4,75,2024-11-06,0.66,0.756,8,-4.903,1,0.0443,0.727,0.000323,0.115,0.768,90.839,4,"['salsa', 'salsa venezolana', 'tropical']",73,1231723
4,Suavemente,7cpFmkNmh3MM0WqXPSbs9f,Elvis Crespo,1c22GXH30ijlOfXhfLz9Df,Suavemente,1998-04-14,267000,False,1,61,2024-11-06,0.811,0.88,8,-2.972,1,0.0628,0.254,0.00146,0.0475,0.915,124.12,4,"['latin pop', 'salsa', 'tropical']",66,1156924
5,Persona Ideal - Me Tengo Que Ir,4UHRMwbbiZ7tkeEkhyN7iB,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,Persona Ideal,1996-09-20,279849,False,1,73,2024-11-06,0.527,0.59,2,-8.897,0,0.0347,0.39,0.0,0.223,0.881,96.687,4,"['salsa', 'salsa venezolana', 'tropical']",73,1231723
6,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,Luis Enrique,2mUI4K6csTQd3jieswcmiI,Ciclos,2009-05-19,259853,False,1,73,2024-11-06,0.653,0.827,4,-3.206,0,0.042,0.649,0.0,0.18,0.733,95.223,4,"['cuatro venezolano', 'latin pop', 'modern salsa', 'musica nicaraguense', 'salsa', 'tropical']",62,1094050
7,Oh Qué Será?,2n1MTLCis6qPSDKdr5XSDI,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Greatest Hits,2008-02-26,304200,False,14,69,2024-11-06,0.445,0.791,9,-5.017,0,0.132,0.69,1.35e-06,0.0718,0.459,87.058,4,"['salsa', 'tropical']",72,2162863
8,Ven Devórame Otra Vez,2HbmLkHkkI15eES8kpWRuI,Lalo Rodriguez,5LmwELEKyxDFxrbZzR8K4U,Oro Salsero,1994-01-01,311400,False,1,67,2024-11-06,0.643,0.602,5,-9.28,0,0.0438,0.667,8.62e-05,0.276,0.961,83.778,4,"['salsa', 'salsa puertorriquena']",61,260587
9,Aquel Lugar,16c6awlmGfeusU7zoVu5yc,Adolescent's Orquesta,70nxnxEqDQIEWneRjg2Q4O,Búscame,2005-03-20,231410,False,5,72,2024-11-06,0.75,0.64,4,-4.537,0,0.0365,0.37,0.0,0.122,0.645,92.038,4,"['salsa', 'salsa venezolana', 'tropical']",73,1231723
10,Tu Amor Me Hace Bien - Salsa Version,3yEtuhGR8jOtusa29jWrhG,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Valio La Pena,2004-07-27,300160,False,4,68,2024-11-06,0.691,0.658,0,-6.496,1,0.0359,0.398,4.58e-05,0.112,0.617,97.68,4,"['latin pop', 'modern salsa', 'salsa', 'tropical']",77,10072653
11,Procura,2q9udNV9NK0BL3q9p6TLxf,ChiChi Peralta,5GNSVtCq2hiXDx7jUA5Iou,Pa' Otro La 'O,1997-07-01,271031,False,7,74,2024-11-06,0.805,0.757,8,-7.46,1,0.0355,0.279,0.000839,0.101,0.973,102.14,4,"['latin pop', 'salsa', 'tropical']",62,780734
12,Flor Pálida,47TyfLrGhYHHyyQWk64d0M,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,3.0,2013-07-23,280453,False,3,69,2024-11-06,0.574,0.802,7,-3.976,1,0.0316,0.659,5.07e-06,0.0765,0.739,93.537,4,"['latin pop', 'modern salsa', 'salsa', 'tropical']",77,10072653
13,Talento De Televisión,3fRIuTih8bzc0vtY9fHhvF,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Mis Favoritas,2010-06-08,279320,False,10,72,2024-11-06,0.779,0.796,2,-6.675,1,0.0434,0.701,3.99e-05,0.0636,0.938,104.947,4,"['salsa', 'tropical']",72,2162863
14,Tu Sonrisa,3IS5IWZuDJJdqBJ9XVqpbh,Elvis Crespo,1c22GXH30ijlOfXhfLz9Df,Suavemente,1998-04-14,274160,False,6,58,2024-11-06,0.786,0.912,9,-2.894,1,0.0567,0.401,0.00114,0.0475,0.853,128.896,4,"['latin pop', 'salsa', 'tropical']",66,1156924
15,La Vida Es Un Carnaval,1BwrMGGhPA6GarWIYaFrW8,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Para La Eternidad,2016-05-27,278866,False,1,65,2024-11-06,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,4,"['cha-cha-cha', 'cuban rumba', 'mambo', 'musica tradicional cubana', 'salsa']",65,632504
