,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,The Girl From Ipanema,7znjbX9XdoQayIrVNdd50Z,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,320253,False,1,66,2024-11-06,0.654,0.147,10,-17.844,0,0.039,0.867,0.000923,0.0986,0.472,130.359,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
1,Água de Beber,3QKJELWORZZ7rUZDWeMWSA,Astrud Gilberto,5rX2c1zow6hCph8PnnU3kF,The Astrud Gilberto Album,1965-01-01,138013,False,2,64,2024-11-06,0.653,0.319,4,-17.813,0,0.0364,0.439,0.0,0.0906,0.845,147.853,4,"['bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']",62,296703
2,The Girl From Ipanema - Single Version,4qGfJb2KByjvzrwo8HNibg,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,167533,False,17,60,2024-11-06,0.696,0.17,5,-16.603,0,0.0385,0.944,0.00174,0.106,0.52,130.966,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
3,Fly Me To The Moon,7ilc2TB1RZXbQJyFs5qCiC,Astrud Gilberto,5rX2c1zow6hCph8PnnU3kF,The Shadow Of Your Smile,1965-05-22,142533,False,4,62,2024-11-06,0.596,0.306,7,-14.404,1,0.0345,0.884,0.000375,0.0733,0.474,133.639,4,"['bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']",62,296703
4,Magalenha,36SJ7ZFx8J1f1RsewmUwMX,Sérgio Mendes,65c5si0ePAwkOCn4M35Ho7,Brasileiro,1992-06-17,216933,False,2,66,2024-11-06,0.82,0.634,9,-13.816,1,0.0747,0.128,0.0,0.0971,0.716,116.625,4,"['bossa nova', 'brazilian jazz', 'samba']",63,226557
5,Só Danço Samba,5je0CDv1Z1hT82Nek1Fjhl,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz Samba Encore!,1963,216226,False,2,60,2024-11-06,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
6,Corcovado (Quiet Nights Of Quiet Stars),0Wh99eifNTNqDFRtzWhCE2,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,256560,False,5,61,2024-11-06,0.519,0.132,0,-17.856,1,0.0478,0.916,0.00106,0.246,0.376,127.214,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
7,Águas De Março,15ouqiBsgL12olEwP3COsH,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8,Elis & Tom,1974-06-17,214003,False,1,65,2024-11-06,0.683,0.517,0,-11.86,0,0.23,0.7,1.22e-05,0.109,0.673,144.129,4,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",63,1419604
8,Never Gonna Let You Go,5u8bqfaYSh0qVTsgslPknf,Sérgio Mendes,65c5si0ePAwkOCn4M35Ho7,Sergio Mendes,1983,255600,False,2,60,2024-11-06,0.639,0.403,7,-12.401,1,0.0349,0.567,0.0,0.67,0.324,132.56,4,"['bossa nova', 'brazilian jazz', 'samba']",63,226557
9,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,5nU7dvOfzYs9QVVL7YVNPE,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,139986,False,18,59,2024-11-06,0.531,0.198,9,-15.811,0,0.039,0.952,0.00267,0.119,0.437,128.043,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
10,Misty,4Mdo6FZj42vID4oDi6P4ZW,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,This Is Jazz #14,1996-08-07,323226,False,4,49,2024-11-06,0.328,0.0421,6,-22.933,1,0.0426,0.993,0.525,0.0964,0.179,52.793,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
11,Early Autumn,22DysDIxio06fLuxT0f6g8,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Cool Velvet: Stan Getz And Strings,1960-11-17,285333,False,3,48,2024-11-06,0.305,0.173,10,-14.703,1,0.0341,0.964,0.0885,0.0953,0.26,59.314,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
12,Mas Que Nada - 2011 Rio Version,6eNHrgrgbMFQpQ5qFEPL6h,Sérgio Mendes,65c5si0ePAwkOCn4M35Ho7,Rio: Music From The Motion Picture,2011-01-01,164200,False,3,48,2024-11-06,0.517,0.647,5,-8.076,0,0.0404,0.694,0.000112,0.21,0.95,94.734,4,"['bossa nova', 'brazilian jazz', 'samba']",63,226557
13,I Don't Stand A Ghost Of A Chance With You,1U40ZDyutQGASuOrNlVM2S,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz In Stockholm,1956-01-01,348546,False,3,48,2024-11-06,0.428,0.0429,1,-24.025,1,0.0398,0.991,0.803,0.112,0.423,140.824,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
14,Moonlight In Vermont,6vUv75b49uBNR9H0zenin6,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,The Essential Stan Getz: The Getz Songbook,1992-11-03,147906,False,13,52,2024-11-06,0.338,0.354,1,-10.931,1,0.0363,0.919,0.0753,0.223,0.343,115.553,5,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
15,But Beautiful,1XCBWtTJZuHbwa6GLUutjo,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz & Bill Evans,1973-03-01,280840,False,2,54,2024-11-06,0.499,0.0539,11,-21.882,1,0.0396,0.972,0.0287,0.0839,0.324,72.981,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
16,Para Machuchar Meu Coracao,5UaJ4zxtCIi5WZomhoZIeq,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,307253,False,3,57,2024-11-06,0.5,0.142,3,-18.151,1,0.0402,0.935,0.00474,0.106,0.426,131.588,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
17,A Nightingale Sang In Berkeley Square,1xaTXPoDk4VOU9XhYX4KJM,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Recorded Fall '61,1961-01-01,419626,False,5,54,2024-11-06,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
18,Desafinado,2tcfbkABIwzpepPyaFsYF4,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Expanded Edition),1964-03-01,248013,False,4,55,2024-11-06,0.501,0.186,10,-17.522,1,0.0544,0.912,0.00269,0.116,0.422,144.083,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
19,Chega de Saudade,7jcLeqojncPZAFh2VUO7mD,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto Apresenta Chega de Saudade,1959-04-14,123386,False,1,51,2024-11-06,0.532,0.247,2,-15.507,1,0.0339,0.73,0.0,0.18,0.67,87.995,4,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'samba', 'violao']",65,646621
20,Saudade Vem Correndo,3QxAadrRx8aSEVd6Qzr8KF,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Jazz Samba Encore!,1963,219093,False,8,52,2024-11-06,0.634,0.288,4,-16.798,1,0.0377,0.946,0.163,0.366,0.671,90.633,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
21,Triste,0PHGV9pWYv91WCeCXhdWye,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8,Elis & Tom,1974-06-17,162368,False,5,56,2024-11-06,0.698,0.364,0,-14.853,1,0.0681,0.736,0.00631,0.0984,0.54,138.143,4,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",63,1419604
22,Bim Bom,1xBNJg2dvZsmUM4yoBag9N,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto Apresenta Chega de Saudade,1959-04-14,77346,False,15,48,2024-11-06,0.626,0.517,0,-13.593,1,0.0395,0.487,0.00192,0.0822,0.829,91.895,4,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'samba', 'violao']",65,646621
23,Nobody Else But Me,2QDrvpbDt5WnHIwqGZZSX0,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Nobody Else But Me,1994-09-27,251346,False,6,49,2024-11-06,0.451,0.156,0,-15.422,0,0.0415,0.964,0.0478,0.0993,0.379,137.405,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
24,The Girl From Ipanema,3898C4AbdbptwYet6547e5,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,The Girl From Ipanema - The Bossa Nova Years,1989-01-01,321826,False,1,54,2024-11-06,0.666,0.194,5,-15.487,0,0.0357,0.91,4.03e-05,0.0829,0.443,129.86,4,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,475484
25,Desafinado,7dm2MG1cI9oo3kZgpjMLFz,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto Apresenta Chega de Saudade,1959-04-14,118120,False,13,50,2024-11-06,0.507,0.309,6,-14.429,0,0.0383,0.784,0.0,0.138,0.716,82.052,4,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'samba', 'violao']",65,646621
