,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,290616,False,4,87,2024-11-06,0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
1,Fade Into You,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,37w38cCSGgKLdayTRjna4W,So Tonight That I Might See,1993-10-05,295600,False,1,82,2024-11-06,0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",72,1440197
2,Sunsetz,0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,215150,False,3,83,2024-11-06,0.41,0.48,9,-9.417,0,0.0294,0.0561,0.814,0.0972,0.129,75.303,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
3,Cry,3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,256799,False,7,84,2024-11-06,0.408,0.398,7,-10.448,1,0.0277,0.758,0.654,0.112,0.165,142.834,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
4,K.,1FWsomP9StpCcXNWmJk8Cl,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,320030,False,1,82,2024-11-06,0.454,0.401,3,-10.251,1,0.0264,0.14,0.837,0.136,0.319,93.703,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
5,Sweet,6ilc4vQcwMPlvAHFfsTGng,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,292110,False,6,81,2024-11-06,0.449,0.51,6,-9.075,1,0.0278,0.351,0.761,0.139,0.115,96.425,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
6,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,M83,63MQldklfxkjYDoUE4Tppz,"Hurry Up, We're Dreaming",2011,241440,False,2,69,2024-11-06,0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,4,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",72,2446448
7,Heavenly,70YTBH8vOGJNMhy6186yFm,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,286773,False,3,77,2024-11-06,0.536,0.436,8,-9.187,1,0.0248,0.672,0.697,0.11,0.134,105.13,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
8,Nothing's Gonna Hurt You Baby,7cs7MLtAWvsdf3w5kBvfK2,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,I.,2012-07-21,286293,False,1,76,2024-11-06,0.495,0.328,4,-14.079,1,0.0274,0.262,0.149,0.107,0.0927,97.241,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
9,Bitter Sweet Symphony - Remastered 2016,57iDDD9N9tTWe75x6qhStw,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns (Remastered 2016),1997-09-29,357266,False,1,79,2024-11-06,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,"['britpop', 'permanent wave', 'rock', 'shoegaze']",68,2429363
10,Harness Your Hopes - B-side,4vsoWZcvtvSsE0OiVvDDvX,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Brighten the Corners: Nicene Creedence Ed.,2008-12-09,206946,False,19,70,2024-11-06,0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,4,"['alternative rock', 'chamber pop', 'indie rock', 'lo-fi', 'shoegaze', 'slacker rock']",60,654348
11,When the Sun Hits,0oxYB9GoOIDrdzniNdKC44,Slowdive,72X6FHxaShda0XeQw3vbeF,Souvlaki,1993,285906,False,7,71,2024-11-06,0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,4,"['alternative rock', 'dream pop', 'reading indie', 'shoegaze']",65,1140678
12,John Wayne,6TWcSqCntZhH5vyc35kkob,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,258483,False,9,72,2024-11-06,0.453,0.465,3,-8.392,1,0.0287,0.351,0.883,0.0985,0.178,123.84,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
13,Falling In Love,0O0bttAxJKKWqAqY2Nq4mC,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,245840,False,8,73,2024-11-06,0.475,0.269,7,-11.641,1,0.027,0.722,0.017,0.125,0.357,140.654,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
14,Touch,1l4pW7Tklvcc3k38rDFMkk,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,292853,False,5,71,2024-11-06,0.484,0.5,6,-9.403,1,0.0241,0.366,0.918,0.102,0.369,95.996,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
15,Halah,6JuEshIRliNXRU1LXctRjZ,Mazzy Star,37w38cCSGgKLdayTRjna4W,She Hangs Brightly,1990-05-21,196226,False,1,67,2024-11-06,0.622,0.448,0,-10.709,1,0.0265,0.23,0.0,0.102,0.553,106.085,4,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",72,1440197
16,You're All I Want,4nvLuqwTOZdEJI1fcHXv8h,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,You're All I Want,2020-05-26,264453,False,1,70,2024-11-06,0.443,0.472,5,-10.94,1,0.0243,0.364,0.825,0.113,0.264,90.948,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
17,Tejano Blue,383EQ8PDAlqzSe4ayyn2Ct,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,X's,2024-07-12,234453,True,2,70,2024-11-06,0.54,0.46,4,-9.992,1,0.0369,0.546,0.439,0.116,0.285,81.999,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
18,X's,4ImeysCxPlYmM4LRFp7z9f,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,X's,2024-07-12,183761,True,1,69,2024-11-06,0.587,0.442,11,-10.837,0,0.0296,0.445,0.816,0.109,0.215,133.251,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
19,Cherry-coloured Funk,37pKTyMwalomKCZjxTc2QZ,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Heaven or Las Vegas,1990-09-17,192466,False,1,66,2024-11-06,0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,4,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']",66,1117045
20,Stop Waiting,1xbOdb9kv5YKBIzJSrKNEy,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Bubblegum,2023-07-18,362973,False,2,68,2024-11-06,0.456,0.336,2,-15.466,1,0.0264,0.333,0.799,0.0737,0.0762,87.435,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
21,Sesame Syrup,53k1gKFpKrDbktUzrB80f0,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Crush,2018-07-09,303296,False,2,69,2024-11-06,0.424,0.413,4,-11.383,1,0.0246,0.0402,0.382,0.107,0.348,93.636,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
22,Pistol,2nD9CUfMMUVxL0UyFs8fGG,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Pistol,2022-11-15,234174,False,1,69,2024-11-06,0.651,0.441,7,-11.74,1,0.0346,0.519,0.708,0.0959,0.373,109.979,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
23,Falling Apart,2b7zdV4i5vEaRlZAkiIAR5,Slow Pulp,2JFTRDi5v7JtqoouVe1z5D,Moveys,2020-10-09,166033,False,8,63,2024-11-06,0.666,0.558,11,-7.842,1,0.0296,0.402,0.00805,0.135,0.421,146.003,4,"['bubblegrunge', 'chicago indie', 'countrygaze', 'midwest shoegaze', 'nu gaze']",58,197490
24,Opera House,6XdoudbyF67XLcwarEPy0L,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,365150,False,7,68,2024-11-06,0.367,0.292,5,-14.146,1,0.0348,0.726,0.832,0.0971,0.0674,115.337,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
25,When You Sleep,3HfEgAaf0koxBpBB8NvGda,my bloody valentine,3G3Gdm0ZRAOxLrbyjfhii5,Loveless,1991-11-04,251933,False,5,60,2024-11-06,0.4,0.82,11,-12.281,1,0.0466,0.000295,0.79,0.236,0.135,128.894,4,"['alternative rock', 'dream pop', 'irish shoegaze', 'noise pop', 'shoegaze']",58,986116
26,"Sea, Swallow Me",7vPHiwgCOAjSBRjAirbMvS,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,The Moon and the Melodies,1986-11-10,189040,False,1,65,2024-11-06,0.454,0.673,0,-13.425,1,0.0265,0.589,0.238,0.252,0.827,163.954,3,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']",66,1117045
27,Outro,2QVmiA93GVhWNTWQctyY1K,M83,63MQldklfxkjYDoUE4Tppz,"Hurry Up, We're Dreaming",2011,247026,False,11,60,2024-11-06,0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,4,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",72,2446448
28,It Soothes Me,6sgnvABaQ82zq4Pm6abqb1,Beach Vacation,5r5uCVk3IIzm2jdfGDpl8C,Coping Habits,2023-09-15,131842,False,3,64,2024-11-06,0.506,0.926,11,-8.424,1,0.0312,0.153,0.818,0.233,0.93,152.044,4,"['cascadia shoegaze', 'chill dream pop', 'dreamo']",55,22458
29,Heaven or Las Vegas,0AxZUYeQ9bZwSdt1LmZuok,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Heaven or Las Vegas,1990-09-17,298400,False,5,64,2024-11-06,0.202,0.804,7,-5.465,1,0.0383,6.97e-05,0.00775,0.081,0.418,179.911,4,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']",66,1117045
30,Each Time You Fall in Love,2hIsd0F6ZGfHCC1xa7vSad,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2017-06-09,290630,False,2,66,2024-11-06,0.379,0.535,10,-8.845,1,0.0277,0.466,0.506,0.131,0.297,75.941,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
31,Blue Light,3BdHMOIA9B0bN53jbE5nWe,Mazzy Star,37w38cCSGgKLdayTRjna4W,So Tonight That I Might See,1993-10-05,310733,False,5,63,2024-11-06,0.457,0.223,4,-15.505,1,0.0289,0.837,0.623,0.0978,0.181,135.46,3,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",72,1440197
32,Kiss It Off Me,2UKvxuMTM7JwprZrnpxgY1,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,2019-10-25,269933,True,2,67,2024-11-06,0.522,0.299,4,-12.471,1,0.0261,0.756,0.473,0.11,0.224,80.273,4,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13269549
