,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Stick Season,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,2022-10-14,182346,False,2,87,2024-11-06,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
1,Slow It Down,51eSHglvG1RJXtL3qI5trr,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,2024-04-05,161831,False,3,87,2024-11-06,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,4,['singer-songwriter pop'],86,3851956
2,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,2024-04-05,180304,False,4,89,2024-11-06,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,['singer-songwriter pop'],86,3851956
3,Stargazing,3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,3bO19AOone0ubCsfDXDtYt,Stargazing,2024-05-10,172533,False,1,89,2024-11-06,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,4,['singer-songwriter pop'],79,780491
4,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2014-09-19,241693,False,1,79,2024-11-06,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
5,Rich Girl,0qRR9d89hIS0MHRkQ0ejxX,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,Bigger Than Both Of Us,1976-08-01,142786,False,2,81,2024-11-06,0.573,0.683,5,-6.644,1,0.176,0.461,0.0,0.0935,0.817,169.519,4,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",77,2546094
6,Too Sweet,76JKIsdKrAfWUMjaA0u7v5,Hozier,2FXC3k01G6Gw61bmprjgqS,Unreal Unearth: Unaired,2024-08-19,251424,False,1,78,2024-11-06,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
7,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Blowin' Your Mind!,1967-09,183306,False,1,82,2024-11-06,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,4,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",75,3306696
8,Work Song,5TgEJ62DOzBpGxZ7WRsrqb,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2014-09-19,229720,False,9,77,2024-11-06,0.531,0.363,10,-7.672,1,0.0608,0.749,0.0,0.112,0.259,121.412,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
9,You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season (We'll All Be Here Forever),2023-06-09,286369,True,20,80,2024-11-06,0.586,0.358,7,-9.761,1,0.0308,0.556,0.0,0.11,0.365,169.925,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
10,Too Sweet,4IadxL6BUymXlh8RCJJu7T,Hozier,2FXC3k01G6Gw61bmprjgqS,Unheard,2024-03-22,251424,False,1,78,2024-11-06,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",86,8009083
11,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Dial Drunk (with Post Malone),2023-07-18,213817,True,1,79,2024-11-06,0.669,0.606,8,-7.193,1,0.0292,0.124,0.0,0.112,0.69,112.108,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
12,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Beautiful Things,2024-01-18,180304,False,1,86,2024-11-06,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,['singer-songwriter pop'],86,3851956
13,All My Love,7ByxizhA4GgEf7Sxomxhze,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,2022-10-14,251510,False,3,78,2024-11-06,0.666,0.665,2,-7.181,1,0.0534,0.309,0.0,0.0961,0.474,116.002,4,"['pov: indie', 'singer-songwriter pop']",87,3520149
14,From The Start,43iIQbw5hx986dUEZbr3eN,Laufey,7gW0r5CkdEUMm42w9XpyZO,Bewitched,2023-09-08,169573,False,10,81,2024-11-06,0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,4,['gen z singer-songwriter'],82,5584481
15,Sunroof,5YqEzk3C5c3UZ1D5fJUlXA,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,Good Times Go,2023-06-09,163025,False,1,82,2024-11-06,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,4,['singer-songwriter pop'],70,275791
