,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Punk Rock Song,5ACDC1gxAUXYDWherVKOiX,Bad Religion,2yJwXpWAQOOl5XFzbCxLs9,The Gray Race,1996-02-27,147173,True,5,52,2024-11-06,0.318,0.984,1,-4.673,0,0.0806,0.000215,0.000244,0.386,0.716,177.229,4,"['punk', 'skate punk', 'socal pop punk']",62,1315724
1,Punk Rawk Show,4cbXRMGdKMjeWei1rOZz8M,MxPx,1cSpfa4Un4NCOzeOKgGtG9,Teenage Politics,1995-01-01,152560,False,4,39,2024-11-06,0.307,0.982,0,-4.244,1,0.145,0.0157,0.0,0.389,0.339,102.019,4,"['christian punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']",49,262396
2,Linoleum,4uB28m7RAflobYpnLMb6A2,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,130266,False,1,57,2024-11-06,0.414,0.933,4,-8.699,1,0.0875,3.32e-05,0.000559,0.0702,0.436,98.375,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
3,Punk Rock Rulebook,5Ul0sIESLXGkfaqPefpTmP,88 Fingers Louie,1ROFZ7U6Yvj0lHzydH8x6J,Back On The Streets (Remixed and Remastered),2019-01-11,143424,False,11,38,2024-11-06,0.41,0.982,7,-2.589,1,0.0716,4.3e-06,1.15e-05,0.225,0.484,123.864,4,"['chicago hardcore', 'chicago punk', 'melodic hardcore', 'orgcore', 'ska', 'skate punk']",46,49423
4,Punk Rock Girl,3exVAgMYBpWOXk8QYjoEiz,Streetlight Manifesto,1OKOTYGoCE2buxTYMegJp7,99 Songs of Revolution Vol. 1,2010-03-16,137186,False,5,31,2024-11-06,0.57,0.964,0,-3.594,1,0.0697,0.0414,0.0,0.28,0.912,149.819,4,"['ska', 'ska punk']",50,313508
5,Punk Rock And Roll,2bwvIrD9qzR39vHHvYDasm,Street Dogs,0spqoVkfVzRyAPmA6ZY5F9,Street Dogs (Deluxe Edition),2010-08-31,154960,False,4,39,2024-11-06,0.362,0.987,4,-5.028,1,0.167,0.000516,0.0,0.346,0.52,195.063,4,"['boston punk', 'celtic punk', 'punk', ""punk 'n' roll"", 'ska', 'skate punk']",39,61556
6,Punk Guy,6HaBPitKCo8XYSlEcHgUmO,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,68960,True,14,36,2024-11-06,0.352,0.871,0,-7.885,1,0.1,3.1e-05,0.000222,0.136,0.559,97.932,3,"['punk', 'skate punk', 'socal pop punk']",62,1097764
7,Leave It Alone,2EPi4anyxVjKTcJwPtntjM,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,124426,False,2,50,2024-11-06,0.36,0.856,5,-9.079,1,0.0449,0.000174,0.0152,0.396,0.469,99.059,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
8,Don't Call Me White,0cntShbC3GmWXygfH98brk,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,153426,True,5,52,2024-11-06,0.329,0.92,9,-8.216,1,0.0752,2.17e-05,0.000115,0.351,0.318,93.078,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
9,The Brews,4khRfibu32AGybm3FmGzk0,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,160706,False,8,47,2024-11-06,0.412,0.83,7,-9.207,1,0.0455,0.0008,0.0,0.403,0.555,93.54,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
10,Perfect Government,0pe2du168zXMGZJlMcyyIb,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,126026,True,7,43,2024-11-06,0.399,0.912,7,-8.101,1,0.107,5.06e-05,9.77e-05,0.173,0.287,93.369,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
11,Lori Meyers,1BqrOpxmeKJG5uzewLFpv2,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,141200,False,12,44,2024-11-06,0.158,0.892,7,-8.107,1,0.0797,6.11e-05,0.000237,0.0903,0.321,198.117,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
12,Punk House of Horror,4dMxvuRdnlQx06wWU10Bhf,Teenage Bottlerocket,0mGyXXKzoR5KAAh4Mkef2W,Freak Out!,2012-07-03,95080,False,7,24,2024-11-06,0.522,0.99,2,-3.344,1,0.0463,0.000291,3.79e-05,0.225,0.723,104.955,4,"['orgcore', 'power-pop punk', 'punk', 'ramonescore', 'ska', 'skate punk', 'wyoming indie']",44,90741
13,Punk Rock Girl,06rRv2oHqJo8yus7KSGTCW,Diesel Boy,2agAYKDv3WcwXt4nKmDThj,Sofa King Cool,1999,148066,False,7,23,2024-11-06,0.253,0.996,0,-3.932,1,0.173,0.0068,0.0,0.113,0.345,150.675,4,"['melodic hardcore', 'ska punk', 'skate punk']",32,24509
14,Punk Out,3kJN9iSC1gHXQfXe9Omuf5,The Suicide Machines,31v7ijnAMVL9V7Uzr1sFcI,Destruction By Definition,1996-01-01,176133,False,11,21,2024-11-06,0.307,0.992,5,-2.627,1,0.0879,0.00166,3.06e-05,0.16,0.717,135.54,4,"['punk', 'ska', 'ska punk', 'skate punk']",46,123827
15,Punk Rock Cliché,68QWHyj9P9O2cBSpYPE2gy,NOFX,4S2yOnmsWW97dT87yVoaSZ,Double Album,2022-12-02,202447,False,5,26,2024-11-06,0.606,0.962,0,-4.383,1,0.0374,0.000229,0.00693,0.0419,0.915,119.975,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
16,Punk Rock 101,4TM8FBojGAfApm4n109A72,Diesel Boy,2agAYKDv3WcwXt4nKmDThj,Cock Rock,1996,106333,False,4,22,2024-11-06,0.327,0.906,1,-6.617,0,0.0719,3.28e-05,1.11e-05,0.0655,0.342,102.413,3,"['melodic hardcore', 'ska punk', 'skate punk']",32,24509
17,Punk Rock Girl,4fG0SVYpNRaDy1WI6hPHlq,MxPx,1cSpfa4Un4NCOzeOKgGtG9,On The Cover II,2009-01-01,156320,False,1,21,2024-11-06,0.505,0.896,5,-4.085,1,0.0338,3.77e-06,0.0,0.268,0.661,131.996,4,"['christian punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']",49,262396
18,I'm Not a Punk,1VMnHHIyXnIWbkhhMoI9kM,Descendents,1FGH4Bh7g9W6V4fUcKZWp5,Milo Goes to College,2022-03-28,64160,False,7,40,2024-11-06,0.278,0.951,7,-8.739,0,0.0552,2.23e-05,0.0,0.396,0.634,141.528,4,"['hardcore punk', 'punk', 'skate punk']",57,508067
19,It's My Job To Keep Punk Rock Elite,6vWVPfnyCENt9znrCy2UNj,NOFX,4S2yOnmsWW97dT87yVoaSZ,So Long & Thanks For All The Shoes,1997-10-21,80800,True,1,46,2024-11-06,0.459,0.99,8,-3.505,1,0.175,8.56e-05,1.73e-06,0.584,0.35,100.821,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
20,She,46bSM4SCl9hK1ID2x3vp7S,Mad Caddies,0cmBbO2sr4w0rRGt3rKvs6,Punk Rocksteady,2018-06-15,181543,False,3,38,2024-11-06,0.716,0.739,6,-5.359,1,0.0608,0.143,0.0,0.379,0.741,77.981,4,"['ska', 'ska punk', 'skate punk']",44,151510
21,The Cause,5b2RQDbNlMt7DE8cuv0hsC,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,97973,False,4,39,2024-11-06,0.426,0.88,7,-7.655,1,0.0688,0.00601,7.45e-05,0.114,0.562,189.758,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
22,Punk Rock Song,0bI44OYKy7OqPCSBg0bG8S,Bad Religion,2yJwXpWAQOOl5XFzbCxLs9,The Gray Race (Remastered),1996-02-27,147451,False,5,24,2024-11-06,0.323,0.993,1,-2.674,0,0.125,0.000251,0.000168,0.175,0.62,177.048,4,"['punk', 'skate punk', 'socal pop punk']",62,1315724
23,Punk Guy,2leIwfkE26OK060Sn2PHIl,NOFX,4S2yOnmsWW97dT87yVoaSZ,I Heard They Suck Live,1995-08-22,69400,False,5,20,2024-11-06,0.432,0.893,0,-7.462,1,0.0869,0.00432,0.0,0.305,0.397,95.825,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
24,Dig,2IcAmkhCn1OrxoP3SZeF5N,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,136266,False,3,37,2024-11-06,0.424,0.908,0,-8.024,1,0.0844,8.94e-05,0.000483,0.0839,0.512,95.685,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
25,Jeff Wears Birkenstocks,2ahs18HewGgTJUlbcTdGKm,NOFX,4S2yOnmsWW97dT87yVoaSZ,Punk In Drublic,1994-07-19,86973,True,13,36,2024-11-06,0.35,0.912,7,-9.54,1,0.0536,0.000568,8.72e-05,0.147,0.775,133.799,4,"['punk', 'skate punk', 'socal pop punk']",62,1097764
26,Punk Rock Jock,0lCuLsQodrjiSkYmMOE5E2,Assorted Jelly Beans,6gzQrxVtyRX8cuRuUaf2Yn,Asssorted Jelly Beans,1996-06-24,130800,False,7,17,2024-11-06,0.332,0.988,7,-4.828,1,0.0848,0.0321,3.32e-05,0.383,0.656,179.057,4,"['crack rock steady', 'ska', 'ska punk']",23,9612
