,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Santeria,2hnMS47jN0etwvFPzYk11f,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,182746,False,6,77,2024-11-06,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
1,"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,"Rise And Fall, Rage And Grace",2008-06-17,177826,True,3,81,2024-11-06,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,4,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,5895646
2,What I Got,3B4q6KbHbGV51HO3GznBFF,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,170906,True,2,74,2024-11-06,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
3,The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,Americana,1998-11-16,180160,False,5,81,2024-11-06,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,5895646
4,Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,Smash,1994-04-08,257826,False,8,76,2024-11-06,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,4,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79,5895646
5,Wrong Way,2PdIo7ewQPuAsP99LVg9uy,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,136146,True,3,69,2024-11-06,0.69,0.681,9,-5.653,1,0.0379,0.0623,0.0,0.137,0.911,75.034,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
6,Ghost Town,6ewN9MaFbi78oDLT9wYDgn,The Specials,6xnvNmSzmeOE1bLKnYXKW3,"Stereo-Typical: A's, B's & Rarities",2000-08-21,219306,False,15,71,2024-11-06,0.664,0.765,10,-9.454,0,0.0507,0.0493,0.333,0.113,0.907,73.676,4,"['britpop', 'new wave', 'punk', 'ska', 'ska revival']",61,663928
7,Doin' Time,4eamJr2k9YDH8j58RSTmSc,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,1996-07-30,253840,False,17,67,2024-11-06,0.708,0.757,7,-5.121,1,0.0791,0.0362,0.0,0.17,0.552,80.976,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
8,Badfish,4paJ10JPNCyOaLtz2cY928,Sublime,0EdvGhlC1FkGItLOWQzG4J,Jah Won't Pay The Bills,1991,188085,False,2,67,2024-11-06,0.801,0.548,11,-5.482,0,0.0516,0.0854,0.000232,0.387,0.627,92.059,4,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",73,3003059
9,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,Big Bang,1994-01-01,222226,False,2,77,2024-11-06,0.714,0.735,4,-7.125,0,0.0306,0.176,0.000622,0.115,0.68,123.57,4,"['argentine rock', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']",74,4434508
