,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Caught Up In the Rapture,5ygOH8xQGicxuxa43vSWwd,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,Jazzy Soul,2017-09-18,250266,False,5,51,2024-11-06,0.593,0.506,2,-9.708,1,0.0263,0.412,3.99e-06,0.048,0.378,91.273,4,"['funk', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",56,1384453
1,London Chimes,4TjX5UTdTrdmnMCi5bcTwf,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters: The Greatest Hits,2007-04-17,251973,False,14,43,2024-11-06,0.698,0.642,7,-10.102,0,0.0363,0.0492,0.911,0.0903,0.9,98.338,4,['smooth jazz'],50,78081
2,All Jazzed Up (And Nowhere To Go),3vZVCOn1WEuuxm0jFWOllv,Everette Harp,7LQBzOrln4d4D5EVAKK7LZ,My Inspiration,2005-06-20,307506,False,2,42,2024-11-06,0.673,0.573,5,-7.83,1,0.188,0.302,0.664,0.126,0.499,176.139,4,"['jazz saxophone', 'smooth jazz', 'smooth saxophone']",42,19096
3,Morning Breeze,5QUiGKCzDrFtBaa081CePO,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,252333,False,10,45,2024-11-06,0.724,0.617,0,-9.137,1,0.0303,0.0191,0.875,0.0925,0.738,97.983,4,"['deep smooth jazz', 'smooth jazz']",42,5335
4,Jazz Party,6GEP5JcldS9FzO8Xoj9voC,Jeffery Smith,7CW9qPfjuZqNDJsJqT9iM2,Reflections,2023-04-14,290200,False,1,26,2024-11-06,0.792,0.507,2,-10.81,1,0.0381,0.0459,0.924,0.0574,0.647,102.024,4,"['deep smooth jazz', 'smooth jazz']",37,5097
5,Cloud Watching,68ZLNdsXbDCUMcK8KWpL1v,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters VI,2010-07-20,329400,False,4,39,2024-11-06,0.634,0.523,3,-10.357,0,0.0286,0.564,0.854,0.0555,0.503,119.996,4,['smooth jazz'],50,78081
6,Workin',1XggkknnMxiR3X3WJSD8ha,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Workin',2022-05-13,246024,False,1,40,2024-11-06,0.641,0.692,5,-8.894,1,0.0329,0.151,0.88,0.124,0.471,99.991,4,"['deep smooth jazz', 'smooth jazz']",42,5335
7,Body and Soul,69aOeHaVpr4dxUWBW6F4Rb,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,Jazz Ballads Classics,2017-04-07,342000,False,25,37,2024-11-06,0.532,0.432,8,-10.481,0,0.0387,0.55,0.0,0.0754,0.219,109.112,3,"['funk', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",56,1384453
8,Jazzie Girl,1JEWN7oBkUL2tR5fNBaNNN,Phil Casagrande,6Dn1sKPj6u0Qp0dVL0sqPy,Jazzie Girl,2023-12-22,178100,False,1,23,2024-11-06,0.603,0.811,2,-13.883,1,0.229,0.00173,0.944,0.0955,0.148,182.043,4,['smooth jazz'],43,2873
9,Summer Nights,67oLrFL5RBuJ1MZMK8dEI6,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,246933,False,2,38,2024-11-06,0.741,0.664,7,-10.106,1,0.0382,0.0142,0.782,0.104,0.565,122.007,4,"['deep smooth jazz', 'smooth jazz']",42,5335
10,Jazz Party,03Q8Pb6MgxqfjyA78VWWTr,Jeffery Smith,7CW9qPfjuZqNDJsJqT9iM2,Jazz Party,2022-03-14,287040,False,1,21,2024-11-06,0.792,0.508,2,-10.81,1,0.0381,0.0463,0.925,0.0688,0.658,102.024,4,"['deep smooth jazz', 'smooth jazz']",37,5097
11,Keep Holding On,4Ld2yBGk0kBJ84sqSmDbq2,Jazz Funk Soul,3avdUekEuUcWJDjYZimuED,Forecast,2022-08-05,343213,False,2,39,2024-11-06,0.695,0.575,7,-9.452,1,0.0387,0.18,0.152,0.109,0.63,86.968,4,"['smooth jazz', 'smooth saxophone']",33,17389
12,Piermont Nights,0wRkNIAdV8JgFGghhzKmoQ,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Piermont Nights,2023-02-10,249371,False,1,36,2024-11-06,0.659,0.686,3,-9.438,0,0.0352,0.0286,0.85,0.255,0.492,89.992,4,"['deep smooth jazz', 'smooth jazz']",42,5335
13,Port Boulevard,3HTD6RDifXMUCCMEanCTZX,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,253333,False,1,38,2024-11-06,0.715,0.628,7,-9.402,0,0.0324,0.0288,0.908,0.163,0.824,120.018,4,"['deep smooth jazz', 'smooth jazz']",42,5335
14,Angel,0UwwFTc4nTDEkxSKJBP4xY,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,80s Jazz Hits,2017-03-30,300706,False,10,46,2024-11-06,0.625,0.373,9,-12.718,0,0.0315,0.705,4.95e-05,0.0699,0.486,81.034,4,"['funk', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",56,1384453
15,Street Life - Single Edit,6Llr9PVC1cirKUwu7Fle83,The Crusaders,3Bhgbs9kIwl8SuU0eIqN6b,Gold,2007,332133,False,10,46,2024-11-06,0.505,0.625,5,-8.195,0,0.0686,0.603,3.98e-05,0.0823,0.608,110.791,4,"['jazz funk', 'smooth jazz', 'soul jazz']",43,127760
16,Street Life,5CtKsA5lA75wWaqxrC1r02,The Crusaders,3Bhgbs9kIwl8SuU0eIqN6b,Street Life,1979-01-01,678200,False,1,43,2024-11-06,0.543,0.414,5,-15.35,0,0.0513,0.322,0.00127,0.0685,0.559,110.946,4,"['jazz funk', 'smooth jazz', 'soul jazz']",43,127760
17,I Send My Love,3lXQB2F525gsdT6jbw1kO6,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,238706,False,9,35,2024-11-06,0.67,0.586,4,-9.513,0,0.0304,0.353,0.882,0.104,0.4,121.947,4,"['deep smooth jazz', 'smooth jazz']",42,5335
18,Mary's Song,3GWMbFFHdUBiwVCYiKOeEK,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,258893,False,5,34,2024-11-06,0.648,0.628,7,-10.135,1,0.0337,0.00932,0.84,0.13,0.636,111.995,4,"['deep smooth jazz', 'smooth jazz']",42,5335
19,Simple Things,6Av3F8C9VJP035DYmCopIa,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,243626,False,6,33,2024-11-06,0.664,0.666,11,-10.085,0,0.0319,0.00152,0.828,0.164,0.683,119.975,4,"['deep smooth jazz', 'smooth jazz']",42,5335
20,Nothing to Complicated,4nb02ZUrTwdi0sQ61NN56S,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,252880,False,4,33,2024-11-06,0.667,0.725,7,-10.535,1,0.0379,0.113,0.8,0.102,0.705,119.983,4,"['deep smooth jazz', 'smooth jazz']",42,5335
21,The Great Pumpkin Waltz,0A9SJhOHSZDWMUDkIeMLFM,David Benoit,1OLWM7nUNcTjZ9ct4DEPZu,Jazz for Peanuts - A Retrospective of the Charlie Brown Television Themes,2008-01-01,258666,False,4,31,2024-11-06,0.473,0.344,7,-15.173,0,0.0347,0.735,0.928,0.0923,0.38,92.462,4,['smooth jazz'],46,110536
22,Deodato,0LUEo5sCO9245g40pTFdHu,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Deodato,2020-06-23,254380,False,1,33,2024-11-06,0.655,0.664,7,-11.753,1,0.0336,0.00244,0.851,0.134,0.722,121.033,4,"['deep smooth jazz', 'smooth jazz']",42,5335
23,Jazzin' Up Noel,0LzhCExSdhoebwsw3n6B6y,Mike Murray,7n1q6d8hgNc9vKJmrLfQjq,Jazzin' Up Noel,2023-11-03,246689,False,1,16,2024-11-06,0.707,0.756,2,-9.424,1,0.0321,0.148,0.932,0.056,0.763,110.005,4,['deep smooth jazz'],26,1360
24,Shine,3SfSYvmw6c9EQcEbN01HTe,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters: The Greatest Hits,2007-04-17,302293,False,1,28,2024-11-06,0.661,0.504,2,-10.116,0,0.0286,0.137,0.945,0.0761,0.842,106.777,4,['smooth jazz'],50,78081
25,Soul Shadows - Edit,1gSP2PYlWu3429ySMUjc8s,The Crusaders,3Bhgbs9kIwl8SuU0eIqN6b,The Vocal Album,1987-01-01,383506,False,7,38,2024-11-06,0.703,0.394,10,-14.976,0,0.0459,0.136,0.0023,0.05,0.825,86.866,4,"['jazz funk', 'smooth jazz', 'soul jazz']",43,127760
26,Lost Summer,4bx7C5hmKNP4wh6tNkWs6t,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters: The Greatest Hits,2007-04-17,316973,False,2,27,2024-11-06,0.676,0.86,0,-6.558,1,0.0455,0.0636,0.314,0.12,0.875,88.334,4,['smooth jazz'],50,78081
27,In The City Life,4l5uxmrBy57ccTRyF8K1lJ,Gota,1kxc4wfA8JEm5D6xHTxXCZ,Smooth Jazz Radio Hits Volume Two,2000-01-01,216293,False,2,44,2024-11-06,0.722,0.625,7,-9.53,1,0.0342,0.118,0.553,0.113,0.637,99.035,4,['smooth jazz'],43,4165
28,Keep That Same Old Feeling,6QXoo3gKDFKptr27OSSGmC,The Crusaders,3Bhgbs9kIwl8SuU0eIqN6b,Those Southern Knights,1976-01-01,338133,False,2,32,2024-11-06,0.644,0.474,5,-16.133,0,0.0392,0.427,0.0107,0.0799,0.921,104.07,4,"['jazz funk', 'smooth jazz', 'soul jazz']",43,127760
29,Whatever It Takes,1g795gFDpVVmUF4RNbNjue,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,Easy Jazz Classics,2017-04-29,335400,False,12,41,2024-11-06,0.712,0.416,11,-11.688,1,0.0295,0.474,4.14e-05,0.0519,0.407,132.111,4,"['funk', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",56,1384453
30,Night Mist,2SKcjsgGucItTj7WTki6VD,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Intuition,2014-07-09,225026,False,2,29,2024-11-06,0.743,0.566,2,-11.342,1,0.0387,0.476,0.662,0.13,0.745,107.007,4,"['deep smooth jazz', 'smooth jazz']",42,5335
31,Walkin' to Freedom,7za0yCRrN1el84QKTARDQK,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters: The Greatest Hits,2007-04-17,287680,False,5,27,2024-11-06,0.544,0.717,4,-9.712,0,0.0438,0.0469,0.0517,0.0508,0.598,170.439,4,['smooth jazz'],50,78081
32,Hi Ya Bye Ya,5gueTbcdg9HOsQ5RbbZDiH,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Hi Ya Bye Ya,2021-08-09,256403,False,1,31,2024-11-06,0.741,0.55,5,-10.85,0,0.0462,0.0235,0.845,0.107,0.727,125.01,4,"['deep smooth jazz', 'smooth jazz']",42,5335
33,Jazzy Fruit,1EkEDJSXAKkk8G1uBSvCr2,Jeffery Smith,7CW9qPfjuZqNDJsJqT9iM2,Reflections,2023-04-14,295000,False,5,13,2024-11-06,0.784,0.496,7,-11.238,0,0.0473,0.17,0.942,0.0795,0.763,91.992,4,"['deep smooth jazz', 'smooth jazz']",37,5097
34,Bittersweet,52kvoC0pxADsYU66bTl1mH,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,256160,False,3,29,2024-11-06,0.675,0.482,0,-10.875,1,0.028,0.0546,0.772,0.0987,0.338,128.028,4,"['deep smooth jazz', 'smooth jazz']",42,5335
35,Jazz In You,2AxaoRvujD2zPysmLFjv2j,Wayman Tisdale,3h25qUbua6H0dcBJgDPg5c,Power Forward,1995-01-01,211093,False,3,11,2024-11-06,0.755,0.463,11,-11.616,1,0.0324,0.0134,0.161,0.0735,0.66,92.524,4,['smooth jazz'],37,63508
36,Jazzy Breeze,7L5frHWxy5JBKs18fETVHf,Alfonso Cid,0hjOIk9P4BfV5S7UeONCb2,Crimson Skies,2024-09-18,102660,False,1,19,2024-11-06,0.638,0.231,11,-13.02,1,0.0486,0.976,0.916,0.124,0.366,108.875,4,"['romantico', 'smooth saxophone']",43,1280
37,Jazzhouse,2tzd6ta6aboTb50WikMou5,Bob Mamet,3zzFQcyqb7rDDq8n587TtK,Day Into Night,1995-08-15,259399,False,6,14,2024-11-06,0.648,0.524,9,-11.704,0,0.0283,0.448,0.79,0.0602,0.621,101.662,4,"['deep smooth jazz', 'smooth jazz']",34,2962
38,Line Drive,5KldkQF2Y9glkywSnFBsZI,Jazz Funk Soul,3avdUekEuUcWJDjYZimuED,Jazz Funk Soul,2014-06-24,267119,False,7,27,2024-11-06,0.779,0.597,2,-11.717,0,0.0342,0.324,0.894,0.17,0.902,96.01,4,"['smooth jazz', 'smooth saxophone']",33,17389
39,Speed of Light,6rCBvRxToWrD0YV3Kq10nQ,Jazz Funk Soul,3avdUekEuUcWJDjYZimuED,Jazz Funk Soul,2014-06-24,271390,False,1,26,2024-11-06,0.713,0.508,1,-10.826,1,0.0435,0.115,0.553,0.268,0.878,91.015,4,"['smooth jazz', 'smooth saxophone']",33,17389
40,Mary's Song (Radio Edit),7H4OIXWgYxFDEWIZyyOF70,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Mary's Song (Radio Edit),2020-01-27,236646,False,1,28,2024-11-06,0.649,0.531,7,-11.751,1,0.0367,0.0043,0.788,0.0728,0.631,112.031,4,"['deep smooth jazz', 'smooth jazz']",42,5335
41,Kisses,3LsM6dSOtHuiMTGvjDljTl,Jazz Holdouts,1opzXqZeqkYLVzBsXw45qJ,Summer Nights,2018-08-27,265360,False,8,27,2024-11-06,0.735,0.565,2,-10.557,0,0.0305,0.141,0.887,0.0577,0.753,119.969,4,"['deep smooth jazz', 'smooth jazz']",42,5335
42,Put It Where You Want It,0eniJM6RS1pJSKsxwOGvLI,The Crusaders,3Bhgbs9kIwl8SuU0eIqN6b,Way Back Home,1996-01-01,327560,False,1,30,2024-11-06,0.854,0.414,5,-13.636,1,0.0378,0.435,0.876,0.0776,0.908,126.362,4,"['jazz funk', 'smooth jazz', 'soul jazz']",43,127760
43,Rhythm of Life,6laDdOTvj0IaEOrmM5gvn5,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,The Jazzmasters VII,2014-06-10,206846,False,2,23,2024-11-06,0.617,0.559,10,-12.207,0,0.0369,0.0226,0.879,0.0615,0.632,115.0,4,['smooth jazz'],50,78081
44,Jokers Wild (Smooth Jazz Mix),6j18FbASnrYWiRpd7J81he,Paul Hardcastle,0SgDfSfWqkZMW96aT2oQZ1,Jazzmasters: The Greatest Hits,2007-04-17,241333,False,7,21,2024-11-06,0.649,0.667,9,-10.259,1,0.104,0.0295,0.8,0.0558,0.866,88.452,4,['smooth jazz'],50,78081
