,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Sunday Best,1qYKWcEOrh2tM8PlgIm8K1,Surfaces,4ETSs924pXMzjIeD6E9b4u,Where the Light Is,2019-01-06,158947,False,7,73,2024-11-06,0.869,0.555,5,-5.984,1,0.0454,0.137,0.0,0.0746,0.738,112.003,4,['bedroom soul'],67,951582
1,At Last,4Hhv2vrOTy89HFRcjU3QOx,Etta James,0iOVhN3tnSvgDbcg25JoJb,At Last!,1960,179693,False,7,75,2024-11-06,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",71,1769650
2,Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Human (Deluxe),2017-02-10,200186,False,1,79,2024-11-06,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,4,['neo soul'],72,1942122
3,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h,Adele,4dpARuHxo51G3z768sgnrY,25,2015-11-20,285935,False,8,72,2024-11-06,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,4,"['british soul', 'pop', 'pop soul', 'uk pop']",87,59907401
4,I Want You Back,5LxvwujISqiB8vpRYv887S,The Jackson 5,2iE18Oxc8YSumAU232n4rW,Diana Ross Presents The Jackson 5,1969-12-18,176333,False,3,75,2024-11-06,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,4,"['motown', 'soul']",67,1647231
5,Easier Said Than Done,4zIeRcsaho6lZuaXEYR1y3,Thee Sacred Souls,0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,2022-08-26,174706,False,3,74,2024-11-06,0.547,0.399,10,-9.808,1,0.0246,0.668,2.81e-06,0.132,0.563,84.127,4,"['latinx alternative', 'souldies']",70,626097
6,Johnny B. Goode,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,293zczrfYafIItmnmM3coR,Berry Is On Top,1959-07-01,161560,False,6,76,2024-11-06,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,4,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",69,2062599
7,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1998-08-25,320266,False,5,74,2024-11-06,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,4,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",75,3109819
8,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1998-08-25,326533,False,3,74,2024-11-06,0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02,4,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",75,3109819
9,Like a Tattoo,4PEGwWH4tL6H7dGl4uVSPg,Sade,47zz7sob9NUcODy0BTDvKx,Love Deluxe,1992-10-26,218000,False,4,74,2024-11-06,0.557,0.16,5,-16.302,0,0.0315,0.922,0.000756,0.0996,0.133,136.01,4,"['british soul', 'sophisti-pop']",77,4265422
10,When We Were Young,7GgWAITsYJaRM3r50rfh5w,Adele,4dpARuHxo51G3z768sgnrY,25,2015-11-20,290900,False,4,71,2024-11-06,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,4,"['british soul', 'pop', 'pop soul', 'uk pop']",87,59907401
11,Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,Fugees,2WKdxPFRD7IqZvlIAvhMgY,The Score (Expanded Edition),1996-02-13,298666,True,8,76,2024-11-06,0.765,0.289,4,-17.125,0,0.147,0.0268,1.77e-06,0.562,0.501,92.413,4,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",68,1486256
12,Back To Black,3FAclTFfvUuQYnEsptbK8w,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black (Deluxe Edition),2006,241293,True,5,81,2024-11-06,0.434,0.422,7,-13.964,0,0.0375,0.134,2.05e-05,0.0861,0.377,123.201,4,"['british soul', 'neo soul']",80,9196419
13,Make You Feel My Love,5FgPwJ7Nh2FVmIXviKl2VF,Adele,4dpARuHxo51G3z768sgnrY,19,2008-01-28,212040,False,9,70,2024-11-06,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3,"['british soul', 'pop', 'pop soul', 'uk pop']",87,59907401
14,Seigfried,1BViPjTT585XAhkUUrkts0,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,2016-08-20,334570,False,15,71,2024-11-06,0.377,0.253,4,-11.155,0,0.0387,0.975,0.000259,0.101,0.367,125.403,3,"['lgbtq+ hip hop', 'neo soul']",89,16124482
15,Le Départ,0FTpFi1BlqoBVELlh7jK50,Adi Oasis,5RRfTrwXUGYiBB0DMV4hyh,Lotus Glow,2023-03-03,59836,False,1,74,2024-11-06,0.678,0.339,10,-11.187,0,0.0934,0.823,0.921,0.167,0.478,74.009,3,"['indie r&b', 'indie soul']",62,129144
16,Texas Sun,24ntSW3QVJzR79lHAAOTaY,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Texas Sun,2020-02-07,252811,False,1,73,2024-11-06,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563,4,"['indie soul', 'neo-psychedelic', 'world']",73,1943437
