,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,What's This?,3fytQQcjEOWXlvI9BDXVcK,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,Nightmare Before Christmas Special Edition,2006-01-01,185573,False,6,65,2024-11-06,0.511,0.473,5,-10.907,1,0.0785,0.818,1.44e-05,0.126,0.503,81.628,3,"['orchestral soundtrack', 'soundtrack']",71,449523
1,Cornfield Chase,6pWgRkpqVfxnj3WuIcJ7WP,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,False,2,74,2024-11-06,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,4,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",79,4199563
2,"Main Title Theme (from ""Beetlejuice Beetlejuice"")",1OAHDtRQCebV0Bq4ixOyes,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,Beetlejuice Beetlejuice (Original Motion Picture Soundtrack),2024-09-06,200653,False,10,67,2024-11-06,0.4,0.683,5,-10.625,1,0.0604,0.526,0.433,0.123,0.156,146.169,4,"['orchestral soundtrack', 'soundtrack']",71,449523
3,Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,John Williams,3dRfiJ2650SZu6GbydcHNb,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],1990,85266,False,12,66,2024-11-06,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,4,"['orchestral soundtrack', 'soundtrack']",73,1458250
4,Can You Hear The Music,4VnDmjYCZkyeqeb0NIKqdA,Ludwig Göransson,24eDfi2MSYo3A87hCcgpIL,Oppenheimer (Original Motion Picture Soundtrack),2023-07-21,110160,False,2,69,2024-11-06,0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4,"['nordic soundtrack', 'orchestral soundtrack', 'soundtrack']",67,353316
5,Fallen Down,1jDMi92a9zNQuPD3uPMkla,Toby Fox,57DlMWmbVIf2ssJ8QBpBau,UNDERTALE Soundtrack,2015-09-15,57818,False,4,66,2024-11-06,0.624,0.66,2,-12.779,1,0.0569,0.797,0.786,0.114,0.871,110.021,3,"['indie game soundtrack', 'otacore', 'pixel']",72,1574482
6,What's This?,2xqar3ld7feKeOp1aGbmXw,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,The Nightmare Before Christmas (Original Motion Picture Soundtrack),1993-10-12,185573,False,6,60,2024-11-06,0.511,0.473,5,-10.907,1,0.0785,0.818,1.44e-05,0.126,0.503,81.628,3,"['orchestral soundtrack', 'soundtrack']",71,449523
7,Bundle of Joy,3eTgg18rKBD30Hef1gv0wz,Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr,Inside Out (Original Motion Picture Soundtrack),2015-01-01,168760,False,1,64,2024-11-06,0.312,0.0766,9,-20.319,0,0.0408,0.967,0.488,0.0606,0.0493,136.866,3,"['orchestral soundtrack', 'soundtrack']",67,385517
8,Blue Velvet,4LAa9a5VMkk3mN8BHhB93c,Alberto Baldan Bembo,13MlmKnz81PZqZgMfCdVRR,L'amica di mia madre (Colonna sonora originale del film),1975-09-05,78576,False,2,65,2024-11-06,0.357,0.433,1,-12.126,1,0.0321,0.91,0.975,0.188,0.157,88.661,4,"['italian library music', 'vintage italian soundtrack']",57,19721
9,Agape,2IvnDjlgH8yy70Nz99UdcJ,Nicholas Britell,18oYqNtcLUHrqO7LfX7qni,If Beale Street Could Talk (Original Motion Picture Score),2018-11-09,175752,False,3,65,2024-11-06,0.153,0.162,10,-19.61,1,0.0429,0.884,0.943,0.111,0.0584,68.734,3,"['orchestral soundtrack', 'soundtrack']",63,145083
