,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Cherub Rock - 2011 Remaster,3ow0TQVttXQF8rLckmXgRx,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (Deluxe Edition),1993,298253,False,1,62,2024-11-06,0.382,0.867,9,-7.426,1,0.0399,5.91e-06,0.581,0.196,0.453,87.309,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
1,Rocket - 2011 Remaster,59d0TRQ1IlsRQfBEtGmj5N,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (Deluxe Edition),1993,246413,False,5,48,2024-11-06,0.195,0.665,0,-9.097,1,0.0345,2.8e-06,0.928,0.0723,0.358,89.005,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
2,Rocket - 2011 Remaster,2UpSdro069Kj9UGN5if46l,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),1993,246413,False,5,37,2024-11-06,0.195,0.665,0,-9.097,1,0.0345,2.8e-06,0.928,0.0723,0.358,89.005,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
3,Cherub Rock - 2011 Remaster,0fIC59ZyS8ThtUF0Um6zuD,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),1993,298253,False,1,48,2024-11-06,0.382,0.867,9,-7.426,1,0.0399,5.91e-06,0.581,0.196,0.453,87.309,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
4,Cherub Rock,4N4LLHDJgfkQxrYP8Cn0I7,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,(Rotten Apples) The Smashing Pumpkins Greatest Hits,2001-01-01,299293,False,4,42,2024-11-06,0.379,0.882,9,-6.338,1,0.0439,4e-06,0.724,0.17,0.463,86.782,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
5,Rocket - Rehearsal Demo,4Pu8aNclzKAPpZ4AcRbM4I,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (Deluxe Edition),1993,296200,False,16,25,2024-11-06,0.244,0.665,0,-9.356,1,0.0372,1.45e-05,0.777,0.125,0.319,77.14,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
6,Master Rocket Power Blast,5PfrwOahhlf48wGqhcu3SX,Black Rainbows,6VNmsa4FPNunveA9ktg0Nb,Cosmic Ritual Supertrip,2020-05-22,201610,False,7,38,2024-11-06,0.4,0.866,2,-4.95,1,0.0559,3.64e-06,0.758,0.138,0.261,139.069,4,"['italian stoner rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",39,37798
7,Rocky Mountain High,05PamdVozUhcyisbwdHuFC,Dead Meadow,0AI2um3PpFgOj7Yzmk2Xu0,Dead Meadow,2001,274346,False,8,19,2024-11-06,0.202,0.723,9,-7.082,1,0.032,0.182,0.918,0.0828,0.287,142.462,4,"['modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock']",34,88482
8,Nodding Off,7jd5bSsJ3pdPVDU7PdFVJL,Narrow Head,4g6ODwOQYRZLsP89kEoBIu,12th House Rock,2020-08-28,345408,False,7,51,2024-11-06,0.252,0.814,3,-4.793,1,0.0527,0.00074,0.57,0.15,0.155,120.099,4,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51,130964
9,Rock House - Remastered,09Z4xxvY9Dap8HJrQ9wEb4,Ernie Freeman,2I6naHsY7u3CuPbdrQT2F4,Ultra-Lounge: Organs In Orbit,1996-01-01,232200,False,1,18,2024-11-06,0.745,0.378,7,-14.702,1,0.0475,0.464,0.782,0.187,0.725,113.602,4,['space age pop'],14,815
10,Rock 'N Roll Hoochie Koo,1Ty9DwQygXq8Bh9H3Isr01,Les Paul,2hkZGvBotqZ7uBBUnBwmLC,Les Paul And Friends,2005-01-01,305093,False,3,18,2024-11-06,0.47,0.824,7,-7.997,1,0.139,0.245,1e-05,0.303,0.462,89.707,4,['space age pop'],41,43539
11,Uluru Rock,6NitnfUkmFWyCvvi9zUZmu,Earthless,0nsphA9KDqbJ64duYRoEBi,From the Ages,2018-11-02,848346,False,2,32,2024-11-06,0.21,0.948,11,-5.542,0,0.107,0.000855,0.0299,0.108,0.314,117.646,4,"['instrumental rock', 'instrumental stoner rock', 'psychedelic doom', 'psychedelic space rock', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']",32,93042
12,Cherub Rock,4Rpvccg87AnxcCMXBfb6Rf,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,90s Rock,2017-12-01,299626,False,4,20,2024-11-06,0.371,0.87,4,-7.994,0,0.0439,5.86e-06,0.645,0.132,0.427,87.459,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",75,5381447
13,Light Reflections in Rock Pools,0fOver0C3W2Vi2odPJ05uL,Applefish,2tXSmVWVgzUAot6441wbTS,Light Reflections in Rock Pools,2024-10-04,202104,False,1,31,2024-11-06,0.165,0.267,1,-20.28,1,0.0399,0.902,0.985,0.164,0.0334,110.272,3,"['organic ambient', 'space ambient']",45,6012
14,Rock House - Remastered,6O1epWiktWbZoAfORHuXuk,Ernie Freeman,2I6naHsY7u3CuPbdrQT2F4,Ultra-Lounge: Fuzzy Retail Sampler,1996-01-01,231733,False,21,8,2024-11-06,0.742,0.401,7,-13.53,1,0.0436,0.505,0.856,0.197,0.768,113.573,4,['space age pop'],14,815
15,Light Reflections in Rock Pools,1R1DMfQk1L90tx57GEB39L,Applefish,2tXSmVWVgzUAot6441wbTS,"Echoes In The Valley, Vol.10",2024-10-04,202104,False,1,32,2024-11-06,0.165,0.267,1,-20.28,1,0.0399,0.902,0.985,0.164,0.0334,110.272,3,"['organic ambient', 'space ambient']",45,6012
16,Night Tryst,6t7JhxmZXS0YrYgvQyRWZ1,Narrow Head,4g6ODwOQYRZLsP89kEoBIu,12th House Rock,2020-08-28,203600,False,8,37,2024-11-06,0.3,0.884,6,-3.533,0,0.0852,7.05e-06,0.503,0.0617,0.52,118.911,4,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51,130964
17,Rockin' In the Orbit,4YLIJy0TSxiIj8LqRxpqRv,Jimmie Haskell,2nPnNer5hHMhQ2AjE4lfFq,Outer Space Rock & Roll Invasion,2012-10-23,109460,False,3,7,2024-11-06,0.573,0.783,10,-10.515,0,0.0701,0.65,0.387,0.338,0.758,81.369,4,['space age pop'],6,311
18,Rock Star,0uzhXVVhYD8jn2xjUAxYyx,Hawklords,0N8rhjytnqVsz7IWQ9pJ3Q,Relativity,2024-10-25,239528,False,5,14,2024-11-06,0.542,0.968,2,-6.365,1,0.0404,0.00016,0.214,0.15,0.601,141.952,4,['deep space rock'],19,5701
19,Rocket Superstar,6lwVOqotDqld1Z2Smr29rz,Novadriver,4hrqKUsX9wAcZ6Yipr5f02,Void,2001-03-20,210226,False,2,8,2024-11-06,0.342,0.986,6,-2.498,0,0.0796,5.6e-05,0.0849,0.0469,0.471,140.877,4,"['psychedelic doom', 'retro metal', 'space rock', 'stoner rock']",10,5720
20,Stuttering Stanley,2bDcEAuUcRdqn7dkERCmqj,Narrow Head,4g6ODwOQYRZLsP89kEoBIu,12th House Rock,2020-08-28,190973,False,3,28,2024-11-06,0.204,0.93,11,-3.104,1,0.0564,0.000129,0.000296,0.202,0.35,176.294,4,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51,130964
21,Ponderosa Sun Club,4E7rliVKRRxJWktIdZ7caE,Narrow Head,4g6ODwOQYRZLsP89kEoBIu,12th House Rock,2020-08-28,236869,False,2,28,2024-11-06,0.246,0.98,4,-4.066,1,0.0931,0.000182,0.0174,0.358,0.25,159.874,4,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51,130964
22,Hard to Swallow,6XSR3rZzQRQ7oaRYqbe408,Narrow Head,4g6ODwOQYRZLsP89kEoBIu,12th House Rock,2020-08-28,166027,False,5,27,2024-11-06,0.186,0.993,6,-3.32,0,0.0944,1.9e-06,0.255,0.0787,0.275,160.739,4,"['american shoegaze', 'dreamo', 'grungegaze', 'spacegrunge', 'texasgaze']",51,130964
23,Country Rock Polka,1CLHSw5DhUJJ1rPz9Rd4ZS,Jean-Jacques Perrey,09x9KmiHgFJgWySzkMRNGx,Moog Indigo,1970,151000,False,8,15,2024-11-06,0.65,0.792,7,-9.574,1,0.0366,0.156,0.489,0.0718,0.967,125.156,4,"['moog', 'space age pop', 'synthesizer', 'vintage french electronic']",33,30361
24,Rocket Attack,7HwkUGLOR1Kgr3DFjuFIHK,Galactic Warriors,0oU9yYqnRA9pDW7PlnrvtK,Return to Atlantis,2011-12-01,375986,False,8,8,2024-11-06,0.625,0.934,7,-9.641,0,0.0376,0.000325,0.828,0.0875,0.707,124.002,4,"['spacesynth', 'spacewave']",8,1329
