,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Rock N Roll Outlaw,4t9K7T9zZd4GcKMv6H0TqL,Clutch,161AC1AVRkIGIMxyj5djFQ,Clutch,1995-04-18,179173,False,3,35,2024-11-06,0.405,0.905,9,-7.33,1,0.103,0.154,0.0301,0.159,0.615,135.356,4,"['funk metal', 'modern blues rock', 'southern metal', 'stoner metal', 'stoner rock']",55,570122
1,Rockin' Is Ma Business,3L1pLzSO1F0b6JIicYL3q9,Alabama Thunderpussy,40YOJsWJbUaBS4Ljgul1BL,River City Revival,1999,237200,False,7,31,2024-11-06,0.315,0.835,0,-6.936,1,0.0414,0.000143,0.0612,0.231,0.676,137.761,4,"['sludge metal', 'southern metal', 'stoner metal', 'stoner rock', 'virginia metal']",26,59589
2,Rockit,4cgEM1nUjVWfCPzc8uJb1t,Torche,4PxqJghOAEvatt0scJvili,Torche,2005-03-08,66986,False,7,26,2024-11-06,0.164,0.707,2,-6.475,1,0.0517,3.05e-06,0.458,0.151,0.709,130.393,4,"['drone metal', 'miami metal', 'post-doom metal', 'post-metal', 'sludge metal', 'stoner metal', 'stoner rock']",32,64148
3,Rock 'N' Roll Doctor - 2014 Remaster,1X3OsCYIN7uaBnorGRWMRB,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Technical Ecstasy (2013 Remaster),1976-09-25,206880,False,6,21,2024-11-06,0.431,0.93,9,-8.045,1,0.0648,0.33,0.00142,0.337,0.453,128.828,4,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74,8261217
4,Master Rocket Power Blast,5PfrwOahhlf48wGqhcu3SX,Black Rainbows,6VNmsa4FPNunveA9ktg0Nb,Cosmic Ritual Supertrip,2020-05-22,201610,False,7,38,2024-11-06,0.4,0.866,2,-4.95,1,0.0559,3.64e-06,0.758,0.138,0.261,139.069,4,"['italian stoner rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",39,37798
5,Earth Rocker,26vGXL80873wfoGhBGpFSn,Clutch,161AC1AVRkIGIMxyj5djFQ,Earth Rocker,2013-03-19,211093,False,1,31,2024-11-06,0.497,0.984,9,-4.976,1,0.131,0.00572,1.02e-05,0.0727,0.363,160.046,4,"['funk metal', 'modern blues rock', 'southern metal', 'stoner metal', 'stoner rock']",55,570122
6,Rock 'n' Roll Doctor - 2021 Remaster,0kCVQYMo8fvUC7SXpBX5Gf,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Technical Ecstasy (2021 Remaster),2021-10-01,204946,False,6,16,2024-11-06,0.424,0.968,9,-5.112,1,0.0839,0.0965,0.00045,0.337,0.474,128.856,4,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74,8261217
7,Rock 'N' Roll Doctor,38o2PiqiwC5T9KJ23nEZkj,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,The Ultimate Collection,2017-02-03,206893,False,15,16,2024-11-06,0.433,0.943,9,-7.166,1,0.0585,0.342,0.000399,0.346,0.432,128.778,4,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74,8261217
8,Rocky Mountain High,05PamdVozUhcyisbwdHuFC,Dead Meadow,0AI2um3PpFgOj7Yzmk2Xu0,Dead Meadow,2001,274346,False,8,19,2024-11-06,0.202,0.723,9,-7.082,1,0.032,0.182,0.918,0.0828,0.287,142.462,4,"['modern blues rock', 'neo-psychedelic', 'space rock', 'stoner rock']",34,88482
9,Pure Rock Fury,1zTeAVnh8z7socaDE3IR9R,Clutch,161AC1AVRkIGIMxyj5djFQ,Pure Rock Fury (US Version),2001-03-13,201626,False,2,30,2024-11-06,0.197,0.969,0,-6.008,1,0.168,0.00849,1.69e-06,0.155,0.269,163.873,4,"['funk metal', 'modern blues rock', 'southern metal', 'stoner metal', 'stoner rock']",55,570122
10,Rocket Reducer 62 (Rama Lama Fa Fa Fa),6OB1uODV0wjD3zyPSqI0Ly,Melvins,6aVjo0xHSiuW5hkasoYSR3,At the Stake: Complete Atlantic Recordings 1993-1996,2024-09-27,209906,False,14,19,2024-11-06,0.183,0.918,7,-7.128,1,0.076,7.61e-05,0.7,0.26,0.256,163.286,4,"['alternative metal', 'alternative rock', 'grunge', 'post-hardcore', 'punk', 'sludge metal', 'stoner metal']",48,409330
11,Rock Formations,0EAwKFwPX0JMI5QxuKxteG,Yawning Man,2d06W6CY8NotPTPdIAgVoe,Rock Formations,2005-02-02,321640,False,1,20,2024-11-06,0.496,0.656,11,-7.349,0,0.0384,0.00138,0.938,0.0554,0.504,115.504,4,"['instrumental rock', 'instrumental stoner rock', 'palm desert scene', 'stoner metal', 'stoner rock']",33,37420
12,Uluru Rock,6NitnfUkmFWyCvvi9zUZmu,Earthless,0nsphA9KDqbJ64duYRoEBi,From the Ages,2018-11-02,848346,False,2,32,2024-11-06,0.21,0.948,11,-5.542,0,0.107,0.000855,0.0299,0.108,0.314,117.646,4,"['instrumental rock', 'instrumental stoner rock', 'psychedelic doom', 'psychedelic space rock', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']",32,93042
13,Dead Rock Commandos,4qBh3lrE2YiD3qlc3quiJZ,Nightstalker,4lypnrJxM8l7ZLtLVucEvk,Dead Rock Commandos,2012-08-28,196853,False,3,34,2024-11-06,0.431,0.871,10,-6.378,0,0.0456,0.000599,0.421,0.141,0.266,93.011,4,"['greek metal', 'greek psychedelic rock', 'greek rock', 'stoner metal']",33,41615
14,Rock 'N' Roll Doctor - 2014 Remaster,2qRK2AlUPPT3TtFS2HnWtv,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Greatest Hits 1970 - 1978 (2014 Remaster),2006-03-14,206880,False,14,10,2024-11-06,0.431,0.93,9,-8.045,1,0.0648,0.33,0.00142,0.337,0.453,128.798,4,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74,8261217
15,Rocket Freak,6Wk3OaTqddRA381a6z9OIh,Monster Magnet,4hvwEwrCmGj22uURGVET7Q,Mindfucker,2018-03-23,209922,False,1,18,2024-11-06,0.332,0.986,10,-4.726,0,0.0929,1.91e-05,0.0016,0.56,0.391,167.12,4,"['stoner metal', 'stoner rock']",47,240772
16,Electric Ryder,71951nUoovLcuvwNnogJ0c,Greenleaf,2Mjr7nb7vY7AQwxGskDlM7,Revolution Rock,2001,186000,False,7,43,2024-11-06,0.183,0.802,10,-8.335,0,0.047,2e-05,0.64,0.305,0.839,193.538,4,"['modern blues rock', 'psychedelic doom', 'stoner metal', 'stoner rock', 'swedish stoner rock']",40,62582
