,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Maula Mere Maula,5KNuHsIeFtD0oukst77hBi,Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,Anwar (Original Motion Picture Soundtrack),2006-12-01,364329,False,4,60,2024-11-06,0.548,0.737,0,-7.865,1,0.0386,0.458,0.00806,0.091,0.412,119.961,4,"['filmi', 'modern bollywood', 'sufi']",69,4587255
1,Jeena Jeena,2GXXZFUxYg2LvG8SR0byOE,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,Badlapur (Original Motion Picture Soundtrack),2014-12-09,228969,False,2,75,2024-11-06,0.682,0.344,5,-8.567,1,0.0281,0.789,0.0,0.121,0.548,104.984,4,"['filmi', 'gujarati pop', 'modern bollywood']",83,3600649
2,Tera Hone Laga Hoon,48Ix6ReYdJf2H4mKb3TIpj,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Best of Romance: Atif Aslam & Pritam,2023-04-20,299827,False,1,71,2024-11-06,0.686,0.771,8,-5.33,1,0.0303,0.545,0.0,0.127,0.551,119.981,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
3,Jeene Laga Hoon,3t3wsY5IdLVzB9WidegJSU,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,236933,False,2,70,2024-11-06,0.533,0.732,7,-7.901,0,0.0424,0.166,0.000189,0.138,0.554,90.315,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
4,O Saathi,6fScgF2Y63ScU73nYju0ny,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,"O Saathi (From ""Baaghi 2"")",2018-03-09,251818,False,1,73,2024-11-06,0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
5,Main Rang Sharbaton Ka,2IEhtVeM9TVql8fZdKdlo9,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Best of Romance: Atif Aslam & Pritam,2023-04-20,263152,False,4,69,2024-11-06,0.631,0.631,6,-6.934,1,0.0307,0.693,0.0,0.133,0.697,89.975,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
6,Tu Jaane Na,5vGiuYFSGekGLgbxhV1rD5,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Best of Romance: Atif Aslam & Pritam,2023-04-20,341933,False,2,68,2024-11-06,0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
7,Tere Sang Yaara,72CkpVdvmc8t28o8I9N32J,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Rustom (Original Motion Picture Soundtrack),2016-07-15,286380,False,1,70,2024-11-06,0.42,0.551,8,-7.348,1,0.0374,0.651,0.0,0.124,0.554,74.883,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
8,Dil Diyan Gallan,0FBQ4NrrHUbR9kus7rzrOj,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,YRF Top 10 - Falling in Love,2021-02-13,260536,False,1,71,2024-11-06,0.717,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.021,4,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
9,O Meri Laila,5sUSbJo0brScvv48ZZ1HrQ,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,281856,False,2,74,2024-11-06,0.575,0.81,8,-4.8,1,0.0525,0.158,0.0,0.25,0.751,160.098,3,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",80,28553489
