,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,Another Level,1996-09-09,304600,False,3,76,2024-11-06,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,4,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",65,854614
1,I'm Gonna Miss You,2dThEJP9S344qzNhePcSzj,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,All Or Nothing,1988-11-14,238866,False,5,78,2024-11-06,0.708,0.27,9,-18.52,1,0.0659,0.133,0.00662,0.0982,0.752,75.644,4,"['freestyle', 'new jack swing', 'new wave pop']",71,459698
2,Blame It on the Rain,0UUpyDCYzkziXJ1TM4awHM,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,4 Hits: Milli Vanilli,2011-06-03,248533,False,3,74,2024-11-06,0.758,0.827,4,-6.151,0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,4,"['freestyle', 'new jack swing', 'new wave pop']",71,459698
3,Poison,6m59VvDUi0UQsB2eZ9wVbH,Bell Biv DeVoe,2zFZiWQJFFshzojycnXoTL,Poison,1990-01-01,261853,False,6,69,2024-11-06,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,4,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",58,1092845
4,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,What A Wonderful World,1968-01-01,139226,False,1,76,2024-11-06,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,4,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",72,3010251
5,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,L-O-V-E,1965-01-11,155306,False,1,74,2024-11-06,0.425,0.373,4,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231,4,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']",72,2327588
6,This Is How We Do It,6uQKuonTU8VKBz5SHZuQXD,Montell Jordan,0iVrCROxeyon7MZUW3MfzT,This Is How We Do It,1995-01-01,238800,False,1,64,2024-11-06,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.642,4,"['contemporary r&b', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",59,896997
7,Candy Rain,4j1Bk0BEIGCF9hR7cSwl9d,Soul For Real,296LotOmbj7eOX7r9l46fK,Candy Rain,1995,276066,False,1,66,2024-11-06,0.589,0.699,11,-7.529,0,0.0788,0.00389,4.76e-05,0.0577,0.63,188.253,4,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b']",56,722850
8,White Christmas,4rp2Hr51C99Nx5AC9GfSeI,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,Bing's Gold Records - The Original Decca Recordings,1997-11-04,183000,False,3,67,2024-11-06,0.311,0.197,9,-14.72,1,0.035,0.938,0.00105,0.191,0.208,87.296,4,"['adult standards', 'easy listening', 'lounge', 'swing']",66,533428
9,Can We Talk,3eRE1KwnUma75nu1HhoNY4,Tevin Campbell,5VfqJBmXcf6ZqXoGij5qTE,I'm Ready,1993,284080,False,1,66,2024-11-06,0.66,0.646,2,-9.111,0,0.0426,0.0312,5.06e-06,0.033,0.621,172.376,4,"['contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",60,1126978
10,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Christmas Song (Expanded Edition),1962,192160,False,1,66,2024-11-06,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']",72,2327588
11,Weak,71EHOyEOhNx1SzTebRRyng,SWV,2NmK5FyrQ18HOPXq1UBzqa,It's About Time,1992-10-27,291906,False,4,66,2024-11-06,0.693,0.533,2,-10.954,0,0.0402,0.107,0.0,0.0695,0.568,127.661,4,"['contemporary r&b', 'girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",63,2020349
12,Deck The Hall,0rHToGels2lt8Y0mCYoF90,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Christmas Song (Expanded Edition),1962,68760,False,2,66,2024-11-06,0.684,0.437,9,-10.522,1,0.0491,0.742,1.63e-05,0.224,0.964,107.607,4,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']",72,2327588
13,Twisted,69QIVIjPMnI1ABLBqh9P1b,Keith Sweat,2r09Inibex3C4ZNTUVSG3m,Keith Sweat,1996,260666,False,1,65,2024-11-06,0.615,0.514,11,-9.759,1,0.0466,0.393,0.0,0.248,0.822,175.849,4,"['contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",60,2109276
14,Unforgettable,648TTtYB0bH0P8Hfy0FmkL,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,Unforgettable,1954-01-01,191973,False,1,68,2024-11-06,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']",72,2327588
15,Use Your Heart - Interlude,3e2Bo9TD1mtlqysEJa7Mep,SWV,2NmK5FyrQ18HOPXq1UBzqa,New Beginning,1996-04-23,94440,False,10,65,2024-11-06,0.633,0.314,11,-12.829,1,0.0319,0.0592,0.00467,0.0606,0.228,111.722,4,"['contemporary r&b', 'girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",63,2020349
