,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Metal Is for Everyone,5qKymwS7ymNUCRimGhiQkm,Freedom Call,55RDuy7cQW2Dqrcz3Jjl6F,Master of Light,2016-11-11,292146,False,1,42,2024-11-06,0.35,0.967,11,-3.388,1,0.1,0.000153,0.117,0.258,0.461,153.656,4,"['german metal', 'german power metal', 'power metal', 'symphonic metal']",41,129827
1,We Bring You the Stars,0xZ75ORYh9uWtBkCDbV8YU,Metalite,18RXUrxy1BYOOvrW0XuFBg,We Bring You the Stars,2020-10-02,180373,False,1,45,2024-11-06,0.437,0.926,9,-6.056,1,0.0751,0.000586,7.69e-06,0.099,0.751,169.937,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
2,Metal Gods,6AG6yS9iQl0VAzmJA8o75z,Dream Evil,1bkf8u8ot6vEpWTJFBzKZB,Metal Gods,2024-07-26,210877,False,1,28,2024-11-06,0.516,0.91,8,-5.383,1,0.0491,9.26e-05,0.000217,0.334,0.395,95.021,4,"['melodic metal', 'power metal', 'speed metal', 'swedish heavy metal', 'swedish power metal', 'symphonic metal']",43,151376
3,Metal Monster,1Ryzhd0zJx3pmFtOYUcbvv,Bloodbound,6nf7iwR6AoROxfUKZWd1r6,Nosferatu,2006-01-31,264053,False,4,28,2024-11-06,0.156,0.957,4,-4.283,0,0.0681,3.5e-05,0.000127,0.0677,0.25,94.964,4,"['melodic metal', 'power metal', 'swedish heavy metal', 'swedish power metal', 'symphonic metal']",48,114799
4,Battle Metal,2JRvamzTwF8WtJ71MPhIIc,Turisas,0ykT1si9XRFPmEvWOnf4YI,Battle Metal (Deluxe Edition),2004,263266,False,3,35,2024-11-06,0.218,0.881,7,-5.049,1,0.0577,0.000101,0.423,0.375,0.382,105.116,3,"['folk metal', 'nordic folk metal', 'power metal', 'slavic folk metal', 'symphonic metal', 'viking metal']",45,202782
5,The Book of Heavy Metal (March of the Metallians),07Vk1JPd5MgBJxdrMpnLNh,Dream Evil,1bkf8u8ot6vEpWTJFBzKZB,The Book of Heavy Metal,2004-07-13,325800,False,1,44,2024-11-06,0.386,0.944,0,-4.334,1,0.0941,6.79e-05,0.0153,0.338,0.374,154.175,4,"['melodic metal', 'power metal', 'speed metal', 'swedish heavy metal', 'swedish power metal', 'symphonic metal']",43,151376
6,The Metal Age,2BIQw3tRK3H7f1V3a2JqpF,HammerFall,2o18h28enlHxj887tATc58,Glory to the Brave,1997-06-27,268666,False,2,28,2024-11-06,0.409,0.934,11,-8.128,1,0.0516,9.92e-05,0.0954,0.0938,0.58,161.969,4,"['gothenburg metal', 'metal', 'power metal', 'speed metal', 'swedish power metal', 'symphonic metal']",57,661013
7,Metal Gods,5HvXKqvNY52gHBHDSw4O2r,Dream Evil,1bkf8u8ot6vEpWTJFBzKZB,Metal Gods,2024-05-31,210877,False,1,21,2024-11-06,0.516,0.91,8,-5.383,1,0.0491,9.26e-05,0.000217,0.334,0.395,95.021,4,"['melodic metal', 'power metal', 'speed metal', 'swedish heavy metal', 'swedish power metal', 'symphonic metal']",43,151376
8,Farewell,4Qe4jyrOpoUeph5U8gwwxA,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"The Metal Opera, Pt. I",2001-01-22,392400,False,6,45,2024-11-06,0.457,0.645,11,-5.97,1,0.0267,0.00388,0.0,0.185,0.148,98.679,3,"['fantasy metal', 'german metal', 'german power metal', 'gothic symphonic metal', 'metal', 'opera metal', 'power metal', 'speed metal', 'symphonic metal']",55,461600
9,Metal Invaders - 2024 Remaster,6KsbBjAQrOLdJLCvaptssv,Helloween,4pQN0GB0fNEEOfQCaWotsY,Walls of Jericho (2024 Remaster),1985-01-01,251733,False,5,25,2024-11-06,0.231,0.964,9,-5.688,0,0.12,3.52e-05,0.15,0.172,0.0389,143.953,4,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",60,1278073
10,Metal Heart,2gWvDFPsXwX0fzwxPaTbQk,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Godless Savage Garden,1998-07-13,277200,False,5,24,2024-11-06,0.19,0.948,7,-4.921,1,0.0761,0.00314,0.0273,0.163,0.212,132.035,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
11,Metal Nation,2yWORyrGfnJ5FXdROJIiLt,Crystal Viper,2EDuB9vkyj1RHTFvBZCklE,Metal Nation (Deluxe Edition),2012-07-20,244133,False,2,21,2024-11-06,0.416,0.984,6,-5.855,0,0.125,3.73e-05,7.01e-06,0.135,0.0396,165.01,4,"['melodic metal', 'neo-trad metal', 'nwothm', 'polish metal', 'slayer', 'symphonic power metal']",27,22530
12,Far from the Sanctuary,23fuz8BNjGTANEMclfuIXp,Metalite,18RXUrxy1BYOOvrW0XuFBg,Biomechanicals,2019-10-25,257186,False,1,35,2024-11-06,0.461,0.94,11,-6.494,0,0.116,3.55e-05,0.0223,0.0992,0.337,95.001,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
13,Heroes in Time,4zgkpHxyIkweE7MtsEEaeF,Metalite,18RXUrxy1BYOOvrW0XuFBg,Heroes in Time,2017-10-27,225146,False,5,28,2024-11-06,0.438,0.988,11,-4.48,0,0.253,0.000289,0.0,0.231,0.255,150.211,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
14,Test Your Metal,0qkFmUk5GpjXoI0NXrUX7q,Unleash The Archers,6irKXFXk2sPNmHtKqmrfuU,Time Stands Still,2015-06-29,193707,False,5,28,2024-11-06,0.465,0.926,6,-5.617,0,0.156,0.000614,0.000552,0.456,0.45,199.913,4,"['gothic symphonic metal', 'melodic metal', 'power metal', 'symphonic metal', 'vancouver metal']",48,192320
15,Metal Heart,3A0LMdGW7KtHpMfLUzHRII,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK,Inspiratio Profanus,2023-12-08,278864,False,7,20,2024-11-06,0.186,0.922,7,-6.375,1,0.0669,0.00125,0.00834,0.111,0.261,132.639,4,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']",52,536140
16,Metal Invasion - 2015 - Remaster,25iioiY4ts1HYSHdRJ4uOM,Freedom Call,55RDuy7cQW2Dqrcz3Jjl6F,Eternity - 666 Weeks Beyond Eternity,2002-01-01,409013,False,7,20,2024-11-06,0.154,0.948,11,-4.346,1,0.105,6.76e-05,0.000551,0.122,0.228,167.767,4,"['german metal', 'german power metal', 'power metal', 'symphonic metal']",41,129827
17,Avantasia,6YTOLMRTnLAdPOo1kxjNoZ,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"The Metal Opera, Pt. I",2001-01-22,331533,False,9,38,2024-11-06,0.483,0.936,11,-5.022,1,0.0383,4.51e-05,0.0,0.148,0.475,131.574,4,"['fantasy metal', 'german metal', 'german power metal', 'gothic symphonic metal', 'metal', 'opera metal', 'power metal', 'speed metal', 'symphonic metal']",55,461600
18,Metal Icarus,4z1GkwJNmmLbmwH3KD0lmN,ANGRA,7IAXZaLTb6nkJr8RmVPn5y,Fireworks,1998-07-14,383600,False,4,28,2024-11-06,0.362,0.976,9,-4.005,0,0.308,0.00053,0.000107,0.15,0.119,139.847,4,"['brazilian metal', 'brazilian power metal', 'brazilian progressive metal', 'latin metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive power metal', 'speed metal', 'symphonic metal']",54,464458
19,Heavy Metal (Is the Law) - 2024 Remaster,6c1FywF0LIDP38XqhjV1Tn,Helloween,4pQN0GB0fNEEOfQCaWotsY,Walls of Jericho (2024 Remaster),1985-01-01,241160,False,7,31,2024-11-06,0.131,0.956,7,-6.918,0,0.0979,1.54e-05,0.0953,0.523,0.201,165.872,4,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",60,1278073
20,Hunting High and Low,15W0PcvB3DWsgbvWLsYU5A,Metalite,18RXUrxy1BYOOvrW0XuFBg,Hunting High and Low,2020-04-08,277040,False,1,34,2024-11-06,0.432,0.949,6,-6.262,1,0.0744,1.43e-05,0.000412,0.188,0.436,94.999,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
21,Hocus Pocus,7LXnxcpfWPUk5WJHldDutx,Helloween,4pQN0GB0fNEEOfQCaWotsY,Metal Jukebox,1999-09-08,403866,False,7,33,2024-11-06,0.373,0.774,1,-5.233,1,0.0774,0.000635,0.532,0.346,0.404,181.983,4,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",60,1278073
22,Metal Invaders,3lMIXOgCeyAnbB1mVHmP13,Helloween,4pQN0GB0fNEEOfQCaWotsY,Walls of Jericho,1985-10-01,250733,False,10,20,2024-11-06,0.237,0.925,7,-10.479,0,0.118,3.8e-05,0.34,0.141,0.0389,144.192,4,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",60,1278073
23,Black Metal War!,6wWk8iH3YBmd3gf2IrSgtJ,Graveland,1EzvfumDDDz3rkI2EE1fXo,1050 Years of Pagan Cult,2016-12-09,125080,False,9,27,2024-11-06,0.263,0.97,7,-6.0,0,0.0885,2.09e-06,0.729,0.113,0.0366,143.92,3,"['black metal', 'black thrash', 'polish black metal', 'polish folk metal', 'slavic metal', 'symphonic black metal', 'viking black metal']",27,33118
24,Afterlife,7E23KVVacUy7IXPwF60iZG,Metalite,18RXUrxy1BYOOvrW0XuFBg,Heroes in Time,2017-10-27,249600,False,1,29,2024-11-06,0.431,0.968,11,-4.969,0,0.0773,6.42e-05,0.0549,0.117,0.439,95.005,4,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']",40,52331
25,Black Metal War,4YVzrDGO4hfTYMhZWN4Vl6,Graveland,1EzvfumDDDz3rkI2EE1fXo,Thousand Swords,1995-09-14,101240,False,7,24,2024-11-06,0.163,0.988,9,-12.968,0,0.073,3.59e-05,0.0,0.0721,0.0536,141.665,4,"['black metal', 'black thrash', 'polish black metal', 'polish folk metal', 'slavic metal', 'symphonic black metal', 'viking black metal']",27,33118
26,The Seven Angels,7xztn1K8Yo72351RxFcF8L,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"The Metal Opera, Pt. 2",2002-08-26,857800,False,1,36,2024-11-06,0.24,0.804,11,-6.037,1,0.0461,0.0033,0.00014,0.115,0.146,151.723,4,"['fantasy metal', 'german metal', 'german power metal', 'gothic symphonic metal', 'metal', 'opera metal', 'power metal', 'speed metal', 'symphonic metal']",55,461600
27,Reach out for the Light,1cBsAUYsYZNaxHxNPZ87Z7,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"The Metal Opera, Pt. I",2001-01-22,392666,False,2,37,2024-11-06,0.351,0.961,1,-4.334,0,0.0863,1.44e-05,2.59e-06,0.278,0.228,152.743,4,"['fantasy metal', 'german metal', 'german power metal', 'gothic symphonic metal', 'metal', 'opera metal', 'power metal', 'speed metal', 'symphonic metal']",55,461600
28,Metalized,1YhDRoMRPaingyIGRbfS5D,Serious Black,27UjipLlCeXegs8PLpcJPV,Rise of Akhenaton,2024-09-27,209858,False,11,22,2024-11-06,0.432,0.959,0,-2.561,1,0.0594,0.00166,0.0153,0.295,0.351,92.527,4,"['german power metal', 'melodic metal', 'symphonic power metal']",38,13874
29,Metal Generation,7N2ZYdMn5IIatHq83CMlUP,Freedom Call,55RDuy7cQW2Dqrcz3Jjl6F,Silver Romance,2024-05-10,291546,False,13,18,2024-11-06,0.419,0.968,6,-5.233,1,0.102,7.83e-05,0.000133,0.239,0.169,110.267,3,"['german metal', 'german power metal', 'power metal', 'symphonic metal']",41,129827
