,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Phantom,7vvultYHYCuFk0AJWa5c9O,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Shades of Violet,2017-01-01,198000,True,2,59,2024-11-06,0.666,0.777,1,-8.775,1,0.086,0.00017,0.804,0.106,0.658,160.004,4,['synthwave'],56,114432
1,Judas Effect,5ybk0RVtJLh63xcoMyLoTQ,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Lionheart,2020-10-10,192000,True,12,55,2024-11-06,0.546,0.907,7,-6.477,1,0.044,0.00731,0.663,0.118,0.613,149.963,4,['synthwave'],56,114432
2,A Real Hero,6ei4QrpcciclGH593uHKo8,Electric Youth,45YbCFM0an4hsEXMdQ4k3b,Innerworld (Deluxe Edition),2014-09-30,267693,False,11,56,2024-11-06,0.705,0.443,10,-8.422,1,0.0349,0.744,0.556,0.163,0.376,112.001,4,"['popwave', 'synthwave']",50,110261
3,Turbo Killer,10qbHF920zH5K8C8IcE5AL,Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP,TRILOGY,2015,208972,False,16,53,2024-11-06,0.312,0.755,5,-1.673,0,0.067,6.72e-05,0.076,0.272,0.288,147.162,4,"['cyberpunk', 'darksynth', 'synthwave']",55,435016
4,Motion Sickness,4GsjpgN5cD2QpaXNVfcCrA,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Lionheart,2020-10-10,193500,True,2,53,2024-11-06,0.633,0.899,1,-6.095,1,0.0917,0.00142,0.757,0.504,0.695,160.039,4,['synthwave'],56,114432
5,Running in the Night,0E3HnGJSMplqBSYGsh2exH,FM-84,1xvEo98zythSrgN69GQevk,Atlas,2016-04-25,270000,False,2,53,2024-11-06,0.527,0.714,2,-8.929,0,0.0371,0.00664,1.16e-06,0.0672,0.375,133.015,4,"['popwave', 'synthwave']",46,150751
6,Roller Mobster,7oxnK2wg8qFv8EXyyxKDJ4,Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP,TRILOGY,2015,214351,False,7,52,2024-11-06,0.423,0.921,7,-1.67,1,0.0734,5.37e-06,0.903,0.179,0.187,131.011,4,"['cyberpunk', 'darksynth', 'synthwave']",55,435016
7,In the 42nd Street,06ANCcAnZnK0x1KGmodioE,Absolute Valentine,0ntJWEv4bwPUp16SabEbKM,Police Heartbreaker,2016-04-21,140347,False,6,50,2024-11-06,0.567,0.79,0,-6.51,1,0.0996,0.252,0.908,0.105,0.639,180.06,4,"['darksynth', 'synthwave']",46,23750
8,Future Club,20ztml2STRF7Sq1UaBB6ox,Perturbator,244uLu9lkdw39BJwlul3k8,Dangerous Days,2014-06-17,289186,False,4,51,2024-11-06,0.448,0.955,5,-2.945,0,0.0441,0.00108,0.837,0.371,0.39,99.994,4,"['cyberpunk', 'darksynth', 'synthwave']",52,342605
9,Le perv,1coJ1H1FiEZG93naXkOsNF,Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP,TRILOGY,2015,256000,False,6,50,2024-11-06,0.537,0.911,5,-3.964,1,0.0478,1.06e-05,0.853,0.662,0.388,120.036,4,"['cyberpunk', 'darksynth', 'synthwave']",55,435016
10,Droid Rage,6BzXcsB6HhmO7yQ7qBjK48,OGRE Sound,1cSXroP62yDewheYORCPoj,195,2014-11-17,111111,False,7,49,2024-11-06,0.638,0.731,11,-7.125,1,0.0481,0.0662,0.83,0.11,0.42,108.055,4,"['cyberpunk', 'synthwave']",48,38105
11,Dust,58IDjL4DptNh76JOGnopu8,M|O|O|N,0M2HHtY3OOQzIZxrHkbJLT,Particles E.P.,2012-09-01,302400,False,1,50,2024-11-06,0.416,0.659,2,-7.958,0,0.0447,0.0105,0.878,0.0725,0.242,100.011,4,['synthwave'],47,139472
12,Hair On Fire,3NcBjzRtcqrg8toGbfBJD5,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Lionheart,2020-10-10,161604,True,4,50,2024-11-06,0.485,0.948,11,-9.571,0,0.0469,0.00104,0.557,0.109,0.38,160.073,4,['synthwave'],56,114432
13,Maniac,2IxhiriDpu4iBnXZb3ytXN,Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP,Maniac,2020-05-14,278360,False,1,50,2024-11-06,0.482,0.781,3,-4.398,0,0.0532,3.08e-05,0.0,0.0706,0.481,83.043,4,"['cyberpunk', 'darksynth', 'synthwave']",55,435016
14,On the Run,6COsFwxCkIpXBYw4iiVWH4,Timecop1983,6zrgIu0skCCFS7Ke9xOj1r,Night Drive,2018-05-04,300836,False,2,48,2024-11-06,0.435,0.638,1,-11.515,1,0.0343,0.0693,0.907,0.17,0.552,89.992,4,"['cyberpunk', 'synthwave']",50,197985
15,In The Face Of Evil,6EfP7rkoR1L1OpDzKN5lXX,Magic Sword,6PzFRXjgGHQw6K4WeERMK1,Volume 1,2015-01-09,409000,False,5,47,2024-11-06,0.313,0.764,11,-4.499,0,0.0311,0.0108,0.0735,0.158,0.145,144.009,4,['synthwave'],42,130547
16,Елена,1fEcK67smBlfhGwGt3JcnO,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Ghoultears,2022-02-21,174725,True,2,48,2024-11-06,0.614,0.702,11,-10.859,0,0.0397,5.61e-05,0.914,0.113,0.49,91.008,4,['synthwave'],56,114432
17,Venger (feat. Greta Link),0MabrxpL9vrCJeOjGMnGgM,Perturbator,244uLu9lkdw39BJwlul3k8,The Uncanny Valley,2016-05-06,308197,False,5,48,2024-11-06,0.519,0.977,10,-2.958,0,0.0562,0.00444,0.488,0.131,0.18,120.023,4,"['cyberpunk', 'darksynth', 'synthwave']",52,342605
18,Deep Swim,4dphZi2G4KizVeWWbPMzHZ,Windows 96,65XcfOOaVxbZnNlz40DK7i,Enchanted Instrumentals and Whispers,2019-05-20,256188,False,1,46,2024-11-06,0.596,0.532,1,-10.593,1,0.0592,0.321,0.771,0.262,0.368,61.019,4,"['hardvapour', 'synthwave brasileiro', 'vaporwave']",46,84847
19,Coast,4Wzd5oqsk4qh3xbotnK9Rx,Hotel Pools,5bQ1u5yLlL2WZv49doSgRz,Fall,2018-12-14,142000,False,1,47,2024-11-06,0.594,0.688,1,-9.401,1,0.0407,0.585,0.883,0.111,0.559,173.929,4,"['chillsynth', 'synthwave']",53,47848
20,Ocean Drive,02gySWUFk5JT4gMguGAhdO,Miami Nights 1984,18iQQOuyGlHunPVzmoLY20,Turbulence,2012-03-08,258461,False,3,49,2024-11-06,0.59,0.645,1,-8.101,0,0.0335,2.28e-05,0.924,0.0483,0.966,130.027,4,['synthwave'],43,100635
21,Sadistic Glee,3xipekJ7WKUpOmOaquGuKX,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,Lionheart,2020-10-10,164050,True,11,47,2024-11-06,0.608,0.717,7,-12.223,1,0.0497,0.00159,0.726,0.146,0.784,157.983,4,['synthwave'],56,114432
22,Wolf Pack,2SwXCXyroijlJdWAiqLWhM,Dance With the Dead,2KtnZQwMQJN3uyI8eHZRvm,Dark Matter,2024-10-25,249600,False,3,46,2024-11-06,0.472,0.872,2,-6.062,0,0.0284,0.000654,0.00798,0.0849,0.212,99.991,4,"['darksynth', 'nightrun', 'synthwave']",53,240210
23,Negotiation's Over,19Oy2pBYfpz7OhraQQgUn8,OGRE Sound,1cSXroP62yDewheYORCPoj,195,2014-11-17,148285,False,21,47,2024-11-06,0.605,0.66,7,-7.178,1,0.0419,0.00122,0.607,0.116,0.103,112.076,4,"['cyberpunk', 'synthwave']",48,38105
