,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Piazzolla: Oblivion,56i4MBbcPhYBvn4yc76m20,Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,Essential Cello,2010-01-15,226333,False,9,41,2024-11-06,0.119,0.0401,2,-25.419,0,0.0346,0.995,0.924,0.0902,0.11,86.82,4,"['bandoneon', 'latin classical', 'nuevo tango', 'tango']",52,360614
1,Scent of a Woman: Tango (Por Una Cabeza),3mGkPsZbHEBf8ZT1ExZnww,Carlos Gardel,05Q9xndTxhXhD5trpmTtfU,Cinema Serenade,1997-05-13,231160,False,2,45,2024-11-06,0.349,0.134,7,-21.963,0,0.0505,0.821,0.0487,0.0464,0.429,118.069,4,"['latin classical', 'tango']",52,219906
2,Por Una Cabeza,4kjvZ1uizpvwjjJZIu2gnK,Carlos Gardel,05Q9xndTxhXhD5trpmTtfU,Las Canciones de Carlos Gardel,2024-08-02,325653,False,1,50,2024-11-06,0.207,0.262,7,-12.409,0,0.0535,0.939,0.0242,0.613,0.33,55.825,4,"['latin classical', 'tango']",52,219906
3,Café 1930,4GmpwtKCSTWESFjSdLTFB1,Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,¡Bailemos!,2020-04-17,458746,False,7,34,2024-11-06,0.236,0.0957,4,-19.392,0,0.0473,0.954,0.348,0.108,0.142,79.181,4,"['bandoneon', 'latin classical', 'nuevo tango', 'tango']",52,360614
4,Por Una Cabeza,4UOt0ObZ4Oqi7LSU1Gzzkq,Carlos Gardel,05Q9xndTxhXhD5trpmTtfU,Los Exitos De Sus Peliculas,1974-01-01,153120,False,6,47,2024-11-06,0.373,0.264,8,-7.393,0,0.0571,0.969,0.00869,0.296,0.435,63.924,4,"['latin classical', 'tango']",52,219906
5,Oblivion,0CShxQaSFFKXY2PxrJIhrB,Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,Piazzolla Tangos 6,2003,214106,False,7,44,2024-11-06,0.164,0.349,0,-9.369,0,0.0359,0.923,0.0121,0.239,0.0788,164.293,4,"['bandoneon', 'latin classical', 'nuevo tango', 'tango']",52,360614
6,Por una cabeza (Arr. Lenehan),0C2VBTRjLyFAOdAmgXNBIu,Carlos Gardel,05Q9xndTxhXhD5trpmTtfU,The Silver Violin,2012-01-01,233840,False,3,27,2024-11-06,0.335,0.25,7,-14.641,0,0.0449,0.921,0.327,0.275,0.343,132.086,4,"['latin classical', 'tango']",52,219906
7,Tango to Evora,4WzOEDx2ph8mgAGP2YWS9n,Conjunto Berretin,12vM6NrsES5aflXWyPKukO,Tangamente: Tangos a la parilla para bailar,2005-01-01,178026,False,12,38,2024-11-06,0.432,0.144,11,-18.287,0,0.041,0.137,0.0323,0.113,0.398,109.128,4,"['nuevo tango', 'tango']",31,2149
8,Volver,5nnhYchP6RkU7ZROzD97Yv,Carlos Gardel,05Q9xndTxhXhD5trpmTtfU,Canta El Zorzal,1981-07-01,174066,False,1,25,2024-11-06,0.333,0.254,1,-8.883,1,0.0544,0.994,0.0234,0.329,0.468,65.259,4,"['latin classical', 'tango']",52,219906
9,Libertango,0XU7bJxE8WqKVWNZRol3vw,Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,Piazzolla: Soul of the Tango (Remastered),1997,187986,False,1,33,2024-11-06,0.607,0.464,9,-11.105,0,0.0282,0.853,0.922,0.123,0.838,139.871,4,"['bandoneon', 'latin classical', 'nuevo tango', 'tango']",52,360614
10,Café 1930 (from Histoire du Tango),302ayAsw54X8CEqehpQB6O,Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,Café 1930 (from Histoire du Tango),2017,461851,False,1,27,2024-11-06,0.342,0.157,4,-12.353,0,0.0421,0.973,0.303,0.11,0.166,76.713,3,"['bandoneon', 'latin classical', 'nuevo tango', 'tango']",52,360614
11,Cambalache (with Leopoldo Federico y Su Orquesta),2cebuDRXBsi89lb1Jz3TFs,Julio Sosa,7Cg2eqV6oHNE0P54WfajIX,El Firulete,1964-03-01,184026,False,9,45,2024-11-06,0.545,0.574,0,-9.159,1,0.0751,0.804,0.0,0.45,0.845,120.522,4,"['folklore argentino', 'tango']",45,100827
12,La cumparsita,2joB3G4b527szRVC6L5VYL,Juan D'Arienzo,46beGPwcX2QEZcmuvrMqp4,Orquesta Juan D' Arienzo - La cumparsita,1988-06-12,222640,False,1,42,2024-11-06,0.604,0.346,7,-11.004,0,0.0496,0.727,0.393,0.0273,0.643,135.439,4,"['orquesta tipica', 'tango']",42,48864
