,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,The Middle,09IStsImFySgyp0pIQdqAc,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,2018-01-23,184732,False,1,76,2024-11-06,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
1,Clarity,60wwxj6Dd9NJlirf84wr2c,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Clarity,2012-01-01,271426,False,5,73,2024-11-06,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
2,Give It To Me - Full Vocal Mix,5ZduaRci3iNUiDfJbBfAaf,Matt Sassari,21dVknSLCsK37cWozWDZZS,Give It To Me (Full Vocal Mix),2021-10-22,102860,False,1,81,2024-11-06,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,4,"['french tech house', 'french techno', 'tech house']",68,85693
3,Everytime We Touch,5YJtMNWKe55yr49cyJgxva,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch (Premium Edition),2010-02-12,197124,False,1,73,2024-11-06,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
4,Stay,6uBhi9gBXWjanegOb2Phh0,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Stay,2017-02-23,210090,False,1,72,2024-11-06,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
5,Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Clarity (Deluxe),2012,217346,False,11,62,2024-11-06,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
6,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,ATB,7jZM5w05mGhw6wTB1okhD9,Your Love (9PM),2021-01-15,150052,False,1,74,2024-11-06,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,"['german dance', 'german techno', 'german trance', 'trance']",66,408496
7,Beautiful Now,2ISSQPb9LHHiV6ng2NXosL,Zedd,2qxJFvFYMEDqd7ui6kSAcq,True Colors,2015-05-15,218293,False,3,66,2024-11-06,0.628,0.832,11,-4.126,0,0.0282,0.0079,1.46e-05,0.074,0.56,128.003,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
8,4:00A.M.,0zoGVO4bQXG8U6ChKwNgeg,Taeko Onuki,5QeCklzEEYSSLWeUxuWeBy,MIGNONNE (Mastered by Bernie Grundman),1978-09-21,336960,False,7,65,2024-11-06,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376,4,"['anime', 'classic city pop', 'japanese new wave', 'techno kayo']",56,260476
9,Evacuate The Dancefloor - Radio Edit,360ZhWvMnyXKYFG9Mqsm89,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Evacuate The Dancefloor,2009,205884,False,1,63,2024-11-06,0.76,0.696,0,-5.811,1,0.0491,0.0195,0.0,0.278,0.903,127.029,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
10,I Want You To Know,1JDIArrcepzWDTAWXdGYmP,Zedd,2qxJFvFYMEDqd7ui6kSAcq,True Colors,2015-05-15,240000,False,2,63,2024-11-06,0.579,0.846,9,-2.876,0,0.0574,0.00537,6.88e-06,0.145,0.367,129.999,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
11,Be My Lover,3YB6nCSuFqNiqOvPtAPK9X,La Bouche,488v7rQzthLNK22r0UvMie,Sweet Dreams,1995-03-11,241133,False,3,71,2024-11-06,0.673,0.841,1,-10.171,0,0.0304,0.00307,1.26e-05,0.952,0.809,134.804,4,"['diva house', 'eurodance', 'europop', 'german techno']",69,319696
12,Another Night,3pEuO9J2MTEmec8kUfYYvl,Real McCoy,2vRfKzjQYJQd67X8x49MOh,Another Night,1995-03-28,236933,False,1,62,2024-11-06,0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457,0.147,0.874,125.983,4,"['diva house', 'eurodance', 'german techno', 'hip house']",56,159075
13,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),2019-09-27,210901,True,1,61,2024-11-06,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,3,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
14,Be My Lover,7FoUzKTSQp25oe32pY9z5p,La Bouche,488v7rQzthLNK22r0UvMie,Sweet Dreams,1996-01-16,240266,False,1,62,2024-11-06,0.669,0.941,1,-5.765,0,0.0313,0.00129,4.3e-06,0.886,0.841,134.809,4,"['diva house', 'eurodance', 'europop', 'german techno']",69,319696
15,You Wish,6G6M4fl2I0eqEQnzyTwR8m,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0,In A Space Outta Sound,2006-02-20,209316,False,6,64,2024-11-06,0.781,0.25,9,-9.702,0,0.0297,0.708,0.91,0.375,0.454,103.478,4,"['bleep techno', 'downtempo', 'electronica', 'trip hop']",57,485831
16,Lose My Mind,5cJZzpcqdwkUvD2f88wcgS,Jamie Jones,4admDxmnri5Zco0xYrJ0ji,Lose My Mind,2023-03-10,181935,False,1,64,2024-11-06,0.646,0.898,10,-6.27,1,0.0358,0.00119,0.0406,0.189,0.62,124.002,4,"['deep disco house', 'deep house', 'house', 'minimal techno', 'uk tech house']",58,265995
17,Lucky (feat. Remi Wolf),6DtU5J0xK0Law03cXT6ar5,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Telos,2024-08-30,127380,False,6,57,2024-11-06,0.815,0.474,2,-4.077,1,0.0459,0.265,0.0,0.0749,0.72,95.989,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
18,"Rhythm Is a Dancer - 7"" Edit",5mFQCdbvuzVATC7tP7XsPp,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,The Madman's Return,1992-01-01,225882,False,9,70,2024-11-06,0.794,0.745,9,-11.367,0,0.037,0.271,0.00041,0.143,0.706,124.249,4,"['diva house', 'eurodance', 'german techno', 'hip house']",64,248743
19,Intoxicated (Slowed),5d2ND4hQ2zyeB3UI6fhn0I,Doruksen,4QualaVaoF8vYnpJ5o8Pw6,Intoxicated (Slowed),2024-05-16,134644,False,1,64,2024-11-06,0.692,0.907,8,-5.54,0,0.0539,0.00685,0.818,0.352,0.326,123.016,4,['acid techno'],55,53208
20,Spectrum,1dFkD1JfRMzwO6hwUsE8aS,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Clarity,2012-01-01,243413,False,3,58,2024-11-06,0.609,0.801,0,-4.417,0,0.034,0.0137,0.00349,0.127,0.407,129.99,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
21,No Gravity (feat. Bava),6r4ual3l2rTXnxp6T8WM1g,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Telos,2024-08-30,211313,False,4,58,2024-11-06,0.602,0.753,9,-5.931,0,0.029,0.175,0.696,0.202,0.337,101.014,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
22,Coco Jamboo,5fRvePkRGdpn2nKacG7I6d,Mr. President,7KBkgunlONG7LPxs93pgpp,We See The Same Sun,1996-05-17,218733,False,2,72,2024-11-06,0.832,0.838,1,-5.414,0,0.0421,0.0791,0.0,0.152,0.965,100.021,4,"['eurodance', 'europop', 'german techno']",59,160096
23,Rhythm Is a Dancer,5uFYYOyT3EclOVhiFzPJSz,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,The Madman's Return,1992-01-01,332229,False,6,68,2024-11-06,0.757,0.652,9,-14.916,0,0.0333,0.214,0.257,0.0903,0.862,124.369,4,"['diva house', 'eurodance', 'german techno', 'hip house']",64,248743
24,Breathe,4ZtqsOdBbS6GoedzzRGSo9,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,The Fat of the Land,1997-06-30,336280,False,2,51,2024-11-06,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4,"['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave']",66,2573016
25,"The Power (7"" Version)",0gRhXiFgrIz8OfSW4up1k1,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,The Power,1990,227030,False,4,63,2024-11-06,0.747,0.878,0,-7.637,1,0.0655,0.0449,0.00402,0.206,0.701,108.891,4,"['diva house', 'eurodance', 'german techno', 'hip house']",64,248743
26,Automatic Yes (feat. John Mayer),6oAwQp0fXsZObpl5PLl2GN,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Telos,2024-08-30,205309,False,9,56,2024-11-06,0.687,0.828,2,-5.68,0,0.077,0.0487,0.0301,0.175,0.723,97.836,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
27,Lucky (feat. Remi Wolf),7cXOERtbj4ZOk0I6ivACvb,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Lucky (feat. Remi Wolf),2024-08-09,127380,False,1,56,2024-11-06,0.816,0.488,2,-4.049,1,0.0432,0.257,0.0,0.0747,0.674,95.991,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
28,Firestarter,1auX4gkGe7hbrOH0BXdpV4,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,The Fat of the Land,1997-06-30,279800,False,8,49,2024-11-06,0.545,0.948,11,-5.098,1,0.0779,0.00335,0.364,0.226,0.355,141.507,4,"['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave']",66,2573016
29,Get Low (with Liam Payne),2syQ0f4SAQdzvlAewPl1DJ,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Get Low (with Liam Payne),2017-07-06,204583,False,1,62,2024-11-06,0.718,0.926,1,-3.511,1,0.0494,0.027,1.76e-05,0.0513,0.54,108.018,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
30,I Want You,5UM6P3y6794GYNOzZvj2zh,Butch,5kLzaeSHrmS7okc5XNE6lv,I Want You,2023-05-05,187286,False,1,62,2024-11-06,0.732,0.88,1,-5.836,0,0.101,0.00407,0.00929,0.0635,0.863,125.019,4,"['acid techno', 'frankfurt electronic', 'german techno', 'minimal tech house', 'minimal techno']",50,53279
31,好き好き大好き - 2016 Remaster,6x1TTTokRumrQK4qqZONtG,Jun Togawa,6fI3ZQseiBwzjXLSVuJGEI,好き好き大好き,2016-12-21,214413,False,2,58,2024-11-06,0.767,0.89,0,-4.281,1,0.0738,0.463,0.0037,0.363,0.859,140.363,4,"['japanese experimental', 'japanese new wave', 'techno kayo']",46,116625
32,365,2XWjPtKdi5sucFYtVav07d,Zedd,2qxJFvFYMEDqd7ui6kSAcq,365,2019-02-14,181899,False,1,60,2024-11-06,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
33,Funny,4FYbo4yQzu3hGkj2Ix4ucW,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Funny,2020-07-16,221465,False,1,57,2024-11-06,0.664,0.66,5,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
34,Bad Boy,1p5jgCAGFDBIBs6ZbWIMvA,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch (Premium Edition),2010-02-12,191843,False,8,58,2024-11-06,0.666,0.978,11,-5.118,0,0.0925,0.0149,0.0444,0.222,0.63,139.991,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
35,Smack My Bitch Up,2iwGE4y7yF8qzKc5WZ2Z8R,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,The Fat of the Land,1997-06-30,343386,True,1,48,2024-11-06,0.604,0.995,10,-3.641,0,0.164,0.00306,0.626,0.109,0.262,136.216,4,"['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave']",66,2573016
36,Make You Say,1elhmWW7Bv0MOQj2gAsyoV,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Make You Say,2022-08-19,206000,False,1,53,2024-11-06,0.687,0.61,8,-4.713,0,0.0499,0.351,0.0,0.175,0.649,128.15,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
37,Mr. Vain - Original Radio Edit,4ih3dyFZoeTdaeJW9mPbOI,Culture Beat,0BZ3BHzfYwpd3k5TDnvAz8,Mr. Vain,1993-01-01,257466,False,3,69,2024-11-06,0.703,0.997,9,-7.666,0,0.0399,0.0726,0.0235,0.123,0.391,132.872,4,"['eurodance', 'europop', 'german techno', 'hip house']",60,195858
38,Play With Me,6PrPWf02VxGUd2jJLs9z1M,Sara Landry,7eILArMiTFTQf8SEh5fFHK,Spiritual Driveby,2024-10-04,218882,True,7,60,2024-11-06,0.626,0.844,5,-2.905,0,0.0528,4.45e-05,0.358,0.114,0.28,159.959,4,['dark techno'],60,272159
39,Out of Time (feat. Bea Miller),05nNwJQSvfjaAmJRcjWJKy,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Telos,2024-08-30,222908,False,1,52,2024-11-06,0.452,0.618,2,-6.594,0,0.0327,0.0798,0.000328,0.122,0.156,129.917,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76,5979217
40,Everytime We Touch - Hardwell & Maurice West Remix,18rHGxr6QDiPieSTo7cUGL,Cascada,0N0d3kjwdY2h7UVuTdJGfp,Everytime We Touch (Hardwell & Maurice West Remix),2018-08-06,216441,False,1,63,2024-11-06,0.554,0.848,5,-4.075,0,0.0745,0.00237,0.0,0.185,0.286,144.996,4,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",69,551786
