,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Enter Sandman (Remastered),3VqHuw0wFlIHcIPWkhIbdQ,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered),1991-08-12,331560,False,1,74,2024-11-06,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
1,Nothing Else Matters (Remastered),2CtemffYhT0DJWcT1XW047,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered),1991-08-12,388733,False,8,68,2024-11-06,0.547,0.394,4,-9.793,0,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
2,Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Master of Puppets (Remastered Deluxe Box Set),1986-03-03,515386,False,2,70,2024-11-06,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
3,Sad But True (Remastered),5UaDi8KzCGJqFfVAOBfXhi,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered),1991-08-12,324600,False,2,65,2024-11-06,0.624,0.876,7,-6.005,1,0.0342,0.000926,0.00164,0.0561,0.453,89.24,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
4,For Whom The Bell Tolls (Remastered),51YZAJhOwIC5Gg3jMbAmhZ,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning (Deluxe Remaster),1984-07-27,309973,False,3,69,2024-11-06,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
5,One (Remastered),0LAcM6I7ijW4VVW0aytl1t,Metallica,2ye2Wgw4gimLv2eAKyk1NB,...And Justice for All (Remastered Deluxe Box Set),1988-09-07,446145,False,4,68,2024-11-06,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
6,Wherever I May Roam (Remastered),745sNpjWbAxo2MA2zSYbyD,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered),1991-08-12,404333,False,5,63,2024-11-06,0.539,0.834,9,-7.459,0,0.0364,0.000646,0.000516,0.119,0.339,131.383,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
7,The Unforgiven (Remastered),7lwvxYumAEo10lzAplRGXM,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered),1991-08-12,387160,False,4,63,2024-11-06,0.531,0.583,7,-9.47,1,0.0256,0.0184,0.00624,0.255,0.207,139.503,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
8,Fuel,1tTPC0hsnXq1IGpvWY54JC,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Reload,1997-11-18,269733,True,1,65,2024-11-06,0.491,0.951,1,-3.775,1,0.0465,2.3e-05,0.00354,0.0424,0.555,106.948,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
9,Seek & Destroy (Remastered),5DrNFzZZZVfXaEZCaceKnp,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Kill 'Em All (Remastered),1983-07-25,414720,False,9,63,2024-11-06,0.439,0.963,9,-5.508,1,0.277,0.0364,0.00896,0.0784,0.435,140.805,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84,28858562
