,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,10:35,36gcliMRX1vCpgnrZE3dFZ,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,DRIVE,2023-04-21,172252,False,3,74,2024-11-06,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
1,The Motto,3j11iDncb7ZeDMw7lFucqM,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,DRIVE,2023-04-21,164818,False,2,73,2024-11-06,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
2,10:35,6BePGk3eCan4FqaW2X8Qy3,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,10:35,2022-11-03,172252,False,1,72,2024-11-06,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
3,Black Hole,1g5Jqwo02PuitYfv19B6Jn,We Came As Romans,6qO6LhD6FuXK5e2PtfAIMz,Darkbloom,2022-10-14,179186,False,3,66,2024-11-06,0.49,0.956,5,-4.249,0,0.0675,2.32e-05,0.0,0.455,0.412,110.042,4,"['christian rock', 'melodic metalcore', 'metalcore', 'pop punk', 'trancecore']",62,870843
4,The Motto,18asYwWugKjjsihZ0YvRxO,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,The Motto,2021-11-04,164818,False,1,72,2024-11-06,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
5,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,ATB,7jZM5w05mGhw6wTB1okhD9,Your Love (9PM),2021-01-15,150052,False,1,74,2024-11-06,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,"['german dance', 'german techno', 'german trance', 'trance']",66,408496
6,Alone In A Room,5Gw8owErJLfkNxWCSwPQKJ,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,2017-12-15,245861,True,1,64,2024-11-06,0.482,0.946,4,-3.23,0,0.0852,0.00251,0.0,0.0466,0.284,135.071,4,"['alternative metal', 'metalcore', 'pop punk', 'post-grunge', 'trancecore', 'uk metalcore']",66,2253562
7,The Business,6f3Slt0GbA2bPZlz0aIFXN,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,The Business,2020-09-16,164000,False,1,72,2024-11-06,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
8,Drifting,4EmH2iRucAgCOnhuJRotUi,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Drifting,2023-06-22,147692,False,1,70,2024-11-06,0.625,0.951,9,-4.866,0,0.0393,0.0718,0.585,0.164,0.376,130.001,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
9,Lay Low,3IhM5Mber8KA0NaRNpK2px,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,DRIVE,2023-04-21,153442,False,12,71,2024-11-06,0.554,0.884,1,-4.424,0,0.212,0.065,7.74e-05,0.342,0.418,121.895,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
10,Wasted,7m3povhdMDLZwuEKak0l0n,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,A Town Called Paradise (Deluxe),2014-06-13,190013,False,8,59,2024-11-06,0.638,0.816,2,-5.503,1,0.0308,0.00149,0.00115,0.195,0.386,112.014,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
11,Hot In It (feat. Charli XCX),5pNFibJLq7dvoDVIIcQBkn,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,DRIVE,2023-04-21,129817,False,6,68,2024-11-06,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
12,Mockingbird,2x4JC9TxW2LACuuxbsncfG,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Mockingbird,2024-05-03,154838,False,1,75,2024-11-06,0.656,0.857,6,-5.473,0,0.103,0.065,0.0131,0.0814,0.395,155.011,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
13,Lay Low,0zKbDrEXKpnExhGQRe9dxt,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Lay Low,2023-01-06,153442,False,1,72,2024-11-06,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,121.906,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
14,BOTH,7mobUfp1aL8A6CdugCMWft,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,BOTH,2023-08-29,188000,False,1,66,2024-11-06,0.69,0.933,5,-3.099,0,0.0832,0.0252,2.51e-05,0.493,0.523,119.987,4,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",84,7546833
15,On & On,6wLqNGHQIja6xqT0cfrzBB,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Feel Again,2023-03-30,170578,False,7,68,2024-11-06,0.681,0.933,0,-2.855,1,0.104,0.0221,0.00504,0.266,0.46,128.036,4,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",76,4427081
