,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,one of wun,4Na2HfNSr58chvfX69fy36,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,One of Wun,2024-05-10,144000,True,2,85,2024-11-06,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,4,"['atl hip hop', 'melodic rap', 'rap', 'trap']",87,8254787
1,Like That,2tudvzsrR56uom6smgOcSf,Future,1RyvyyTE3xzB2ZywiAwp0i,WE DON'T TRUST YOU,2024-03-22,267706,True,6,84,2024-11-06,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,4,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",93,19118674
2,Type Shit,28drn6tQo95MRvO0jQEo5C,Future,1RyvyyTE3xzB2ZywiAwp0i,WE DON'T TRUST YOU,2024-03-22,228266,True,4,84,2024-11-06,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,4,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",93,19118674
3,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Without Warning,2017-10-30,172800,True,3,82,2024-11-06,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,4,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",80,4521895
4,The Color Violet,3azJifCSqg9fRij2yKIbWz,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Alone At Prom,2021-12-10,226466,False,4,83,2024-11-06,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,4,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",82,7125664
5,20 Min,0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2 (Deluxe),2017-11-17,220586,True,20,82,2024-11-06,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,4,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",87,17959218
6,fukumean,4rXLjWdF2ZZpXCVTfWcshS,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,a Gift & a Curse,2023-06-16,125040,True,6,83,2024-11-06,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4,"['atl hip hop', 'melodic rap', 'rap', 'trap']",87,8254787
7,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,Future,1RyvyyTE3xzB2ZywiAwp0i,I NEVER LIKED YOU,2022-04-29,189893,True,7,81,2024-11-06,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",93,19118674
8,Love Me,2XHzzp1j4IfTNp1FTn7YFg,Lil Wayne,55Aa2cqylxrFIXC767Z865,I Am Not A Human Being II (Deluxe),2013-01-01,255053,True,11,82,2024-11-06,0.67,0.634,11,-6.471,1,0.0326,0.0124,0.0,0.0946,0.497,124.926,4,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",88,15522667
9,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2,2017-08-25,182706,True,16,81,2024-11-06,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,4,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",87,17959218
