,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,House Of The Rising Sun,4FIGor0hvkEyu8ZAnjWAe7,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,House Of The Rising Sun,2022-01-28,138796,False,1,50,2024-11-06,0.804,0.776,9,-6.892,0,0.0557,0.014,0.216,0.838,0.127,117.99,4,['tropical house'],59,90536
1,House Of Cards,6dCF9KJngOrJCmMuxFmBx1,Lucas Estrada,2tndYCXQneCV4jtoWRwVpz,House Of Cards,2023-11-03,156885,False,1,49,2024-11-06,0.749,0.739,9,-6.669,0,0.0303,0.025,4.48e-05,0.215,0.833,120.021,4,"['deep pop edm', 'swedish tropical house']",64,127660
2,House in The Woods,2Ge6aFLbGMoAUqqw5tyDBu,Creon Flips,2qq4OFTPe8qqLnzODvRnvw,House in The Woods,2022-07-22,128134,False,1,45,2024-11-06,0.699,0.543,8,-10.989,1,0.0327,0.477,0.00067,0.199,0.163,117.908,4,"['chill house', 'tropical house']",44,2507
3,House For Kings,5QcT02qFxTVG8pan86W1Ab,Sam Feldt,20gsENnposVs2I4rQ5kvrf,House For Kings,2023-06-02,200975,False,1,40,2024-11-06,0.779,0.855,4,-3.02,0,0.0278,0.166,0.0,0.0801,0.636,122.954,4,"['edm', 'pop dance', 'tropical house']",69,782693
4,House Of The Rising Sun - Afro House Remix,1vIQLo7qFfrdMipT0MzCUe,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,House Of The Rising Sun (Afro House Remix),2024-09-06,163064,False,1,34,2024-11-06,0.742,0.886,9,-7.514,0,0.0425,0.00548,0.635,0.228,0.366,120.015,4,['tropical house'],59,90536
5,House of Wonder,7d1Ad4nubRV65Tos0WTJp1,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Off Balance,2015-01-30,354285,False,4,28,2024-11-06,0.684,0.564,9,-9.739,1,0.0415,0.542,0.877,0.085,0.338,105.006,4,['swedish tropical house'],41,15833
6,Tiburon,2GcjfckZexh9wRRjg9KtQG,Proyecto Uno,6w1XCiB8efbfnusJ2jzmvu,In Da House,1997,303106,False,9,64,2024-11-06,0.879,0.718,0,-12.984,1,0.0523,0.151,2.75e-05,0.0513,0.891,130.167,4,"['latin house', 'salsa', 'tropical']",60,389257
7,Are You With Me,1hMv6P9dltDeaWa43cDGQo,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"Deep House Top 1000, Vol. 1 - Armada Music",2018-04-20,138013,False,1,46,2024-11-06,0.763,0.608,5,-8.1,0,0.035,0.262,2.5e-05,0.12,0.393,121.02,4,"['belgian edm', 'edm', 'pop dance', 'tropical house']",81,2925094
8,Sad House,77gvI6dndINfQcumO7na2V,Alex Keeper,4hxy6gamr697jKBPSmHcpB,Sad House,2023-07-20,155172,False,1,37,2024-11-06,0.671,0.564,2,-13.195,1,0.0461,0.863,0.0422,0.106,0.0372,116.014,4,"['chill house', 'tropical house']",51,7246
9,House is the religion,69JZ5U002ao9z0pUua8Whf,Brendan Mills,3TjFefusAoJFMiB3hrsRDE,House is the religion,2024-05-31,150303,False,1,22,2024-11-06,0.735,0.632,2,-8.435,1,0.102,0.139,9.68e-06,0.147,0.732,120.1,4,"['saxophone house', 'tropical house']",62,6801
