,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,SimpsonWave1995,0qqRNnwh86N1XBV94GVgQN,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,"FrankJavCee Collection, Vol. 1, Pt. II",2016-06-05,142602,False,2,65,2024-11-06,0.661,0.375,3,-10.134,0,0.0432,0.0566,0.555,0.105,0.645,169.951,3,['vaportrap'],56,69047
1,SimpsonWave1995 - Slowed + Reverbed,35DN4PTg8APLJlgXdc2Qeu,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,SimpsonWave1995 Slowed + Reverbed,2023-02-17,159808,False,1,56,2024-11-06,0.679,0.379,9,-10.719,1,0.0341,0.0701,0.259,0.103,0.467,149.994,3,['vaportrap'],56,69047
2,music i listen to walking the streets at night,51D293hrIyv2Y76kBuppDy,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,music i listen to walking the streets at night,2023-02-22,127500,False,1,47,2024-11-06,0.943,0.546,2,-9.607,0,0.335,0.232,0.967,0.117,0.374,128.017,4,['vaportrap'],56,69047
3,Teen Pregnancy,4Jgdb4akerysh6y9SJVSF0,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 0,2012-09-01,177297,False,11,40,2024-11-06,0.75,0.984,7,-4.933,0,0.078,0.295,0.373,0.163,0.767,111.002,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
4,B:/ Start Up,6ua0jWIORxa0eGoF6gGugx,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 0,2012-09-01,69142,False,1,35,2024-11-06,0.576,0.737,4,-10.593,1,0.0641,0.0579,0.921,0.149,0.0342,139.982,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
5,SimpsonWave1995 - Sped Up,5zkThcKdkq9InlOnn2PzVP,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,FrankJavCee Sped Up,2023-06-19,119856,False,8,41,2024-11-06,0.725,0.405,2,-10.39,1,0.0345,0.309,0.786,0.145,0.772,99.998,4,['vaportrap'],56,69047
6,Eco Zones,4bVj2dVsarqn6c8TtY5Sah,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 1,2013-10-20,144545,False,2,33,2024-11-06,0.422,0.719,8,-7.75,1,0.0577,0.46,0.114,0.168,0.298,87.82,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
7,I Love Hating You,3iTOyqVXJiUfTQ5lDpCf6M,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,I Love Hating You,2020-05-01,151048,False,1,31,2024-11-06,0.484,0.787,4,-6.931,0,0.0424,0.0161,0.939,0.11,0.335,143.19,4,['vaportrap'],56,69047
8,Been Lost,1bcWMa6A6sMFVQ0p3L9pSk,Cocainejesus,4kd4nT3oVlZ4SJHlxff8es,Been Lost,2015-12-31,138057,False,1,30,2024-11-06,0.717,0.381,2,-14.362,0,0.0354,0.18,0.0049,0.187,0.726,79.991,4,"['hardvapour', 'vaportrap', 'vaporwave']",28,22797
9,She,2hfhT0KNYqpufYm7xCIp7g,Cocainejesus,4kd4nT3oVlZ4SJHlxff8es,She,2015-01-25,260000,False,1,29,2024-11-06,0.59,0.494,9,-8.287,0,0.0319,0.0574,0.537,0.22,0.201,120.004,4,"['hardvapour', 'vaportrap', 'vaporwave']",28,22797
10,143,7xOdYxWVzHiQjicqxmiEQt,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,143,2021-12-03,103214,False,1,31,2024-11-06,0.455,0.727,7,-6.234,1,0.036,0.435,0.897,0.187,0.674,83.933,4,['vaportrap'],56,69047
11,Wavestep,1vwbnaNNBgNKbAu1qUda9N,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 0,2012-09-01,163002,False,2,30,2024-11-06,0.591,0.914,11,-6.248,1,0.0476,0.109,0.503,0.23,0.575,96.493,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
12,Dreamcast,0TBukw3hHAYl1rrdrULP8b,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 0,2012-09-01,122142,False,9,30,2024-11-06,0.61,0.825,1,-4.011,1,0.379,0.172,0.000345,0.554,0.64,84.062,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
13,Aqua Domain,12mt7OKVhzyeT9Yr92WM6p,VAPERROR,0AEVuiJFczDd4dkmZh2Kha,Mana Pool,2014-06-02,137674,False,3,28,2024-11-06,0.687,0.732,7,-11.079,1,0.0337,0.00724,0.942,0.138,0.291,128.984,4,"['hardvapour', 'vaportrap', 'vaporwave']",36,29538
14,Ammonia Clouds,6NaPhrkmnrmo2dpW2HHyBk,Blank Banshee,1oR9pQhucVTJyi5lH2Y2iT,Blank Banshee 0,2012-09-01,163282,False,4,29,2024-11-06,0.698,0.593,7,-8.156,1,0.118,0.0895,0.65,0.588,0.343,136.246,4,"['future funk', 'vaportrap', 'vaporwave']",37,114677
15,Raining in L.A,15rZ2QaGKjt9V6jG8o3gH7,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,"FrankJavCee, Vol 2.111",2017-07-04,168018,False,1,27,2024-11-06,0.759,0.474,11,-10.602,0,0.0423,0.744,0.00167,0.362,0.723,100.007,4,['vaportrap'],56,69047
16,Simpsonwave1989,08jFvbzUlkiFJtGhc5fkv7,FrankJavCee,3nHKeOa45XrUplL3NiGy7E,8-Bit,2018-04-16,142588,False,8,30,2024-11-06,0.71,0.661,11,-14.146,1,0.0591,0.0193,0.841,0.138,0.705,170.027,3,['vaportrap'],56,69047
