,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Punching Down,7EUgUNXbhgsPXaCr51uYta,George Clanton,1G5v3lpMz7TeoW0yGpRQHr,Ooh Rap I Ya,2023-07-28,207178,False,3,36,2024-11-06,0.476,0.918,2,-7.151,1,0.0616,4.09e-05,0.907,0.423,0.335,179.968,4,"['hypnagogic pop', 'vaporwave']",52,108552
1,You Weren't There Anymore,175ndarc5RD9aBMUl9jt2W,Neggy Gemmy,3SU7pCbOPCUMboKnxMvHVW,Bad Baby,2018-01-05,296000,False,3,36,2024-11-06,0.591,0.81,0,-7.641,1,0.0394,0.113,0.46,0.0912,0.545,119.969,4,"['brooklyn indie', 'vaporwave']",36,37308
2,SNAKE WAY,7IZJ2wCNkvhwhsLgrMpuZn,Maitro,4pG6hTUl9HhyftfJQQI7np,Dragonball Wave,2017-04-20,187050,False,13,36,2024-11-06,0.598,0.74,2,-11.181,1,0.0433,0.0756,0.755,0.143,0.48,85.998,4,"['future funk', 'vaporwave']",36,20788
3,Slow2014.Wav,1pgZsk5DdBuN0L3TlR0cag,ESPRIT 空想,6eDKMXn3OBIkI8jcY7JtlI,Virtua.Zip,2014-05-06,158117,False,3,37,2024-11-06,0.711,0.923,10,-3.014,0,0.0855,0.00145,0.778,0.073,0.619,170.087,4,"['hardvapour', 'hypnagogic pop', 'vaporwave']",41,47697
4,Lonely Eyes (4-Track Demo),1mgrfOFPVIYjGcKB6Hlwg5,18 Carat Affair,0va8U409dr4gA1zQ2gSnD5,Spent Passions 2,2019-02-14,77500,False,33,35,2024-11-06,0.494,0.714,0,-9.388,0,0.191,0.955,0.922,0.109,0.716,98.834,4,"['broken transmission', 'hardvapour', 'vaporwave']",40,36601
5,Akaiwa 1985,0djk8EY1IsMeyt8Debt1hw,豊平区民Toyohirakumin,4fsJpVczcZYWFbvvMWgTEN,Music in the Air,2014-06-10,142806,False,16,36,2024-11-06,0.788,0.587,8,-10.028,1,0.0315,0.747,0.896,0.0888,0.962,136.064,4,"['mallsoft', 'vaporwave']",31,6553
6,Microinequities,0IKFqLMpLvWla70CMt6gpP,18 Carat Affair,0va8U409dr4gA1zQ2gSnD5,Spent Passions 2,2019-02-14,125000,False,2,38,2024-11-06,0.385,0.233,0,-20.18,0,0.0612,0.988,0.915,0.121,0.279,81.74,4,"['broken transmission', 'hardvapour', 'vaporwave']",40,36601
7,SECRETS OF MY AGE,3hFN7aL302l6xiFggDX537,猫 シ Corp.,4eYVVrnphe4blxWuzahYQE,Class of '84,2023-04-18,187177,False,1,37,2024-11-06,0.496,0.849,6,-6.025,0,0.0278,0.0121,0.177,0.256,0.862,78.567,4,"['broken transmission', 'future funk', 'hardvapour', 'mallsoft', 'vaporwave']",48,38203
8,Another disturbance in time,7Kh2vha8hLyAmNBxfg5OME,Infinity Frequencies,6XcJCz7dqlBOyZ0b57SyQp,Between Two Worlds,2018-06-28,38874,False,12,36,2024-11-06,0.465,0.12,9,-22.011,0,0.0368,0.993,0.929,0.111,0.235,92.907,1,"['broken transmission', 'liminal space', 'mallsoft', 'vaporwave']",50,57441
9,NIGHTS&NIKON,0m09ioYYDWbRBbOLLGN6E2,猫 シ Corp.,4eYVVrnphe4blxWuzahYQE,Luxury Girls,2023-06-13,117860,False,11,36,2024-11-06,0.478,0.531,11,-12.205,0,0.0278,0.145,0.587,0.248,0.589,110.772,3,"['broken transmission', 'future funk', 'hardvapour', 'mallsoft', 'vaporwave']",48,38203
